XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2b
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.013274, H2H_time:0.008450, sync_time:0.004824
iteration:1, F2F_time[s]:0.011254, H2H_time:0.006361, sync_time:0.004893
iteration:2, F2F_time[s]:0.010377, H2H_time:0.005535, sync_time:0.004842
iteration:3, F2F_time[s]:0.010210, H2H_time:0.005326, sync_time:0.004884
iteration:4, F2F_time[s]:0.010198, H2H_time:0.005320, sync_time:0.004878
iteration:5, F2F_time[s]:0.010358, H2H_time:0.005396, sync_time:0.004962
iteration:6, F2F_time[s]:0.010296, H2H_time:0.005445, sync_time:0.004851
iteration:7, F2F_time[s]:0.009894, H2H_time:0.005019, sync_time:0.004875
iteration:8, F2F_time[s]:0.009768, H2H_time:0.004896, sync_time:0.004873
iteration:9, F2F_time[s]:0.010843, H2H_time:0.005906, sync_time:0.004937
iteration:10, F2F_time[s]:0.010515, H2H_time:0.005586, sync_time:0.004929
iteration:11, F2F_time[s]:0.010468, H2H_time:0.005523, sync_time:0.004944
iteration:12, F2F_time[s]:0.010304, H2H_time:0.005374, sync_time:0.004931
iteration:13, F2F_time[s]:0.010326, H2H_time:0.005398, sync_time:0.004928
iteration:14, F2F_time[s]:0.009637, H2H_time:0.004730, sync_time:0.004907
iteration:15, F2F_time[s]:0.010159, H2H_time:0.005221, sync_time:0.004938
iteration:16, F2F_time[s]:0.010086, H2H_time:0.005156, sync_time:0.004930
iteration:17, F2F_time[s]:0.010187, H2H_time:0.005272, sync_time:0.004915
iteration:18, F2F_time[s]:0.010332, H2H_time:0.005453, sync_time:0.004880
iteration:19, F2F_time[s]:0.009961, H2H_time:0.005014, sync_time:0.004947
iteration:20, F2F_time[s]:0.010065, H2H_time:0.005133, sync_time:0.004932
iteration:21, F2F_time[s]:0.010275, H2H_time:0.005385, sync_time:0.004890
iteration:22, F2F_time[s]:0.010174, H2H_time:0.005263, sync_time:0.004911
iteration:23, F2F_time[s]:0.010362, H2H_time:0.005398, sync_time:0.004964
iteration:24, F2F_time[s]:0.010331, H2H_time:0.005421, sync_time:0.004910
iteration:25, F2F_time[s]:0.010213, H2H_time:0.005287, sync_time:0.004926
iteration:26, F2F_time[s]:0.010013, H2H_time:0.005089, sync_time:0.004924
iteration:27, F2F_time[s]:0.009815, H2H_time:0.004938, sync_time:0.004876
iteration:28, F2F_time[s]:0.010152, H2H_time:0.005215, sync_time:0.004937
iteration:29, F2F_time[s]:0.009786, H2H_time:0.004897, sync_time:0.004890
iteration:30, F2F_time[s]:0.009829, H2H_time:0.004933, sync_time:0.004896
iteration:31, F2F_time[s]:0.009861, H2H_time:0.005022, sync_time:0.004839
iteration:32, F2F_time[s]:0.009905, H2H_time:0.005024, sync_time:0.004881
iteration:33, F2F_time[s]:0.009809, H2H_time:0.004884, sync_time:0.004925
iteration:34, F2F_time[s]:0.009842, H2H_time:0.004952, sync_time:0.004890
iteration:35, F2F_time[s]:0.010067, H2H_time:0.005177, sync_time:0.004889
iteration:36, F2F_time[s]:0.009840, H2H_time:0.004926, sync_time:0.004914
iteration:37, F2F_time[s]:0.010160, H2H_time:0.005232, sync_time:0.004928
iteration:38, F2F_time[s]:0.010405, H2H_time:0.005557, sync_time:0.004848
iteration:39, F2F_time[s]:0.010593, H2H_time:0.005640, sync_time:0.004953
iteration:40, F2F_time[s]:0.010805, H2H_time:0.005908, sync_time:0.004897
iteration:41, F2F_time[s]:0.010603, H2H_time:0.005719, sync_time:0.004884
iteration:42, F2F_time[s]:0.010312, H2H_time:0.005359, sync_time:0.004953
iteration:43, F2F_time[s]:0.010074, H2H_time:0.005149, sync_time:0.004926
iteration:44, F2F_time[s]:0.009956, H2H_time:0.005029, sync_time:0.004927
iteration:45, F2F_time[s]:0.010056, H2H_time:0.005129, sync_time:0.004928
iteration:46, F2F_time[s]:0.009670, H2H_time:0.004736, sync_time:0.004934
iteration:47, F2F_time[s]:0.010093, H2H_time:0.005150, sync_time:0.004943
iteration:48, F2F_time[s]:0.009935, H2H_time:0.005034, sync_time:0.004901
iteration:49, F2F_time[s]:0.009840, H2H_time:0.004926, sync_time:0.004914
iteration:50, F2F_time[s]:0.010240, H2H_time:0.005320, sync_time:0.004920
iteration:51, F2F_time[s]:0.010219, H2H_time:0.005337, sync_time:0.004882
iteration:52, F2F_time[s]:0.009967, H2H_time:0.005091, sync_time:0.004876
iteration:53, F2F_time[s]:0.010188, H2H_time:0.005279, sync_time:0.004909
