XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo2b
alveo4c
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.021109, H2H_time:0.012157, sync_time:0.008952
iteration:1, F2F_time[s]:0.019100, H2H_time:0.010233, sync_time:0.008867
iteration:2, F2F_time[s]:0.018528, H2H_time:0.009547, sync_time:0.008981
iteration:3, F2F_time[s]:0.018843, H2H_time:0.009933, sync_time:0.008909
iteration:4, F2F_time[s]:0.019383, H2H_time:0.010425, sync_time:0.008958
iteration:5, F2F_time[s]:0.018645, H2H_time:0.009754, sync_time:0.008891
iteration:6, F2F_time[s]:0.018654, H2H_time:0.009680, sync_time:0.008974
iteration:7, F2F_time[s]:0.018362, H2H_time:0.009327, sync_time:0.009035
iteration:8, F2F_time[s]:0.017759, H2H_time:0.008737, sync_time:0.009022
iteration:9, F2F_time[s]:0.018592, H2H_time:0.009550, sync_time:0.009042
iteration:10, F2F_time[s]:0.017552, H2H_time:0.008562, sync_time:0.008991
iteration:11, F2F_time[s]:0.018184, H2H_time:0.009156, sync_time:0.009028
iteration:12, F2F_time[s]:0.018214, H2H_time:0.009172, sync_time:0.009042
iteration:13, F2F_time[s]:0.018536, H2H_time:0.009521, sync_time:0.009015
iteration:14, F2F_time[s]:0.018267, H2H_time:0.009319, sync_time:0.008948
iteration:15, F2F_time[s]:0.018603, H2H_time:0.009595, sync_time:0.009008
iteration:16, F2F_time[s]:0.019178, H2H_time:0.010188, sync_time:0.008989
iteration:17, F2F_time[s]:0.018428, H2H_time:0.009435, sync_time:0.008993
iteration:18, F2F_time[s]:0.019121, H2H_time:0.010176, sync_time:0.008944
iteration:19, F2F_time[s]:0.019065, H2H_time:0.010080, sync_time:0.008985
iteration:20, F2F_time[s]:0.018599, H2H_time:0.009734, sync_time:0.008864
iteration:21, F2F_time[s]:0.018933, H2H_time:0.009916, sync_time:0.009018
iteration:22, F2F_time[s]:0.019096, H2H_time:0.010079, sync_time:0.009017
iteration:23, F2F_time[s]:0.018173, H2H_time:0.009278, sync_time:0.008894
iteration:24, F2F_time[s]:0.018144, H2H_time:0.009084, sync_time:0.009060
iteration:25, F2F_time[s]:0.018156, H2H_time:0.009141, sync_time:0.009016
iteration:26, F2F_time[s]:0.018719, H2H_time:0.009706, sync_time:0.009014
iteration:27, F2F_time[s]:0.018427, H2H_time:0.009410, sync_time:0.009016
iteration:28, F2F_time[s]:0.018858, H2H_time:0.009821, sync_time:0.009037
iteration:29, F2F_time[s]:0.018675, H2H_time:0.009692, sync_time:0.008983
iteration:30, F2F_time[s]:0.018210, H2H_time:0.009204, sync_time:0.009007
iteration:31, F2F_time[s]:0.019000, H2H_time:0.010033, sync_time:0.008967
iteration:32, F2F_time[s]:0.018558, H2H_time:0.009612, sync_time:0.008946
iteration:33, F2F_time[s]:0.018629, H2H_time:0.009652, sync_time:0.008978
iteration:34, F2F_time[s]:0.018326, H2H_time:0.009312, sync_time:0.009014
iteration:35, F2F_time[s]:0.018485, H2H_time:0.009505, sync_time:0.008980
iteration:36, F2F_time[s]:0.018230, H2H_time:0.009258, sync_time:0.008972
iteration:37, F2F_time[s]:0.018868, H2H_time:0.009898, sync_time:0.008971
iteration:38, F2F_time[s]:0.018534, H2H_time:0.009598, sync_time:0.008936
iteration:39, F2F_time[s]:0.019853, H2H_time:0.010825, sync_time:0.009028
