XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3b
alveo2b
alveo2a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.024174, H2H_time:0.015618, sync_time:0.008556
iteration:1, F2F_time[s]:0.022037, H2H_time:0.013482, sync_time:0.008555
iteration:2, F2F_time[s]:0.020893, H2H_time:0.012199, sync_time:0.008694
iteration:3, F2F_time[s]:0.020750, H2H_time:0.012246, sync_time:0.008504
iteration:4, F2F_time[s]:0.021346, H2H_time:0.012829, sync_time:0.008517
iteration:5, F2F_time[s]:0.021113, H2H_time:0.012558, sync_time:0.008555
iteration:6, F2F_time[s]:0.021635, H2H_time:0.013101, sync_time:0.008534
iteration:7, F2F_time[s]:0.021695, H2H_time:0.013156, sync_time:0.008539
iteration:8, F2F_time[s]:0.022247, H2H_time:0.013703, sync_time:0.008544
iteration:9, F2F_time[s]:0.021488, H2H_time:0.012955, sync_time:0.008533
iteration:10, F2F_time[s]:0.021480, H2H_time:0.012877, sync_time:0.008602
iteration:11, F2F_time[s]:0.021402, H2H_time:0.012870, sync_time:0.008531
iteration:12, F2F_time[s]:0.021039, H2H_time:0.012597, sync_time:0.008442
iteration:13, F2F_time[s]:0.021677, H2H_time:0.013143, sync_time:0.008535
iteration:14, F2F_time[s]:0.021467, H2H_time:0.012946, sync_time:0.008522
iteration:15, F2F_time[s]:0.021725, H2H_time:0.013201, sync_time:0.008524
iteration:16, F2F_time[s]:0.021111, H2H_time:0.012569, sync_time:0.008541
iteration:17, F2F_time[s]:0.021209, H2H_time:0.012687, sync_time:0.008522
iteration:18, F2F_time[s]:0.021019, H2H_time:0.012501, sync_time:0.008518
iteration:19, F2F_time[s]:0.021066, H2H_time:0.012558, sync_time:0.008508
iteration:20, F2F_time[s]:0.020963, H2H_time:0.012503, sync_time:0.008460
iteration:21, F2F_time[s]:0.020877, H2H_time:0.012361, sync_time:0.008516
iteration:22, F2F_time[s]:0.020937, H2H_time:0.012410, sync_time:0.008526
iteration:23, F2F_time[s]:0.020792, H2H_time:0.012276, sync_time:0.008516
iteration:24, F2F_time[s]:0.021015, H2H_time:0.012540, sync_time:0.008475
iteration:25, F2F_time[s]:0.021332, H2H_time:0.012801, sync_time:0.008530
iteration:26, F2F_time[s]:0.021687, H2H_time:0.012984, sync_time:0.008703
iteration:27, F2F_time[s]:0.020997, H2H_time:0.012466, sync_time:0.008531
iteration:28, F2F_time[s]:0.021177, H2H_time:0.012795, sync_time:0.008382
iteration:29, F2F_time[s]:0.021308, H2H_time:0.012844, sync_time:0.008465
iteration:30, F2F_time[s]:0.021258, H2H_time:0.012731, sync_time:0.008526
iteration:31, F2F_time[s]:0.021765, H2H_time:0.013241, sync_time:0.008524
iteration:32, F2F_time[s]:0.021548, H2H_time:0.012970, sync_time:0.008578
iteration:33, F2F_time[s]:0.020850, H2H_time:0.012331, sync_time:0.008519
iteration:34, F2F_time[s]:0.021224, H2H_time:0.012673, sync_time:0.008552
iteration:35, F2F_time[s]:0.020642, H2H_time:0.012162, sync_time:0.008480
iteration:36, F2F_time[s]:0.020623, H2H_time:0.012122, sync_time:0.008501
iteration:37, F2F_time[s]:0.021294, H2H_time:0.012781, sync_time:0.008513
iteration:38, F2F_time[s]:0.020905, H2H_time:0.012350, sync_time:0.008555
iteration:39, F2F_time[s]:0.020877, H2H_time:0.012317, sync_time:0.008560
iteration:40, F2F_time[s]:0.021021, H2H_time:0.012526, sync_time:0.008495
iteration:41, F2F_time[s]:0.020527, H2H_time:0.012006, sync_time:0.008521
iteration:42, F2F_time[s]:0.020312, H2H_time:0.011799, sync_time:0.008513
iteration:43, F2F_time[s]:0.020529, H2H_time:0.012003, sync_time:0.008526
iteration:44, F2F_time[s]:0.021075, H2H_time:0.012562, sync_time:0.008514
