XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2b
alveo3b
alveo4c
alveo1a
alveo2a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4194304, num_elements:1048576, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4194304, num_elements:1048576, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4194304, num_elements:1048576, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:4194304, num_elements:1048576, num_trials:200
Start Gather test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4194304, num_elements:1048576, num_trials:200
iteration:0, F2F_time[s]:0.006117, H2H_time:0.004334, sync_time:0.001783
iteration:1, F2F_time[s]:0.004899, H2H_time:0.003104, sync_time:0.001796
iteration:2, F2F_time[s]:0.004040, H2H_time:0.002315, sync_time:0.001724
iteration:3, F2F_time[s]:0.003987, H2H_time:0.002214, sync_time:0.001773
iteration:4, F2F_time[s]:0.004108, H2H_time:0.002349, sync_time:0.001759
iteration:5, F2F_time[s]:0.003783, H2H_time:0.002059, sync_time:0.001724
iteration:6, F2F_time[s]:0.003740, H2H_time:0.002023, sync_time:0.001717
iteration:7, F2F_time[s]:0.003883, H2H_time:0.002172, sync_time:0.001711
iteration:8, F2F_time[s]:0.003768, H2H_time:0.002094, sync_time:0.001674
iteration:9, F2F_time[s]:0.003666, H2H_time:0.002086, sync_time:0.001580
iteration:10, F2F_time[s]:0.003581, H2H_time:0.001960, sync_time:0.001621
iteration:11, F2F_time[s]:0.003899, H2H_time:0.002132, sync_time:0.001766
iteration:12, F2F_time[s]:0.003749, H2H_time:0.002015, sync_time:0.001734
iteration:13, F2F_time[s]:0.003551, H2H_time:0.001850, sync_time:0.001701
iteration:14, F2F_time[s]:0.003757, H2H_time:0.002099, sync_time:0.001658
iteration:15, F2F_time[s]:0.003462, H2H_time:0.001803, sync_time:0.001659
iteration:16, F2F_time[s]:0.003451, H2H_time:0.001717, sync_time:0.001735
iteration:17, F2F_time[s]:0.003944, H2H_time:0.001994, sync_time:0.001950
iteration:18, F2F_time[s]:0.003594, H2H_time:0.001947, sync_time:0.001647
iteration:19, F2F_time[s]:0.003531, H2H_time:0.001857, sync_time:0.001673
iteration:20, F2F_time[s]:0.003486, H2H_time:0.001789, sync_time:0.001696
iteration:21, F2F_time[s]:0.003434, H2H_time:0.001737, sync_time:0.001697
iteration:22, F2F_time[s]:0.003446, H2H_time:0.001794, sync_time:0.001652
iteration:23, F2F_time[s]:0.003763, H2H_time:0.001884, sync_time:0.001879
iteration:24, F2F_time[s]:0.003448, H2H_time:0.001822, sync_time:0.001626
iteration:25, F2F_time[s]:0.003337, H2H_time:0.001676, sync_time:0.001661
iteration:26, F2F_time[s]:0.003692, H2H_time:0.001801, sync_time:0.001890
iteration:27, F2F_time[s]:0.003380, H2H_time:0.001638, sync_time:0.001743
iteration:28, F2F_time[s]:0.003306, H2H_time:0.001631, sync_time:0.001675
iteration:29, F2F_time[s]:0.003685, H2H_time:0.001982, sync_time:0.001703
iteration:30, F2F_time[s]:0.003300, H2H_time:0.001625, sync_time:0.001674
iteration:31, F2F_time[s]:0.003397, H2H_time:0.001745, sync_time:0.001653
iteration:32, F2F_time[s]:0.003562, H2H_time:0.001845, sync_time:0.001717
iteration:33, F2F_time[s]:0.003499, H2H_time:0.001788, sync_time:0.001711
iteration:34, F2F_time[s]:0.003291, H2H_time:0.001628, sync_time:0.001662
iteration:35, F2F_time[s]:0.003605, H2H_time:0.001843, sync_time:0.001762
iteration:36, F2F_time[s]:0.003557, H2H_time:0.001818, sync_time:0.001738
iteration:37, F2F_time[s]:0.003687, H2H_time:0.001826, sync_time:0.001861
iteration:38, F2F_time[s]:0.003504, H2H_time:0.001761, sync_time:0.001744
iteration:39, F2F_time[s]:0.003420, H2H_time:0.001711, sync_time:0.001709
iteration:40, F2F_time[s]:0.003282, H2H_time:0.001593, sync_time:0.001689
iteration:41, F2F_time[s]:0.003403, H2H_time:0.001688, sync_time:0.001715
iteration:42, F2F_time[s]:0.003542, H2H_time:0.001817, sync_time:0.001725
iteration:43, F2F_time[s]:0.003522, H2H_time:0.001845, sync_time:0.001677
iteration:44, F2F_time[s]:0.003417, H2H_time:0.001676, sync_time:0.001740
iteration:45, F2F_time[s]:0.003715, H2H_time:0.001837, sync_time:0.001877
iteration:46, F2F_time[s]:0.003557, H2H_time:0.001882, sync_time:0.001675
iteration:47, F2F_time[s]:0.003719, H2H_time:0.001945, sync_time:0.001774
iteration:48, F2F_time[s]:0.003480, H2H_time:0.001812, sync_time:0.001669
iteration:49, F2F_time[s]:0.003744, H2H_time:0.001981, sync_time:0.001764
iteration:50, F2F_time[s]:0.003467, H2H_time:0.001745, sync_time:0.001722
iteration:51, F2F_time[s]:0.003436, H2H_time:0.001735, sync_time:0.001701
iteration:52, F2F_time[s]:0.003350, H2H_time:0.001677, sync_time:0.001673
iteration:53, F2F_time[s]:0.003436, H2H_time:0.001731, sync_time:0.001705
iteration:54, F2F_time[s]:0.003439, H2H_time:0.001720, sync_time:0.001718
iteration:55, F2F_time[s]:0.003374, H2H_time:0.001653, sync_time:0.001720
iteration:56, F2F_time[s]:0.003470, H2H_time:0.001759, sync_time:0.001711
iteration:57, F2F_time[s]:0.003249, H2H_time:0.001602, sync_time:0.001647
iteration:58, F2F_time[s]:0.003447, H2H_time:0.001698, sync_time:0.001749
iteration:59, F2F_time[s]:0.003302, H2H_time:0.001603, sync_time:0.001698
iteration:60, F2F_time[s]:0.003509, H2H_time:0.001792, sync_time:0.001717
iteration:61, F2F_time[s]:0.003688, H2H_time:0.001950, sync_time:0.001738
iteration:62, F2F_time[s]:0.003567, H2H_time:0.001844, sync_time:0.001723
iteration:63, F2F_time[s]:0.003531, H2H_time:0.001839, sync_time:0.001692
iteration:64, F2F_time[s]:0.003738, H2H_time:0.001861, sync_time:0.001877
iteration:65, F2F_time[s]:0.003597, H2H_time:0.001886, sync_time:0.001711
iteration:66, F2F_time[s]:0.003581, H2H_time:0.001869, sync_time:0.001712
iteration:67, F2F_time[s]:0.003400, H2H_time:0.001733, sync_time:0.001667
iteration:68, F2F_time[s]:0.003720, H2H_time:0.001972, sync_time:0.001748
iteration:69, F2F_time[s]:0.003345, H2H_time:0.001621, sync_time:0.001724
iteration:70, F2F_time[s]:0.003597, H2H_time:0.001731, sync_time:0.001865
iteration:71, F2F_time[s]:0.003589, H2H_time:0.001874, sync_time:0.001715
iteration:72, F2F_time[s]:0.003690, H2H_time:0.002031, sync_time:0.001659
iteration:73, F2F_time[s]:0.003625, H2H_time:0.001715, sync_time:0.001909
iteration:74, F2F_time[s]:0.003634, H2H_time:0.001891, sync_time:0.001743
iteration:75, F2F_time[s]:0.003508, H2H_time:0.001800, sync_time:0.001707
iteration:76, F2F_time[s]:0.003501, H2H_time:0.001780, sync_time:0.001721
iteration:77, F2F_time[s]:0.003493, H2H_time:0.001833, sync_time:0.001660
iteration:78, F2F_time[s]:0.003359, H2H_time:0.001627, sync_time:0.001731
