XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo2b
alveo1a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4096, num_elements:1024, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4096, num_elements:1024, num_trials:200
Start Gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4096, num_elements:1024, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4096, num_elements:1024, num_trials:200
iteration:0, F2F_time[s]:0.000470, H2H_time:0.000081, sync_time:0.000388
iteration:1, F2F_time[s]:0.000340, H2H_time:0.000063, sync_time:0.000277
iteration:2, F2F_time[s]:0.000342, H2H_time:0.000117, sync_time:0.000224
iteration:3, F2F_time[s]:0.000325, H2H_time:0.000126, sync_time:0.000199
iteration:4, F2F_time[s]:0.000250, H2H_time:0.000053, sync_time:0.000198
iteration:5, F2F_time[s]:0.000251, H2H_time:0.000049, sync_time:0.000202
iteration:6, F2F_time[s]:0.000263, H2H_time:0.000056, sync_time:0.000207
iteration:7, F2F_time[s]:0.000244, H2H_time:0.000045, sync_time:0.000200
iteration:8, F2F_time[s]:0.000264, H2H_time:0.000065, sync_time:0.000198
iteration:9, F2F_time[s]:0.000249, H2H_time:0.000045, sync_time:0.000204
iteration:10, F2F_time[s]:0.000247, H2H_time:0.000050, sync_time:0.000197
iteration:11, F2F_time[s]:0.000251, H2H_time:0.000048, sync_time:0.000203
iteration:12, F2F_time[s]:0.000280, H2H_time:0.000115, sync_time:0.000165
iteration:13, F2F_time[s]:0.000273, H2H_time:0.000117, sync_time:0.000157
iteration:14, F2F_time[s]:0.000271, H2H_time:0.000056, sync_time:0.000215
iteration:15, F2F_time[s]:0.000264, H2H_time:0.000046, sync_time:0.000218
iteration:16, F2F_time[s]:0.000266, H2H_time:0.000045, sync_time:0.000221
iteration:17, F2F_time[s]:0.000271, H2H_time:0.000115, sync_time:0.000156
iteration:18, F2F_time[s]:0.000287, H2H_time:0.000122, sync_time:0.000165
iteration:19, F2F_time[s]:0.000280, H2H_time:0.000114, sync_time:0.000166
iteration:20, F2F_time[s]:0.000250, H2H_time:0.000046, sync_time:0.000203
iteration:21, F2F_time[s]:0.000270, H2H_time:0.000111, sync_time:0.000160
iteration:22, F2F_time[s]:0.000259, H2H_time:0.000109, sync_time:0.000151
iteration:23, F2F_time[s]:0.000239, H2H_time:0.000052, sync_time:0.000187
iteration:24, F2F_time[s]:0.000274, H2H_time:0.000041, sync_time:0.000233
iteration:25, F2F_time[s]:0.000267, H2H_time:0.000053, sync_time:0.000214
iteration:26, F2F_time[s]:0.000259, H2H_time:0.000110, sync_time:0.000149
iteration:27, F2F_time[s]:0.000255, H2H_time:0.000109, sync_time:0.000146
iteration:28, F2F_time[s]:0.000265, H2H_time:0.000113, sync_time:0.000152
iteration:29, F2F_time[s]:0.000276, H2H_time:0.000110, sync_time:0.000166
iteration:30, F2F_time[s]:0.000284, H2H_time:0.000125, sync_time:0.000159
iteration:31, F2F_time[s]:0.000272, H2H_time:0.000109, sync_time:0.000163
iteration:32, F2F_time[s]:0.000271, H2H_time:0.000109, sync_time:0.000162
iteration:33, F2F_time[s]:0.000258, H2H_time:0.000091, sync_time:0.000167
iteration:34, F2F_time[s]:0.000271, H2H_time:0.000110, sync_time:0.000161
iteration:35, F2F_time[s]:0.000258, H2H_time:0.000108, sync_time:0.000150
iteration:36, F2F_time[s]:0.000261, H2H_time:0.000109, sync_time:0.000152
iteration:37, F2F_time[s]:0.000260, H2H_time:0.000105, sync_time:0.000155
iteration:38, F2F_time[s]:0.000262, H2H_time:0.000109, sync_time:0.000153
iteration:39, F2F_time[s]:0.000260, H2H_time:0.000108, sync_time:0.000153
iteration:40, F2F_time[s]:0.000256, H2H_time:0.000107, sync_time:0.000150
iteration:41, F2F_time[s]:0.000255, H2H_time:0.000106, sync_time:0.000149
iteration:42, F2F_time[s]:0.000247, H2H_time:0.000107, sync_time:0.000140
iteration:43, F2F_time[s]:0.000237, H2H_time:0.000108, sync_time:0.000130
iteration:44, F2F_time[s]:0.000232, H2H_time:0.000108, sync_time:0.000125
iteration:45, F2F_time[s]:0.000223, H2H_time:0.000107, sync_time:0.000116
iteration:46, F2F_time[s]:0.000226, H2H_time:0.000108, sync_time:0.000118
iteration:47, F2F_time[s]:0.000221, H2H_time:0.000106, sync_time:0.000115
iteration:48, F2F_time[s]:0.000230, H2H_time:0.000108, sync_time:0.000122
iteration:49, F2F_time[s]:0.000234, H2H_time:0.000107, sync_time:0.000127
iteration:50, F2F_time[s]:0.000210, H2H_time:0.000105, sync_time:0.000105
iteration:51, F2F_time[s]:0.000211, H2H_time:0.000105, sync_time:0.000106
iteration:52, F2F_time[s]:0.000212, H2H_time:0.000106, sync_time:0.000106
iteration:53, F2F_time[s]:0.000215, H2H_time:0.000106, sync_time:0.000109
iteration:54, F2F_time[s]:0.000222, H2H_time:0.000105, sync_time:0.000116
iteration:55, F2F_time[s]:0.000217, H2H_time:0.000106, sync_time:0.000110
iteration:56, F2F_time[s]:0.000219, H2H_time:0.000106, sync_time:0.000114
iteration:57, F2F_time[s]:0.000216, H2H_time:0.000106, sync_time:0.000110
iteration:58, F2F_time[s]:0.000217, H2H_time:0.000107, sync_time:0.000110
iteration:59, F2F_time[s]:0.000214, H2H_time:0.000106, sync_time:0.000108
iteration:60, F2F_time[s]:0.000218, H2H_time:0.000106, sync_time:0.000112
iteration:61, F2F_time[s]:0.000222, H2H_time:0.000105, sync_time:0.000116
iteration:62, F2F_time[s]:0.000184, H2H_time:0.000074, sync_time:0.000109
iteration:63, F2F_time[s]:0.000180, H2H_time:0.000070, sync_time:0.000110
iteration:64, F2F_time[s]:0.000180, H2H_time:0.000070, sync_time:0.000110
iteration:65, F2F_time[s]:0.000179, H2H_time:0.000069, sync_time:0.000110
iteration:66, F2F_time[s]:0.000181, H2H_time:0.000070, sync_time:0.000110
iteration:67, F2F_time[s]:0.000180, H2H_time:0.000071, sync_time:0.000109
iteration:68, F2F_time[s]:0.000166, H2H_time:0.000057, sync_time:0.000110
iteration:69, F2F_time[s]:0.000180, H2H_time:0.000074, sync_time:0.000106
iteration:70, F2F_time[s]:0.000186, H2H_time:0.000073, sync_time:0.000112
iteration:71, F2F_time[s]:0.000177, H2H_time:0.000074, sync_time:0.000103
iteration:72, F2F_time[s]:0.000178, H2H_time:0.000072, sync_time:0.000106
iteration:73, F2F_time[s]:0.000178, H2H_time:0.000073, sync_time:0.000104
iteration:74, F2F_time[s]:0.000181, H2H_time:0.000069, sync_time:0.000111
iteration:75, F2F_time[s]:0.000180, H2H_time:0.000070, sync_time:0.000110
iteration:76, F2F_time[s]:0.000177, H2H_time:0.000074, sync_time:0.000103
iteration:77, F2F_time[s]:0.000155, H2H_time:0.000047, sync_time:0.000109
iteration:78, F2F_time[s]:0.000165, H2H_time:0.000060, sync_time:0.000105
iteration:79, F2F_time[s]:0.000151, H2H_time:0.000048, sync_time:0.000103
iteration:80, F2F_time[s]:0.000152, H2H_time:0.000048, sync_time:0.000104
iteration:81, F2F_time[s]:0.000154, H2H_time:0.000047, sync_time:0.000106
iteration:82, F2F_time[s]:0.000152, H2H_time:0.000048, sync_time:0.000104
iteration:83, F2F_time[s]:0.000151, H2H_time:0.000048, sync_time:0.000103
iteration:84, F2F_time[s]:0.000149, H2H_time:0.000048, sync_time:0.000101
iteration:85, F2F_time[s]:0.000149, H2H_time:0.000047, sync_time:0.000102
iteration:86, F2F_time[s]:0.000147, H2H_time:0.000047, sync_time:0.000100
iteration:87, F2F_time[s]:0.000146, H2H_time:0.000047, sync_time:0.000100
iteration:88, F2F_time[s]:0.000147, H2H_time:0.000047, sync_time:0.000100
iteration:89, F2F_time[s]:0.000174, H2H_time:0.000075, sync_time:0.000099
iteration:90, F2F_time[s]:0.000177, H2H_time:0.000072, sync_time:0.000105
iteration:91, F2F_time[s]:0.000165, H2H_time:0.000035, sync_time:0.000131
iteration:92, F2F_time[s]:0.000176, H2H_time:0.000073, sync_time:0.000103
iteration:93, F2F_time[s]:0.000148, H2H_time:0.000042, sync_time:0.000106
iteration:94, F2F_time[s]:0.000179, H2H_time:0.000073, sync_time:0.000106
iteration:95, F2F_time[s]:0.000156, H2H_time:0.000049, sync_time:0.000107
iteration:96, F2F_time[s]:0.000177, H2H_time:0.000073, sync_time:0.000104
iteration:97, F2F_time[s]:0.000178, H2H_time:0.000072, sync_time:0.000105
iteration:98, F2F_time[s]:0.000174, H2H_time:0.000072, sync_time:0.000101
iteration:99, F2F_time[s]:0.000178, H2H_time:0.000073, sync_time:0.000105
iteration:100, F2F_time[s]:0.000162, H2H_time:0.000054, sync_time:0.000108
iteration:101, F2F_time[s]:0.000175, H2H_time:0.000074, sync_time:0.000101
iteration:102, F2F_time[s]:0.000141, H2H_time:0.000038, sync_time:0.000103
iteration:103, F2F_time[s]:0.000178, H2H_time:0.000074, sync_time:0.000104
iteration:104, F2F_time[s]:0.000173, H2H_time:0.000073, sync_time:0.000100
iteration:105, F2F_time[s]:0.000169, H2H_time:0.000067, sync_time:0.000102
iteration:106, F2F_time[s]:0.000150, H2H_time:0.000048, sync_time:0.000101
iteration:107, F2F_time[s]:0.000149, H2H_time:0.000048, sync_time:0.000101
iteration:108, F2F_time[s]:0.000165, H2H_time:0.000058, sync_time:0.000107
iteration:109, F2F_time[s]:0.000153, H2H_time:0.000047, sync_time:0.000106
iteration:110, F2F_time[s]:0.000150, H2H_time:0.000048, sync_time:0.000102
iteration:111, F2F_time[s]:0.000153, H2H_time:0.000047, sync_time:0.000106
iteration:112, F2F_time[s]:0.000148, H2H_time:0.000048, sync_time:0.000100
iteration:113, F2F_time[s]:0.000157, H2H_time:0.000052, sync_time:0.000105
iteration:114, F2F_time[s]:0.000159, H2H_time:0.000054, sync_time:0.000104
iteration:115, F2F_time[s]:0.000154, H2H_time:0.000055, sync_time:0.000100
iteration:116, F2F_time[s]:0.000146, H2H_time:0.000047, sync_time:0.000099
iteration:117, F2F_time[s]:0.000156, H2H_time:0.000059, sync_time:0.000097
iteration:118, F2F_time[s]:0.000158, H2H_time:0.000059, sync_time:0.000100
iteration:119, F2F_time[s]:0.000145, H2H_time:0.000046, sync_time:0.000098
iteration:120, F2F_time[s]:0.000143, H2H_time:0.000047, sync_time:0.000096
iteration:121, F2F_time[s]:0.000145, H2H_time:0.000047, sync_time:0.000098
iteration:122, F2F_time[s]:0.000148, H2H_time:0.000047, sync_time:0.000102
iteration:123, F2F_time[s]:0.000156, H2H_time:0.000056, sync_time:0.000100
iteration:124, F2F_time[s]:0.000160, H2H_time:0.000058, sync_time:0.000102
iteration:125, F2F_time[s]:0.000149, H2H_time:0.000050, sync_time:0.000099
iteration:126, F2F_time[s]:0.000150, H2H_time:0.000049, sync_time:0.000102
iteration:127, F2F_time[s]:0.000151, H2H_time:0.000049, sync_time:0.000103
iteration:128, F2F_time[s]:0.000150, H2H_time:0.000048, sync_time:0.000102
iteration:129, F2F_time[s]:0.000151, H2H_time:0.000047, sync_time:0.000103
iteration:130, F2F_time[s]:0.000151, H2H_time:0.000048, sync_time:0.000103
iteration:131, F2F_time[s]:0.000146, H2H_time:0.000048, sync_time:0.000098
iteration:132, F2F_time[s]:0.000154, H2H_time:0.000048, sync_time:0.000105
iteration:133, F2F_time[s]:0.000148, H2H_time:0.000049, sync_time:0.000099
iteration:134, F2F_time[s]:0.000152, H2H_time:0.000049, sync_time:0.000103
iteration:135, F2F_time[s]:0.000150, H2H_time:0.000052, sync_time:0.000098
iteration:136, F2F_time[s]:0.000161, H2H_time:0.000049, sync_time:0.000113
iteration:137, F2F_time[s]:0.000151, H2H_time:0.000050, sync_time:0.000101
iteration:138, F2F_time[s]:0.000157, H2H_time:0.000059, sync_time:0.000099
iteration:139, F2F_time[s]:0.000148, H2H_time:0.000047, sync_time:0.000102
iteration:140, F2F_time[s]:0.000146, H2H_time:0.000049, sync_time:0.000097
iteration:141, F2F_time[s]:0.000144, H2H_time:0.000048, sync_time:0.000096
iteration:142, F2F_time[s]:0.000144, H2H_time:0.000046, sync_time:0.000098
iteration:143, F2F_time[s]:0.000153, H2H_time:0.000059, sync_time:0.000094
iteration:144, F2F_time[s]:0.000149, H2H_time:0.000050, sync_time:0.000099
iteration:145, F2F_time[s]:0.000144, H2H_time:0.000048, sync_time:0.000096
iteration:146, F2F_time[s]:0.000143, H2H_time:0.000048, sync_time:0.000094
iteration:147, F2F_time[s]:0.000149, H2H_time:0.000049, sync_time:0.000100
iteration:148, F2F_time[s]:0.000146, H2H_time:0.000048, sync_time:0.000097
iteration:149, F2F_time[s]:0.000145, H2H_time:0.000048, sync_time:0.000097
iteration:150, F2F_time[s]:0.000147, H2H_time:0.000048, sync_time:0.000099
iteration:151, F2F_time[s]:0.000151, H2H_time:0.000055, sync_time:0.000096
iteration:152, F2F_time[s]:0.000149, H2H_time:0.000049, sync_time:0.000100
iteration:153, F2F_time[s]:0.000151, H2H_time:0.000053, sync_time:0.000097
iteration:154, F2F_time[s]:0.000147, H2H_time:0.000043, sync_time:0.000104
iteration:155, F2F_time[s]:0.000145, H2H_time:0.000048, sync_time:0.000098
iteration:156, F2F_time[s]:0.000141, H2H_time:0.000045, sync_time:0.000096
iteration:157, F2F_time[s]:0.000147, H2H_time:0.000049, sync_time:0.000098
iteration:158, F2F_time[s]:0.000149, H2H_time:0.000052, sync_time:0.000097
iteration:159, F2F_time[s]:0.000150, H2H_time:0.000049, sync_time:0.000101
iteration:160, F2F_time[s]:0.000148, H2H_time:0.000049, sync_time:0.000099
iteration:161, F2F_time[s]:0.000154, H2H_time:0.000051, sync_time:0.000103
iteration:162, F2F_time[s]:0.000145, H2H_time:0.000047, sync_time:0.000098
iteration:163, F2F_time[s]:0.000147, H2H_time:0.000048, sync_time:0.000098
iteration:164, F2F_time[s]:0.000148, H2H_time:0.000047, sync_time:0.000101
iteration:165, F2F_time[s]:0.000147, H2H_time:0.000048, sync_time:0.000099
iteration:166, F2F_time[s]:0.000144, H2H_time:0.000049, sync_time:0.000095
iteration:167, F2F_time[s]:0.000156, H2H_time:0.000057, sync_time:0.000099
iteration:168, F2F_time[s]:0.000143, H2H_time:0.000049, sync_time:0.000094
iteration:169, F2F_time[s]:0.000142, H2H_time:0.000047, sync_time:0.000095
iteration:170, F2F_time[s]:0.000146, H2H_time:0.000049, sync_time:0.000097
iteration:171, F2F_time[s]:0.000145, H2H_time:0.000047, sync_time:0.000098
iteration:172, F2F_time[s]:0.000144, H2H_time:0.000048, sync_time:0.000096
iteration:173, F2F_time[s]:0.000147, H2H_time:0.000049, sync_time:0.000098
iteration:174, F2F_time[s]:0.000152, H2H_time:0.000047, sync_time:0.000105
iteration:175, F2F_time[s]:0.000157, H2H_time:0.000057, sync_time:0.000101
iteration:176, F2F_time[s]:0.000144, H2H_time:0.000049, sync_time:0.000095
iteration:177, F2F_time[s]:0.000149, H2H_time:0.000050, sync_time:0.000099
iteration:178, F2F_time[s]:0.000145, H2H_time:0.000048, sync_time:0.000097
