XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo2b
alveo2a
alveo1a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.001602, H2H_time:0.001026, sync_time:0.000576
iteration:1, F2F_time[s]:0.000884, H2H_time:0.000384, sync_time:0.000500
iteration:2, F2F_time[s]:0.001090, H2H_time:0.000450, sync_time:0.000640
iteration:3, F2F_time[s]:0.000886, H2H_time:0.000362, sync_time:0.000524
iteration:4, F2F_time[s]:0.000852, H2H_time:0.000342, sync_time:0.000510
iteration:5, F2F_time[s]:0.000914, H2H_time:0.000347, sync_time:0.000567
iteration:6, F2F_time[s]:0.000884, H2H_time:0.000360, sync_time:0.000524
iteration:7, F2F_time[s]:0.000835, H2H_time:0.000333, sync_time:0.000502
iteration:8, F2F_time[s]:0.000806, H2H_time:0.000344, sync_time:0.000462
iteration:9, F2F_time[s]:0.000856, H2H_time:0.000351, sync_time:0.000505
iteration:10, F2F_time[s]:0.000990, H2H_time:0.000437, sync_time:0.000553
iteration:11, F2F_time[s]:0.000836, H2H_time:0.000339, sync_time:0.000498
iteration:12, F2F_time[s]:0.000855, H2H_time:0.000320, sync_time:0.000535
iteration:13, F2F_time[s]:0.000998, H2H_time:0.000357, sync_time:0.000641
iteration:14, F2F_time[s]:0.000888, H2H_time:0.000348, sync_time:0.000540
iteration:15, F2F_time[s]:0.000967, H2H_time:0.000357, sync_time:0.000610
iteration:16, F2F_time[s]:0.000830, H2H_time:0.000326, sync_time:0.000504
iteration:17, F2F_time[s]:0.000807, H2H_time:0.000319, sync_time:0.000488
iteration:18, F2F_time[s]:0.000914, H2H_time:0.000332, sync_time:0.000582
iteration:19, F2F_time[s]:0.000773, H2H_time:0.000338, sync_time:0.000435
iteration:20, F2F_time[s]:0.000839, H2H_time:0.000340, sync_time:0.000499
iteration:21, F2F_time[s]:0.000803, H2H_time:0.000322, sync_time:0.000481
iteration:22, F2F_time[s]:0.000728, H2H_time:0.000333, sync_time:0.000395
iteration:23, F2F_time[s]:0.000749, H2H_time:0.000328, sync_time:0.000421
iteration:24, F2F_time[s]:0.000759, H2H_time:0.000329, sync_time:0.000431
iteration:25, F2F_time[s]:0.000734, H2H_time:0.000320, sync_time:0.000414
iteration:26, F2F_time[s]:0.000733, H2H_time:0.000303, sync_time:0.000430
iteration:27, F2F_time[s]:0.000727, H2H_time:0.000317, sync_time:0.000410
iteration:28, F2F_time[s]:0.000756, H2H_time:0.000307, sync_time:0.000449
iteration:29, F2F_time[s]:0.000815, H2H_time:0.000394, sync_time:0.000421
iteration:30, F2F_time[s]:0.000853, H2H_time:0.000317, sync_time:0.000536
iteration:31, F2F_time[s]:0.000843, H2H_time:0.000337, sync_time:0.000505
iteration:32, F2F_time[s]:0.000846, H2H_time:0.000318, sync_time:0.000528
iteration:33, F2F_time[s]:0.000905, H2H_time:0.000335, sync_time:0.000571
iteration:34, F2F_time[s]:0.000894, H2H_time:0.000321, sync_time:0.000573
iteration:35, F2F_time[s]:0.000970, H2H_time:0.000332, sync_time:0.000637
iteration:36, F2F_time[s]:0.001157, H2H_time:0.000430, sync_time:0.000727
iteration:37, F2F_time[s]:0.000874, H2H_time:0.000338, sync_time:0.000536
iteration:38, F2F_time[s]:0.000862, H2H_time:0.000317, sync_time:0.000545
iteration:39, F2F_time[s]:0.000841, H2H_time:0.000347, sync_time:0.000494
