XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo3c
alveo3b
alveo4b
alveo1a
alveo2a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:524288, num_elements:131072, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:524288, num_elements:131072, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:524288, num_elements:131072, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:200
Start Gather test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:200
iteration:0, F2F_time[s]:0.002164, H2H_time:0.001486, sync_time:0.000678
iteration:1, F2F_time[s]:0.001225, H2H_time:0.000743, sync_time:0.000482
iteration:2, F2F_time[s]:0.001203, H2H_time:0.000665, sync_time:0.000539
iteration:3, F2F_time[s]:0.001300, H2H_time:0.000732, sync_time:0.000568
iteration:4, F2F_time[s]:0.001123, H2H_time:0.000618, sync_time:0.000505
iteration:5, F2F_time[s]:0.001147, H2H_time:0.000629, sync_time:0.000518
iteration:6, F2F_time[s]:0.001082, H2H_time:0.000617, sync_time:0.000465
iteration:7, F2F_time[s]:0.001124, H2H_time:0.000600, sync_time:0.000524
iteration:8, F2F_time[s]:0.001127, H2H_time:0.000612, sync_time:0.000514
iteration:9, F2F_time[s]:0.001139, H2H_time:0.000614, sync_time:0.000525
iteration:10, F2F_time[s]:0.001244, H2H_time:0.000610, sync_time:0.000634
iteration:11, F2F_time[s]:0.001245, H2H_time:0.000618, sync_time:0.000627
iteration:12, F2F_time[s]:0.001385, H2H_time:0.000747, sync_time:0.000638
iteration:13, F2F_time[s]:0.001427, H2H_time:0.000801, sync_time:0.000625
iteration:14, F2F_time[s]:0.001478, H2H_time:0.000857, sync_time:0.000621
iteration:15, F2F_time[s]:0.001230, H2H_time:0.000667, sync_time:0.000564
iteration:16, F2F_time[s]:0.001257, H2H_time:0.000700, sync_time:0.000557
iteration:17, F2F_time[s]:0.001288, H2H_time:0.000711, sync_time:0.000578
iteration:18, F2F_time[s]:0.001318, H2H_time:0.000661, sync_time:0.000657
iteration:19, F2F_time[s]:0.001136, H2H_time:0.000590, sync_time:0.000546
iteration:20, F2F_time[s]:0.001104, H2H_time:0.000584, sync_time:0.000520
iteration:21, F2F_time[s]:0.001116, H2H_time:0.000579, sync_time:0.000537
iteration:22, F2F_time[s]:0.001174, H2H_time:0.000602, sync_time:0.000571
iteration:23, F2F_time[s]:0.001136, H2H_time:0.000594, sync_time:0.000542
iteration:24, F2F_time[s]:0.001116, H2H_time:0.000591, sync_time:0.000525
iteration:25, F2F_time[s]:0.001178, H2H_time:0.000589, sync_time:0.000589
iteration:26, F2F_time[s]:0.001107, H2H_time:0.000582, sync_time:0.000526
iteration:27, F2F_time[s]:0.001076, H2H_time:0.000602, sync_time:0.000474
iteration:28, F2F_time[s]:0.001104, H2H_time:0.000581, sync_time:0.000523
iteration:29, F2F_time[s]:0.001171, H2H_time:0.000582, sync_time:0.000589
iteration:30, F2F_time[s]:0.001251, H2H_time:0.000709, sync_time:0.000542
iteration:31, F2F_time[s]:0.001352, H2H_time:0.000750, sync_time:0.000602
iteration:32, F2F_time[s]:0.001311, H2H_time:0.000708, sync_time:0.000603
iteration:33, F2F_time[s]:0.001382, H2H_time:0.000702, sync_time:0.000679
iteration:34, F2F_time[s]:0.001270, H2H_time:0.000731, sync_time:0.000539
iteration:35, F2F_time[s]:0.001124, H2H_time:0.000594, sync_time:0.000530
iteration:36, F2F_time[s]:0.001172, H2H_time:0.000607, sync_time:0.000565
iteration:37, F2F_time[s]:0.001179, H2H_time:0.000601, sync_time:0.000578
iteration:38, F2F_time[s]:0.001120, H2H_time:0.000575, sync_time:0.000544
iteration:39, F2F_time[s]:0.001100, H2H_time:0.000578, sync_time:0.000522
iteration:40, F2F_time[s]:0.001118, H2H_time:0.000589, sync_time:0.000529
iteration:41, F2F_time[s]:0.001468, H2H_time:0.000827, sync_time:0.000640
iteration:42, F2F_time[s]:0.001278, H2H_time:0.000603, sync_time:0.000675
iteration:43, F2F_time[s]:0.001168, H2H_time:0.000582, sync_time:0.000586
iteration:44, F2F_time[s]:0.001169, H2H_time:0.000587, sync_time:0.000582
iteration:45, F2F_time[s]:0.001136, H2H_time:0.000602, sync_time:0.000533
iteration:46, F2F_time[s]:0.001173, H2H_time:0.000576, sync_time:0.000596
iteration:47, F2F_time[s]:0.001176, H2H_time:0.000569, sync_time:0.000607
iteration:48, F2F_time[s]:0.001258, H2H_time:0.000586, sync_time:0.000672
iteration:49, F2F_time[s]:0.001170, H2H_time:0.000584, sync_time:0.000586
iteration:50, F2F_time[s]:0.001109, H2H_time:0.000579, sync_time:0.000530
iteration:51, F2F_time[s]:0.001088, H2H_time:0.000565, sync_time:0.000522
iteration:52, F2F_time[s]:0.001148, H2H_time:0.000604, sync_time:0.000544
iteration:53, F2F_time[s]:0.001091, H2H_time:0.000564, sync_time:0.000527
iteration:54, F2F_time[s]:0.001163, H2H_time:0.000580, sync_time:0.000583
iteration:55, F2F_time[s]:0.001218, H2H_time:0.000585, sync_time:0.000633
iteration:56, F2F_time[s]:0.001207, H2H_time:0.000587, sync_time:0.000620
iteration:57, F2F_time[s]:0.001129, H2H_time:0.000583, sync_time:0.000546
