XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3b
alveo3c
alveo2b
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8388608, num_elements:2097152, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8388608, num_elements:2097152, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.009012, H2H_time:0.006320, sync_time:0.002692
iteration:1, F2F_time[s]:0.006863, H2H_time:0.004103, sync_time:0.002760
iteration:2, F2F_time[s]:0.006326, H2H_time:0.003512, sync_time:0.002814
iteration:3, F2F_time[s]:0.006161, H2H_time:0.003333, sync_time:0.002828
iteration:4, F2F_time[s]:0.005787, H2H_time:0.003046, sync_time:0.002741
iteration:5, F2F_time[s]:0.006476, H2H_time:0.003656, sync_time:0.002820
iteration:6, F2F_time[s]:0.005929, H2H_time:0.003216, sync_time:0.002714
iteration:7, F2F_time[s]:0.006011, H2H_time:0.003259, sync_time:0.002752
iteration:8, F2F_time[s]:0.006170, H2H_time:0.003242, sync_time:0.002928
iteration:9, F2F_time[s]:0.005814, H2H_time:0.003096, sync_time:0.002717
iteration:10, F2F_time[s]:0.005665, H2H_time:0.002872, sync_time:0.002793
iteration:11, F2F_time[s]:0.005786, H2H_time:0.002971, sync_time:0.002815
iteration:12, F2F_time[s]:0.005907, H2H_time:0.003105, sync_time:0.002802
iteration:13, F2F_time[s]:0.005827, H2H_time:0.003185, sync_time:0.002642
iteration:14, F2F_time[s]:0.005550, H2H_time:0.002898, sync_time:0.002653
iteration:15, F2F_time[s]:0.005814, H2H_time:0.002993, sync_time:0.002820
iteration:16, F2F_time[s]:0.006049, H2H_time:0.003221, sync_time:0.002829
iteration:17, F2F_time[s]:0.005730, H2H_time:0.002925, sync_time:0.002805
iteration:18, F2F_time[s]:0.006152, H2H_time:0.003166, sync_time:0.002986
iteration:19, F2F_time[s]:0.005694, H2H_time:0.002918, sync_time:0.002776
iteration:20, F2F_time[s]:0.005979, H2H_time:0.003230, sync_time:0.002749
iteration:21, F2F_time[s]:0.005692, H2H_time:0.002906, sync_time:0.002786
iteration:22, F2F_time[s]:0.005955, H2H_time:0.003180, sync_time:0.002776
iteration:23, F2F_time[s]:0.006057, H2H_time:0.003303, sync_time:0.002753
iteration:24, F2F_time[s]:0.006168, H2H_time:0.003387, sync_time:0.002782
iteration:25, F2F_time[s]:0.006027, H2H_time:0.003179, sync_time:0.002848
iteration:26, F2F_time[s]:0.005839, H2H_time:0.003126, sync_time:0.002713
iteration:27, F2F_time[s]:0.005746, H2H_time:0.002957, sync_time:0.002789
iteration:28, F2F_time[s]:0.006026, H2H_time:0.003239, sync_time:0.002788
iteration:29, F2F_time[s]:0.005833, H2H_time:0.003143, sync_time:0.002691
iteration:30, F2F_time[s]:0.006093, H2H_time:0.003279, sync_time:0.002814
iteration:31, F2F_time[s]:0.005668, H2H_time:0.002947, sync_time:0.002721
iteration:32, F2F_time[s]:0.005865, H2H_time:0.003036, sync_time:0.002829
iteration:33, F2F_time[s]:0.005980, H2H_time:0.003185, sync_time:0.002794
iteration:34, F2F_time[s]:0.005645, H2H_time:0.002951, sync_time:0.002694
iteration:35, F2F_time[s]:0.005679, H2H_time:0.002871, sync_time:0.002808
iteration:36, F2F_time[s]:0.005771, H2H_time:0.003034, sync_time:0.002737
iteration:37, F2F_time[s]:0.006063, H2H_time:0.003214, sync_time:0.002850
iteration:38, F2F_time[s]:0.006017, H2H_time:0.003212, sync_time:0.002805
iteration:39, F2F_time[s]:0.005578, H2H_time:0.002865, sync_time:0.002712
iteration:40, F2F_time[s]:0.005578, H2H_time:0.002864, sync_time:0.002715
iteration:41, F2F_time[s]:0.005521, H2H_time:0.002771, sync_time:0.002749
iteration:42, F2F_time[s]:0.005949, H2H_time:0.003213, sync_time:0.002736
iteration:43, F2F_time[s]:0.005933, H2H_time:0.003147, sync_time:0.002785
iteration:44, F2F_time[s]:0.005811, H2H_time:0.002997, sync_time:0.002814
iteration:45, F2F_time[s]:0.005921, H2H_time:0.003139, sync_time:0.002782
iteration:46, F2F_time[s]:0.005863, H2H_time:0.003116, sync_time:0.002748
iteration:47, F2F_time[s]:0.005912, H2H_time:0.003186, sync_time:0.002726
iteration:48, F2F_time[s]:0.005805, H2H_time:0.003003, sync_time:0.002803
iteration:49, F2F_time[s]:0.006266, H2H_time:0.003481, sync_time:0.002785
iteration:50, F2F_time[s]:0.005645, H2H_time:0.002920, sync_time:0.002725
