XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3b
alveo3c
alveo4c
alveo1a
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8192, num_elements:2048, num_trials:200
Start Gather test:
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8192, num_elements:2048, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8192, num_elements:2048, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8192, num_elements:2048, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8192, num_elements:2048, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8192, num_elements:2048, num_trials:200
iteration:0, F2F_time[s]:0.000681, H2H_time:0.000176, sync_time:0.000504
iteration:1, F2F_time[s]:0.000356, H2H_time:0.000077, sync_time:0.000279
iteration:2, F2F_time[s]:0.000256, H2H_time:0.000071, sync_time:0.000184
iteration:3, F2F_time[s]:0.000214, H2H_time:0.000062, sync_time:0.000153
iteration:4, F2F_time[s]:0.000218, H2H_time:0.000067, sync_time:0.000151
iteration:5, F2F_time[s]:0.000209, H2H_time:0.000064, sync_time:0.000146
iteration:6, F2F_time[s]:0.000225, H2H_time:0.000074, sync_time:0.000151
iteration:7, F2F_time[s]:0.000215, H2H_time:0.000065, sync_time:0.000149
iteration:8, F2F_time[s]:0.000206, H2H_time:0.000066, sync_time:0.000140
iteration:9, F2F_time[s]:0.000225, H2H_time:0.000061, sync_time:0.000164
iteration:10, F2F_time[s]:0.000222, H2H_time:0.000072, sync_time:0.000150
iteration:11, F2F_time[s]:0.000217, H2H_time:0.000062, sync_time:0.000155
iteration:12, F2F_time[s]:0.000212, H2H_time:0.000059, sync_time:0.000153
iteration:13, F2F_time[s]:0.000235, H2H_time:0.000065, sync_time:0.000171
iteration:14, F2F_time[s]:0.000226, H2H_time:0.000073, sync_time:0.000153
iteration:15, F2F_time[s]:0.000218, H2H_time:0.000065, sync_time:0.000152
iteration:16, F2F_time[s]:0.000222, H2H_time:0.000061, sync_time:0.000161
iteration:17, F2F_time[s]:0.000222, H2H_time:0.000059, sync_time:0.000163
iteration:18, F2F_time[s]:0.000220, H2H_time:0.000070, sync_time:0.000151
iteration:19, F2F_time[s]:0.000214, H2H_time:0.000059, sync_time:0.000155
iteration:20, F2F_time[s]:0.000217, H2H_time:0.000060, sync_time:0.000157
iteration:21, F2F_time[s]:0.000225, H2H_time:0.000061, sync_time:0.000164
iteration:22, F2F_time[s]:0.000222, H2H_time:0.000072, sync_time:0.000150
iteration:23, F2F_time[s]:0.000227, H2H_time:0.000060, sync_time:0.000166
iteration:24, F2F_time[s]:0.000224, H2H_time:0.000071, sync_time:0.000153
iteration:25, F2F_time[s]:0.000245, H2H_time:0.000061, sync_time:0.000184
iteration:26, F2F_time[s]:0.000260, H2H_time:0.000070, sync_time:0.000190
iteration:27, F2F_time[s]:0.000273, H2H_time:0.000057, sync_time:0.000216
iteration:28, F2F_time[s]:0.000249, H2H_time:0.000060, sync_time:0.000189
iteration:29, F2F_time[s]:0.000243, H2H_time:0.000058, sync_time:0.000185
iteration:30, F2F_time[s]:0.000292, H2H_time:0.000066, sync_time:0.000226
iteration:31, F2F_time[s]:0.000270, H2H_time:0.000058, sync_time:0.000212
iteration:32, F2F_time[s]:0.000255, H2H_time:0.000059, sync_time:0.000196
iteration:33, F2F_time[s]:0.000259, H2H_time:0.000063, sync_time:0.000196
iteration:34, F2F_time[s]:0.000265, H2H_time:0.000067, sync_time:0.000198
iteration:35, F2F_time[s]:0.000264, H2H_time:0.000058, sync_time:0.000205
iteration:36, F2F_time[s]:0.000270, H2H_time:0.000124, sync_time:0.000146
iteration:37, F2F_time[s]:0.000282, H2H_time:0.000136, sync_time:0.000147
iteration:38, F2F_time[s]:0.000253, H2H_time:0.000067, sync_time:0.000187
iteration:39, F2F_time[s]:0.000267, H2H_time:0.000121, sync_time:0.000147
iteration:40, F2F_time[s]:0.000264, H2H_time:0.000072, sync_time:0.000192
iteration:41, F2F_time[s]:0.000266, H2H_time:0.000062, sync_time:0.000204
iteration:42, F2F_time[s]:0.000213, H2H_time:0.000068, sync_time:0.000145
iteration:43, F2F_time[s]:0.000269, H2H_time:0.000061, sync_time:0.000208
iteration:44, F2F_time[s]:0.000215, H2H_time:0.000058, sync_time:0.000157
iteration:45, F2F_time[s]:0.000274, H2H_time:0.000054, sync_time:0.000220
iteration:46, F2F_time[s]:0.000247, H2H_time:0.000070, sync_time:0.000177
iteration:47, F2F_time[s]:0.000237, H2H_time:0.000060, sync_time:0.000177
iteration:48, F2F_time[s]:0.000266, H2H_time:0.000059, sync_time:0.000207
iteration:49, F2F_time[s]:0.000254, H2H_time:0.000057, sync_time:0.000196
iteration:50, F2F_time[s]:0.000319, H2H_time:0.000075, sync_time:0.000244
iteration:51, F2F_time[s]:0.000210, H2H_time:0.000056, sync_time:0.000154
iteration:52, F2F_time[s]:0.000201, H2H_time:0.000053, sync_time:0.000148
iteration:53, F2F_time[s]:0.000228, H2H_time:0.000050, sync_time:0.000178
iteration:54, F2F_time[s]:0.000197, H2H_time:0.000050, sync_time:0.000147
iteration:55, F2F_time[s]:0.000196, H2H_time:0.000052, sync_time:0.000145
iteration:56, F2F_time[s]:0.000188, H2H_time:0.000049, sync_time:0.000140
iteration:57, F2F_time[s]:0.000262, H2H_time:0.000053, sync_time:0.000209
iteration:58, F2F_time[s]:0.000286, H2H_time:0.000060, sync_time:0.000225
iteration:59, F2F_time[s]:0.000270, H2H_time:0.000052, sync_time:0.000217
iteration:60, F2F_time[s]:0.000272, H2H_time:0.000052, sync_time:0.000220
iteration:61, F2F_time[s]:0.000272, H2H_time:0.000051, sync_time:0.000221
iteration:62, F2F_time[s]:0.000281, H2H_time:0.000062, sync_time:0.000219
iteration:63, F2F_time[s]:0.000291, H2H_time:0.000052, sync_time:0.000239
iteration:64, F2F_time[s]:0.000269, H2H_time:0.000054, sync_time:0.000214
iteration:65, F2F_time[s]:0.000298, H2H_time:0.000048, sync_time:0.000250
iteration:66, F2F_time[s]:0.000289, H2H_time:0.000059, sync_time:0.000230
iteration:67, F2F_time[s]:0.000269, H2H_time:0.000054, sync_time:0.000216
iteration:68, F2F_time[s]:0.000278, H2H_time:0.000048, sync_time:0.000230
iteration:69, F2F_time[s]:0.000268, H2H_time:0.000052, sync_time:0.000216
iteration:70, F2F_time[s]:0.000286, H2H_time:0.000060, sync_time:0.000226
iteration:71, F2F_time[s]:0.000286, H2H_time:0.000050, sync_time:0.000236
iteration:72, F2F_time[s]:0.000280, H2H_time:0.000053, sync_time:0.000227
iteration:73, F2F_time[s]:0.000269, H2H_time:0.000049, sync_time:0.000220
iteration:74, F2F_time[s]:0.000269, H2H_time:0.000056, sync_time:0.000212
iteration:75, F2F_time[s]:0.000195, H2H_time:0.000049, sync_time:0.000146
iteration:76, F2F_time[s]:0.000207, H2H_time:0.000061, sync_time:0.000146
iteration:77, F2F_time[s]:0.000246, H2H_time:0.000107, sync_time:0.000139
iteration:78, F2F_time[s]:0.000193, H2H_time:0.000060, sync_time:0.000133
iteration:79, F2F_time[s]:0.000202, H2H_time:0.000057, sync_time:0.000145
iteration:80, F2F_time[s]:0.000197, H2H_time:0.000048, sync_time:0.000149
iteration:81, F2F_time[s]:0.000199, H2H_time:0.000051, sync_time:0.000147
iteration:82, F2F_time[s]:0.000205, H2H_time:0.000059, sync_time:0.000147
iteration:83, F2F_time[s]:0.000196, H2H_time:0.000049, sync_time:0.000147
iteration:84, F2F_time[s]:0.000198, H2H_time:0.000048, sync_time:0.000150
iteration:85, F2F_time[s]:0.000196, H2H_time:0.000051, sync_time:0.000145
iteration:86, F2F_time[s]:0.000209, H2H_time:0.000057, sync_time:0.000152
iteration:87, F2F_time[s]:0.000207, H2H_time:0.000049, sync_time:0.000158
iteration:88, F2F_time[s]:0.000195, H2H_time:0.000051, sync_time:0.000144
iteration:89, F2F_time[s]:0.000236, H2H_time:0.000049, sync_time:0.000186
iteration:90, F2F_time[s]:0.000205, H2H_time:0.000059, sync_time:0.000146
iteration:91, F2F_time[s]:0.000206, H2H_time:0.000050, sync_time:0.000155
iteration:92, F2F_time[s]:0.000200, H2H_time:0.000051, sync_time:0.000148
iteration:93, F2F_time[s]:0.000202, H2H_time:0.000063, sync_time:0.000139
iteration:94, F2F_time[s]:0.000203, H2H_time:0.000047, sync_time:0.000156
iteration:95, F2F_time[s]:0.000204, H2H_time:0.000052, sync_time:0.000152
iteration:96, F2F_time[s]:0.000207, H2H_time:0.000049, sync_time:0.000158
iteration:97, F2F_time[s]:0.000202, H2H_time:0.000056, sync_time:0.000146
iteration:98, F2F_time[s]:0.000208, H2H_time:0.000049, sync_time:0.000159
iteration:99, F2F_time[s]:0.000205, H2H_time:0.000048, sync_time:0.000158
iteration:100, F2F_time[s]:0.000204, H2H_time:0.000051, sync_time:0.000153
iteration:101, F2F_time[s]:0.000205, H2H_time:0.000057, sync_time:0.000148
iteration:102, F2F_time[s]:0.000200, H2H_time:0.000049, sync_time:0.000151
iteration:103, F2F_time[s]:0.000215, H2H_time:0.000055, sync_time:0.000159
iteration:104, F2F_time[s]:0.000202, H2H_time:0.000052, sync_time:0.000150
iteration:105, F2F_time[s]:0.000201, H2H_time:0.000057, sync_time:0.000143
iteration:106, F2F_time[s]:0.000199, H2H_time:0.000048, sync_time:0.000151
iteration:107, F2F_time[s]:0.000208, H2H_time:0.000049, sync_time:0.000159
iteration:108, F2F_time[s]:0.000204, H2H_time:0.000053, sync_time:0.000151
iteration:109, F2F_time[s]:0.000204, H2H_time:0.000056, sync_time:0.000149
