XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo3b
alveo1b
alveo2a
alveo2b
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2097152, num_elements:524288, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:100
Start Gather test:
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:2097152, num_elements:524288, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:100
iteration:0, time[s]:0.003249
iteration:1, time[s]:0.001946
iteration:2, time[s]:0.001546
iteration:3, time[s]:0.001495
iteration:4, time[s]:0.001546
iteration:5, time[s]:0.001505
iteration:6, time[s]:0.001504
iteration:7, time[s]:0.001462
iteration:8, time[s]:0.001611
iteration:9, time[s]:0.001579
iteration:10, time[s]:0.001490
iteration:11, time[s]:0.001468
iteration:12, time[s]:0.001476
iteration:13, time[s]:0.001425
iteration:14, time[s]:0.001445
iteration:15, time[s]:0.001371
iteration:16, time[s]:0.001508
iteration:17, time[s]:0.001481
iteration:18, time[s]:0.001288
iteration:19, time[s]:0.001349
iteration:20, time[s]:0.001489
iteration:21, time[s]:0.001556
iteration:22, time[s]:0.001544
iteration:23, time[s]:0.001416
iteration:24, time[s]:0.001456
iteration:25, time[s]:0.001322
iteration:26, time[s]:0.001335
iteration:27, time[s]:0.001434
iteration:28, time[s]:0.001498
iteration:29, time[s]:0.001511
iteration:30, time[s]:0.001259
iteration:31, time[s]:0.001470
iteration:32, time[s]:0.001609
iteration:33, time[s]:0.001544
iteration:34, time[s]:0.001324
iteration:35, time[s]:0.001366
iteration:36, time[s]:0.001439
iteration:37, time[s]:0.001407
iteration:38, time[s]:0.001423
iteration:39, time[s]:0.001421
iteration:40, time[s]:0.001469
iteration:41, time[s]:0.001419
iteration:42, time[s]:0.001422
iteration:43, time[s]:0.001404
iteration:44, time[s]:0.001560
iteration:45, time[s]:0.001423
iteration:46, time[s]:0.001314
iteration:47, time[s]:0.001577
iteration:48, time[s]:0.001544
iteration:49, time[s]:0.001405
iteration:50, time[s]:0.001591
iteration:51, time[s]:0.001719
iteration:52, time[s]:0.001579
iteration:53, time[s]:0.001575
iteration:54, time[s]:0.001604
iteration:55, time[s]:0.001503
iteration:56, time[s]:0.001439
iteration:57, time[s]:0.001588
iteration:58, time[s]:0.001470
iteration:59, time[s]:0.001392
iteration:60, time[s]:0.001635
iteration:61, time[s]:0.001430
iteration:62, time[s]:0.001488
iteration:63, time[s]:0.001622
iteration:64, time[s]:0.001448
iteration:65, time[s]:0.001548
iteration:66, time[s]:0.001578
iteration:67, time[s]:0.001508
iteration:68, time[s]:0.001467
iteration:69, time[s]:0.001574
iteration:70, time[s]:0.001518
iteration:71, time[s]:0.001481
iteration:72, time[s]:0.001608
iteration:73, time[s]:0.001578
iteration:74, time[s]:0.001542
iteration:75, time[s]:0.001602
iteration:76, time[s]:0.001501
iteration:77, time[s]:0.001526
iteration:78, time[s]:0.001432
iteration:79, time[s]:0.001568
iteration:80, time[s]:0.001657
iteration:81, time[s]:0.001420
iteration:82, time[s]:0.001405
iteration:83, time[s]:0.001591
iteration:84, time[s]:0.001454
iteration:85, time[s]:0.001451
iteration:86, time[s]:0.001563
iteration:87, time[s]:0.001510
iteration:88, time[s]:0.001400
iteration:89, time[s]:0.001660
iteration:90, time[s]:0.001503
iteration:91, time[s]:0.001479
iteration:92, time[s]:0.001787
iteration:93, time[s]:0.001563
iteration:94, time[s]:0.001491
iteration:95, time[s]:0.001750
iteration:96, time[s]:0.001585
iteration:97, time[s]:0.001428
iteration:98, time[s]:0.001746
iteration:99, time[s]:0.001454
iteration:100, time[s]:0.001512
Data size = 2097152, Trials = 100
Avg MPI time [us]= *1503.777940, throughput [Gbps] = 11.156711
