XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3b
alveo4c
alveo1a
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1048576, num_elements:262144, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:1048576, num_elements:262144, num_trials:200
Start Gather test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1048576, num_elements:262144, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1048576, num_elements:262144, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1048576, num_elements:262144, num_trials:200
iteration:0, F2F_time[s]:0.002597, H2H_time:0.001734, sync_time:0.000863
iteration:1, F2F_time[s]:0.001567, H2H_time:0.000886, sync_time:0.000681
iteration:2, F2F_time[s]:0.001564, H2H_time:0.000853, sync_time:0.000711
iteration:3, F2F_time[s]:0.001474, H2H_time:0.000778, sync_time:0.000695
iteration:4, F2F_time[s]:0.001545, H2H_time:0.000805, sync_time:0.000740
iteration:5, F2F_time[s]:0.001544, H2H_time:0.000748, sync_time:0.000796
iteration:6, F2F_time[s]:0.001427, H2H_time:0.000672, sync_time:0.000756
iteration:7, F2F_time[s]:0.001476, H2H_time:0.000643, sync_time:0.000833
iteration:8, F2F_time[s]:0.001365, H2H_time:0.000588, sync_time:0.000777
iteration:9, F2F_time[s]:0.001390, H2H_time:0.000620, sync_time:0.000770
iteration:10, F2F_time[s]:0.001439, H2H_time:0.000674, sync_time:0.000765
iteration:11, F2F_time[s]:0.001368, H2H_time:0.000635, sync_time:0.000733
iteration:12, F2F_time[s]:0.001300, H2H_time:0.000544, sync_time:0.000756
iteration:13, F2F_time[s]:0.001494, H2H_time:0.000707, sync_time:0.000787
iteration:14, F2F_time[s]:0.001468, H2H_time:0.000622, sync_time:0.000845
iteration:15, F2F_time[s]:0.001440, H2H_time:0.000672, sync_time:0.000768
iteration:16, F2F_time[s]:0.001439, H2H_time:0.000687, sync_time:0.000751
iteration:17, F2F_time[s]:0.001350, H2H_time:0.000590, sync_time:0.000760
iteration:18, F2F_time[s]:0.001361, H2H_time:0.000569, sync_time:0.000792
iteration:19, F2F_time[s]:0.001471, H2H_time:0.000670, sync_time:0.000800
iteration:20, F2F_time[s]:0.001474, H2H_time:0.000717, sync_time:0.000756
iteration:21, F2F_time[s]:0.001217, H2H_time:0.000508, sync_time:0.000708
iteration:22, F2F_time[s]:0.001334, H2H_time:0.000569, sync_time:0.000765
iteration:23, F2F_time[s]:0.001355, H2H_time:0.000573, sync_time:0.000782
iteration:24, F2F_time[s]:0.001247, H2H_time:0.000529, sync_time:0.000718
iteration:25, F2F_time[s]:0.001323, H2H_time:0.000567, sync_time:0.000756
iteration:26, F2F_time[s]:0.001406, H2H_time:0.000611, sync_time:0.000795
iteration:27, F2F_time[s]:0.001314, H2H_time:0.000538, sync_time:0.000775
iteration:28, F2F_time[s]:0.001446, H2H_time:0.000667, sync_time:0.000779
iteration:29, F2F_time[s]:0.001413, H2H_time:0.000639, sync_time:0.000774
iteration:30, F2F_time[s]:0.001427, H2H_time:0.000591, sync_time:0.000836
iteration:31, F2F_time[s]:0.001440, H2H_time:0.000655, sync_time:0.000784
iteration:32, F2F_time[s]:0.001479, H2H_time:0.000598, sync_time:0.000881
iteration:33, F2F_time[s]:0.001438, H2H_time:0.000589, sync_time:0.000849
iteration:34, F2F_time[s]:0.001401, H2H_time:0.000595, sync_time:0.000806
iteration:35, F2F_time[s]:0.001335, H2H_time:0.000561, sync_time:0.000774
iteration:36, F2F_time[s]:0.001423, H2H_time:0.000550, sync_time:0.000873
iteration:37, F2F_time[s]:0.001270, H2H_time:0.000522, sync_time:0.000748
iteration:38, F2F_time[s]:0.001321, H2H_time:0.000530, sync_time:0.000791
iteration:39, F2F_time[s]:0.001330, H2H_time:0.000590, sync_time:0.000740
iteration:40, F2F_time[s]:0.001298, H2H_time:0.000501, sync_time:0.000797
iteration:41, F2F_time[s]:0.001392, H2H_time:0.000632, sync_time:0.000760
iteration:42, F2F_time[s]:0.001390, H2H_time:0.000558, sync_time:0.000833
iteration:43, F2F_time[s]:0.001330, H2H_time:0.000538, sync_time:0.000792
iteration:44, F2F_time[s]:0.001403, H2H_time:0.000617, sync_time:0.000786
iteration:45, F2F_time[s]:0.001379, H2H_time:0.000579, sync_time:0.000801
