XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo4c
alveo1a
alveo3b
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.024348, H2H_time:0.015472, sync_time:0.008876
iteration:1, F2F_time[s]:0.022586, H2H_time:0.013774, sync_time:0.008812
iteration:2, F2F_time[s]:0.022936, H2H_time:0.014111, sync_time:0.008826
iteration:3, F2F_time[s]:0.022641, H2H_time:0.013878, sync_time:0.008762
iteration:4, F2F_time[s]:0.021872, H2H_time:0.013057, sync_time:0.008815
iteration:5, F2F_time[s]:0.022514, H2H_time:0.013707, sync_time:0.008807
iteration:6, F2F_time[s]:0.022018, H2H_time:0.013211, sync_time:0.008807
iteration:7, F2F_time[s]:0.022419, H2H_time:0.013625, sync_time:0.008794
iteration:8, F2F_time[s]:0.021862, H2H_time:0.013125, sync_time:0.008738
iteration:9, F2F_time[s]:0.021433, H2H_time:0.012682, sync_time:0.008751
iteration:10, F2F_time[s]:0.021688, H2H_time:0.012916, sync_time:0.008772
iteration:11, F2F_time[s]:0.021563, H2H_time:0.012762, sync_time:0.008801
iteration:12, F2F_time[s]:0.021745, H2H_time:0.012967, sync_time:0.008778
iteration:13, F2F_time[s]:0.021437, H2H_time:0.012784, sync_time:0.008653
iteration:14, F2F_time[s]:0.021867, H2H_time:0.013210, sync_time:0.008658
iteration:15, F2F_time[s]:0.021557, H2H_time:0.012877, sync_time:0.008679
iteration:16, F2F_time[s]:0.021298, H2H_time:0.012600, sync_time:0.008698
iteration:17, F2F_time[s]:0.021305, H2H_time:0.012605, sync_time:0.008700
iteration:18, F2F_time[s]:0.021345, H2H_time:0.012641, sync_time:0.008704
iteration:19, F2F_time[s]:0.021708, H2H_time:0.013055, sync_time:0.008654
iteration:20, F2F_time[s]:0.021586, H2H_time:0.012901, sync_time:0.008685
iteration:21, F2F_time[s]:0.021819, H2H_time:0.013117, sync_time:0.008702
iteration:22, F2F_time[s]:0.021987, H2H_time:0.013296, sync_time:0.008691
iteration:23, F2F_time[s]:0.021224, H2H_time:0.012483, sync_time:0.008741
iteration:24, F2F_time[s]:0.021329, H2H_time:0.012663, sync_time:0.008666
iteration:25, F2F_time[s]:0.022195, H2H_time:0.013467, sync_time:0.008728
iteration:26, F2F_time[s]:0.021773, H2H_time:0.013079, sync_time:0.008694
iteration:27, F2F_time[s]:0.021555, H2H_time:0.012918, sync_time:0.008637
iteration:28, F2F_time[s]:0.022104, H2H_time:0.013373, sync_time:0.008731
iteration:29, F2F_time[s]:0.021554, H2H_time:0.012913, sync_time:0.008641
iteration:30, F2F_time[s]:0.022067, H2H_time:0.013354, sync_time:0.008713
iteration:31, F2F_time[s]:0.021755, H2H_time:0.013085, sync_time:0.008670
iteration:32, F2F_time[s]:0.022189, H2H_time:0.013470, sync_time:0.008719
iteration:33, F2F_time[s]:0.022313, H2H_time:0.013603, sync_time:0.008711
iteration:34, F2F_time[s]:0.021684, H2H_time:0.012999, sync_time:0.008686
iteration:35, F2F_time[s]:0.022225, H2H_time:0.013522, sync_time:0.008704
iteration:36, F2F_time[s]:0.022118, H2H_time:0.013384, sync_time:0.008734
iteration:37, F2F_time[s]:0.021551, H2H_time:0.012887, sync_time:0.008664
iteration:38, F2F_time[s]:0.021969, H2H_time:0.013291, sync_time:0.008679
iteration:39, F2F_time[s]:0.021151, H2H_time:0.012448, sync_time:0.008703
iteration:40, F2F_time[s]:0.021949, H2H_time:0.013269, sync_time:0.008681
iteration:41, F2F_time[s]:0.021789, H2H_time:0.013107, sync_time:0.008682
iteration:42, F2F_time[s]:0.021225, H2H_time:0.012588, sync_time:0.008637
iteration:43, F2F_time[s]:0.021699, H2H_time:0.013049, sync_time:0.008649
iteration:44, F2F_time[s]:0.021758, H2H_time:0.013042, sync_time:0.008717
iteration:45, F2F_time[s]:0.022041, H2H_time:0.013400, sync_time:0.008641
iteration:46, F2F_time[s]:0.022138, H2H_time:0.013439, sync_time:0.008699
iteration:47, F2F_time[s]:0.021576, H2H_time:0.012957, sync_time:0.008620
iteration:48, F2F_time[s]:0.021176, H2H_time:0.012519, sync_time:0.008657
iteration:49, F2F_time[s]:0.021362, H2H_time:0.012707, sync_time:0.008656
iteration:50, F2F_time[s]:0.021197, H2H_time:0.012562, sync_time:0.008635
iteration:51, F2F_time[s]:0.021299, H2H_time:0.012614, sync_time:0.008685
iteration:52, F2F_time[s]:0.021119, H2H_time:0.012462, sync_time:0.008657
iteration:53, F2F_time[s]:0.021035, H2H_time:0.012384, sync_time:0.008651
iteration:54, F2F_time[s]:0.021374, H2H_time:0.012698, sync_time:0.008676
iteration:55, F2F_time[s]:0.021633, H2H_time:0.012987, sync_time:0.008646
iteration:56, F2F_time[s]:0.021954, H2H_time:0.013258, sync_time:0.008696
iteration:57, F2F_time[s]:0.021683, H2H_time:0.013020, sync_time:0.008663
iteration:58, F2F_time[s]:0.022247, H2H_time:0.013564, sync_time:0.008683
iteration:59, F2F_time[s]:0.021907, H2H_time:0.013213, sync_time:0.008693
iteration:60, F2F_time[s]:0.021477, H2H_time:0.012809, sync_time:0.008668
iteration:61, F2F_time[s]:0.021292, H2H_time:0.012614, sync_time:0.008677
iteration:62, F2F_time[s]:0.021714, H2H_time:0.013018, sync_time:0.008697
iteration:63, F2F_time[s]:0.021408, H2H_time:0.012728, sync_time:0.008680
iteration:64, F2F_time[s]:0.021885, H2H_time:0.013224, sync_time:0.008661
iteration:65, F2F_time[s]:0.022140, H2H_time:0.013440, sync_time:0.008700
iteration:66, F2F_time[s]:0.021672, H2H_time:0.012954, sync_time:0.008718
iteration:67, F2F_time[s]:0.022135, H2H_time:0.013437, sync_time:0.008698
iteration:68, F2F_time[s]:0.022085, H2H_time:0.013413, sync_time:0.008672
iteration:69, F2F_time[s]:0.021685, H2H_time:0.012994, sync_time:0.008692
iteration:70, F2F_time[s]:0.021542, H2H_time:0.012944, sync_time:0.008597
iteration:71, F2F_time[s]:0.021324, H2H_time:0.012652, sync_time:0.008672
iteration:72, F2F_time[s]:0.022029, H2H_time:0.013075, sync_time:0.008954
iteration:73, F2F_time[s]:0.021459, H2H_time:0.012786, sync_time:0.008673
iteration:74, F2F_time[s]:0.021795, H2H_time:0.013116, sync_time:0.008679
iteration:75, F2F_time[s]:0.021507, H2H_time:0.012827, sync_time:0.008680
iteration:76, F2F_time[s]:0.021866, H2H_time:0.013189, sync_time:0.008677
iteration:77, F2F_time[s]:0.022580, H2H_time:0.013887, sync_time:0.008693
iteration:78, F2F_time[s]:0.021848, H2H_time:0.013163, sync_time:0.008685
iteration:79, F2F_time[s]:0.022301, H2H_time:0.013628, sync_time:0.008673
iteration:80, F2F_time[s]:0.022180, H2H_time:0.013489, sync_time:0.008691
iteration:81, F2F_time[s]:0.022373, H2H_time:0.013634, sync_time:0.008740
iteration:82, F2F_time[s]:0.022101, H2H_time:0.013443, sync_time:0.008657
iteration:83, F2F_time[s]:0.022532, H2H_time:0.013896, sync_time:0.008636
iteration:84, F2F_time[s]:0.022455, H2H_time:0.013732, sync_time:0.008723
iteration:85, F2F_time[s]:0.022054, H2H_time:0.013323, sync_time:0.008732
iteration:86, F2F_time[s]:0.021712, H2H_time:0.013029, sync_time:0.008683
iteration:87, F2F_time[s]:0.021904, H2H_time:0.013204, sync_time:0.008700
iteration:88, F2F_time[s]:0.022773, H2H_time:0.014049, sync_time:0.008724
iteration:89, F2F_time[s]:0.022474, H2H_time:0.013760, sync_time:0.008714
iteration:90, F2F_time[s]:0.022675, H2H_time:0.014010, sync_time:0.008665
iteration:91, F2F_time[s]:0.022478, H2H_time:0.013748, sync_time:0.008730
iteration:92, F2F_time[s]:0.022261, H2H_time:0.013579, sync_time:0.008683
iteration:93, F2F_time[s]:0.022397, H2H_time:0.013706, sync_time:0.008691
iteration:94, F2F_time[s]:0.022216, H2H_time:0.013550, sync_time:0.008666
iteration:95, F2F_time[s]:0.022185, H2H_time:0.013502, sync_time:0.008683
iteration:96, F2F_time[s]:0.021544, H2H_time:0.012910, sync_time:0.008634
iteration:97, F2F_time[s]:0.021590, H2H_time:0.012872, sync_time:0.008718
iteration:98, F2F_time[s]:0.022731, H2H_time:0.014061, sync_time:0.008670
iteration:99, F2F_time[s]:0.022019, H2H_time:0.013366, sync_time:0.008653
iteration:100, F2F_time[s]:0.022258, H2H_time:0.013565, sync_time:0.008692
iteration:101, F2F_time[s]:0.022445, H2H_time:0.013845, sync_time:0.008599
iteration:102, F2F_time[s]:0.022207, H2H_time:0.013524, sync_time:0.008683
iteration:103, F2F_time[s]:0.022580, H2H_time:0.013878, sync_time:0.008702
iteration:104, F2F_time[s]:0.022418, H2H_time:0.013759, sync_time:0.008659
iteration:105, F2F_time[s]:0.022105, H2H_time:0.013423, sync_time:0.008682
iteration:106, F2F_time[s]:0.021297, H2H_time:0.012606, sync_time:0.008691
iteration:107, F2F_time[s]:0.021590, H2H_time:0.012939, sync_time:0.008651
iteration:108, F2F_time[s]:0.022205, H2H_time:0.013490, sync_time:0.008715
iteration:109, F2F_time[s]:0.022162, H2H_time:0.013473, sync_time:0.008688
iteration:110, F2F_time[s]:0.022251, H2H_time:0.013539, sync_time:0.008712
iteration:111, F2F_time[s]:0.022633, H2H_time:0.013902, sync_time:0.008731
iteration:112, F2F_time[s]:0.022956, H2H_time:0.014268, sync_time:0.008687
iteration:113, F2F_time[s]:0.022423, H2H_time:0.013726, sync_time:0.008697
iteration:114, F2F_time[s]:0.021922, H2H_time:0.013277, sync_time:0.008644
iteration:115, F2F_time[s]:0.021948, H2H_time:0.013253, sync_time:0.008695
iteration:116, F2F_time[s]:0.022247, H2H_time:0.013563, sync_time:0.008684
