XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2b
alveo3c
alveo3b
alveo4c
alveo2a
alveo1a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:33554432, num_elements:8388608, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.028781, H2H_time:0.020510, sync_time:0.008271
iteration:1, F2F_time[s]:0.022674, H2H_time:0.014286, sync_time:0.008389
iteration:2, F2F_time[s]:0.022668, H2H_time:0.014269, sync_time:0.008398
iteration:3, F2F_time[s]:0.022417, H2H_time:0.014016, sync_time:0.008401
iteration:4, F2F_time[s]:0.022693, H2H_time:0.014392, sync_time:0.008301
iteration:5, F2F_time[s]:0.022046, H2H_time:0.013608, sync_time:0.008438
iteration:6, F2F_time[s]:0.022907, H2H_time:0.014501, sync_time:0.008406
iteration:7, F2F_time[s]:0.023120, H2H_time:0.014798, sync_time:0.008322
iteration:8, F2F_time[s]:0.022785, H2H_time:0.014387, sync_time:0.008398
iteration:9, F2F_time[s]:0.022424, H2H_time:0.014087, sync_time:0.008336
iteration:10, F2F_time[s]:0.021575, H2H_time:0.013293, sync_time:0.008283
iteration:11, F2F_time[s]:0.022394, H2H_time:0.014017, sync_time:0.008377
iteration:12, F2F_time[s]:0.022135, H2H_time:0.013858, sync_time:0.008277
iteration:13, F2F_time[s]:0.022117, H2H_time:0.013842, sync_time:0.008275
iteration:14, F2F_time[s]:0.021546, H2H_time:0.013327, sync_time:0.008219
iteration:15, F2F_time[s]:0.021491, H2H_time:0.013117, sync_time:0.008374
iteration:16, F2F_time[s]:0.022186, H2H_time:0.013796, sync_time:0.008390
iteration:17, F2F_time[s]:0.022534, H2H_time:0.014101, sync_time:0.008432
iteration:18, F2F_time[s]:0.022037, H2H_time:0.013662, sync_time:0.008375
iteration:19, F2F_time[s]:0.022054, H2H_time:0.013712, sync_time:0.008342
iteration:20, F2F_time[s]:0.022329, H2H_time:0.013952, sync_time:0.008377
iteration:21, F2F_time[s]:0.022269, H2H_time:0.013889, sync_time:0.008379
iteration:22, F2F_time[s]:0.022564, H2H_time:0.014180, sync_time:0.008384
iteration:23, F2F_time[s]:0.021586, H2H_time:0.013206, sync_time:0.008380
iteration:24, F2F_time[s]:0.021751, H2H_time:0.013363, sync_time:0.008387
iteration:25, F2F_time[s]:0.022516, H2H_time:0.014118, sync_time:0.008397
iteration:26, F2F_time[s]:0.022396, H2H_time:0.014052, sync_time:0.008344
iteration:27, F2F_time[s]:0.021739, H2H_time:0.013511, sync_time:0.008228
iteration:28, F2F_time[s]:0.021374, H2H_time:0.012993, sync_time:0.008381
iteration:29, F2F_time[s]:0.021404, H2H_time:0.013027, sync_time:0.008378
iteration:30, F2F_time[s]:0.021448, H2H_time:0.013189, sync_time:0.008260
iteration:31, F2F_time[s]:0.021738, H2H_time:0.013345, sync_time:0.008394
iteration:32, F2F_time[s]:0.021381, H2H_time:0.013058, sync_time:0.008323
iteration:33, F2F_time[s]:0.021863, H2H_time:0.013485, sync_time:0.008377
iteration:34, F2F_time[s]:0.021796, H2H_time:0.013423, sync_time:0.008373
iteration:35, F2F_time[s]:0.022370, H2H_time:0.014052, sync_time:0.008318
iteration:36, F2F_time[s]:0.022263, H2H_time:0.013938, sync_time:0.008325
iteration:37, F2F_time[s]:0.021403, H2H_time:0.013015, sync_time:0.008388
iteration:38, F2F_time[s]:0.021769, H2H_time:0.013353, sync_time:0.008417
iteration:39, F2F_time[s]:0.022087, H2H_time:0.013705, sync_time:0.008382
iteration:40, F2F_time[s]:0.022136, H2H_time:0.013727, sync_time:0.008409
iteration:41, F2F_time[s]:0.022198, H2H_time:0.013812, sync_time:0.008386
iteration:42, F2F_time[s]:0.022365, H2H_time:0.013981, sync_time:0.008384
iteration:43, F2F_time[s]:0.021962, H2H_time:0.013729, sync_time:0.008234
iteration:44, F2F_time[s]:0.021938, H2H_time:0.013525, sync_time:0.008412
iteration:45, F2F_time[s]:0.022215, H2H_time:0.013868, sync_time:0.008346
iteration:46, F2F_time[s]:0.022058, H2H_time:0.013745, sync_time:0.008313
iteration:47, F2F_time[s]:0.022372, H2H_time:0.013989, sync_time:0.008383
iteration:48, F2F_time[s]:0.022729, H2H_time:0.014340, sync_time:0.008389
iteration:49, F2F_time[s]:0.022513, H2H_time:0.014107, sync_time:0.008405
iteration:50, F2F_time[s]:0.022273, H2H_time:0.013867, sync_time:0.008406
