XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo3c
alveo4c
alveo4b
alveo2a
alveo2b
alveo1a
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:33554432, num_elements:8388608, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
Start Gather test:
iteration:0, F2F_time[s]:0.026649, H2H_time:0.018227, sync_time:0.008422
iteration:1, F2F_time[s]:0.023636, H2H_time:0.015213, sync_time:0.008422
iteration:2, F2F_time[s]:0.023288, H2H_time:0.014872, sync_time:0.008417
iteration:3, F2F_time[s]:0.023853, H2H_time:0.015350, sync_time:0.008503
iteration:4, F2F_time[s]:0.023490, H2H_time:0.015120, sync_time:0.008371
iteration:5, F2F_time[s]:0.023445, H2H_time:0.015009, sync_time:0.008436
iteration:6, F2F_time[s]:0.023301, H2H_time:0.014894, sync_time:0.008407
iteration:7, F2F_time[s]:0.023323, H2H_time:0.014977, sync_time:0.008346
iteration:8, F2F_time[s]:0.023601, H2H_time:0.015202, sync_time:0.008399
iteration:9, F2F_time[s]:0.023148, H2H_time:0.014722, sync_time:0.008426
iteration:10, F2F_time[s]:0.023095, H2H_time:0.014712, sync_time:0.008383
iteration:11, F2F_time[s]:0.023592, H2H_time:0.015189, sync_time:0.008404
iteration:12, F2F_time[s]:0.023393, H2H_time:0.015011, sync_time:0.008382
iteration:13, F2F_time[s]:0.022914, H2H_time:0.014600, sync_time:0.008314
iteration:14, F2F_time[s]:0.023074, H2H_time:0.014758, sync_time:0.008316
iteration:15, F2F_time[s]:0.022916, H2H_time:0.014563, sync_time:0.008352
iteration:16, F2F_time[s]:0.023000, H2H_time:0.014591, sync_time:0.008408
iteration:17, F2F_time[s]:0.023437, H2H_time:0.015024, sync_time:0.008413
iteration:18, F2F_time[s]:0.022937, H2H_time:0.014608, sync_time:0.008328
iteration:19, F2F_time[s]:0.022688, H2H_time:0.014263, sync_time:0.008426
iteration:20, F2F_time[s]:0.023763, H2H_time:0.015328, sync_time:0.008435
iteration:21, F2F_time[s]:0.022639, H2H_time:0.014178, sync_time:0.008461
iteration:22, F2F_time[s]:0.022804, H2H_time:0.014503, sync_time:0.008300
iteration:23, F2F_time[s]:0.022863, H2H_time:0.014607, sync_time:0.008256
iteration:24, F2F_time[s]:0.022882, H2H_time:0.014656, sync_time:0.008226
iteration:25, F2F_time[s]:0.022516, H2H_time:0.014272, sync_time:0.008245
iteration:26, F2F_time[s]:0.022719, H2H_time:0.014508, sync_time:0.008211
iteration:27, F2F_time[s]:0.023304, H2H_time:0.015041, sync_time:0.008263
iteration:28, F2F_time[s]:0.022748, H2H_time:0.014585, sync_time:0.008162
iteration:29, F2F_time[s]:0.023015, H2H_time:0.014781, sync_time:0.008234
iteration:30, F2F_time[s]:0.022522, H2H_time:0.014271, sync_time:0.008251
iteration:31, F2F_time[s]:0.023019, H2H_time:0.014751, sync_time:0.008268
iteration:32, F2F_time[s]:0.022348, H2H_time:0.014205, sync_time:0.008143
iteration:33, F2F_time[s]:0.022998, H2H_time:0.014823, sync_time:0.008175
iteration:34, F2F_time[s]:0.022419, H2H_time:0.014196, sync_time:0.008222
iteration:35, F2F_time[s]:0.023482, H2H_time:0.015231, sync_time:0.008251
iteration:36, F2F_time[s]:0.022803, H2H_time:0.014631, sync_time:0.008173
iteration:37, F2F_time[s]:0.023848, H2H_time:0.015560, sync_time:0.008288
iteration:38, F2F_time[s]:0.023053, H2H_time:0.014811, sync_time:0.008242
iteration:39, F2F_time[s]:0.023574, H2H_time:0.015286, sync_time:0.008289
iteration:40, F2F_time[s]:0.022653, H2H_time:0.014393, sync_time:0.008260
iteration:41, F2F_time[s]:0.022416, H2H_time:0.014149, sync_time:0.008267
iteration:42, F2F_time[s]:0.022739, H2H_time:0.014494, sync_time:0.008245
iteration:43, F2F_time[s]:0.023131, H2H_time:0.014839, sync_time:0.008292
iteration:44, F2F_time[s]:0.022680, H2H_time:0.014368, sync_time:0.008312
iteration:45, F2F_time[s]:0.022407, H2H_time:0.014169, sync_time:0.008238
iteration:46, F2F_time[s]:0.022692, H2H_time:0.014437, sync_time:0.008256
iteration:47, F2F_time[s]:0.022775, H2H_time:0.014482, sync_time:0.008292
iteration:48, F2F_time[s]:0.023479, H2H_time:0.015082, sync_time:0.008397
iteration:49, F2F_time[s]:0.022751, H2H_time:0.014383, sync_time:0.008368
iteration:50, F2F_time[s]:0.023049, H2H_time:0.014754, sync_time:0.008294
iteration:51, F2F_time[s]:0.023112, H2H_time:0.014808, sync_time:0.008304
iteration:52, F2F_time[s]:0.022526, H2H_time:0.014204, sync_time:0.008322
iteration:53, F2F_time[s]:0.022975, H2H_time:0.014687, sync_time:0.008287
iteration:54, F2F_time[s]:0.022844, H2H_time:0.014203, sync_time:0.008641
iteration:55, F2F_time[s]:0.022999, H2H_time:0.014679, sync_time:0.008320
iteration:56, F2F_time[s]:0.022772, H2H_time:0.014438, sync_time:0.008334
iteration:57, F2F_time[s]:0.022567, H2H_time:0.014242, sync_time:0.008324
iteration:58, F2F_time[s]:0.022946, H2H_time:0.014616, sync_time:0.008330
iteration:59, F2F_time[s]:0.038506, H2H_time:0.030188, sync_time:0.008318
iteration:60, F2F_time[s]:0.023035, H2H_time:0.014682, sync_time:0.008353
iteration:61, F2F_time[s]:0.022799, H2H_time:0.014435, sync_time:0.008363
iteration:62, F2F_time[s]:0.023553, H2H_time:0.015190, sync_time:0.008363
iteration:63, F2F_time[s]:0.022469, H2H_time:0.014217, sync_time:0.008252
iteration:64, F2F_time[s]:0.023174, H2H_time:0.014803, sync_time:0.008371
iteration:65, F2F_time[s]:0.022570, H2H_time:0.014248, sync_time:0.008322
iteration:66, F2F_time[s]:0.023251, H2H_time:0.014900, sync_time:0.008351
iteration:67, F2F_time[s]:0.022528, H2H_time:0.014266, sync_time:0.008261
iteration:68, F2F_time[s]:0.023985, H2H_time:0.015628, sync_time:0.008358
iteration:69, F2F_time[s]:0.022772, H2H_time:0.014458, sync_time:0.008313
iteration:70, F2F_time[s]:0.023165, H2H_time:0.014859, sync_time:0.008306
iteration:71, F2F_time[s]:0.023252, H2H_time:0.014952, sync_time:0.008300
iteration:72, F2F_time[s]:0.022719, H2H_time:0.014364, sync_time:0.008355
iteration:73, F2F_time[s]:0.022561, H2H_time:0.014204, sync_time:0.008357
iteration:74, F2F_time[s]:0.022957, H2H_time:0.014697, sync_time:0.008260
iteration:75, F2F_time[s]:0.022691, H2H_time:0.014417, sync_time:0.008274
iteration:76, F2F_time[s]:0.023372, H2H_time:0.015010, sync_time:0.008362
iteration:77, F2F_time[s]:0.023717, H2H_time:0.015422, sync_time:0.008295
iteration:78, F2F_time[s]:0.022728, H2H_time:0.014380, sync_time:0.008348
iteration:79, F2F_time[s]:0.023018, H2H_time:0.014695, sync_time:0.008322
iteration:80, F2F_time[s]:0.023164, H2H_time:0.014796, sync_time:0.008368
iteration:81, F2F_time[s]:0.023286, H2H_time:0.014962, sync_time:0.008324
iteration:82, F2F_time[s]:0.022983, H2H_time:0.014662, sync_time:0.008322
iteration:83, F2F_time[s]:0.023542, H2H_time:0.015164, sync_time:0.008377
iteration:84, F2F_time[s]:0.023616, H2H_time:0.015259, sync_time:0.008357
iteration:85, F2F_time[s]:0.023022, H2H_time:0.014746, sync_time:0.008276
iteration:86, F2F_time[s]:0.022684, H2H_time:0.014389, sync_time:0.008295
iteration:87, F2F_time[s]:0.023308, H2H_time:0.015081, sync_time:0.008227
iteration:88, F2F_time[s]:0.022783, H2H_time:0.014411, sync_time:0.008373
iteration:89, F2F_time[s]:0.023373, H2H_time:0.015060, sync_time:0.008313
iteration:90, F2F_time[s]:0.023287, H2H_time:0.014933, sync_time:0.008354
iteration:91, F2F_time[s]:0.039810, H2H_time:0.031436, sync_time:0.008374
iteration:92, F2F_time[s]:0.019943, H2H_time:0.011656, sync_time:0.008287
iteration:93, F2F_time[s]:0.019475, H2H_time:0.011168, sync_time:0.008307
iteration:94, F2F_time[s]:0.018798, H2H_time:0.010483, sync_time:0.008315
iteration:95, F2F_time[s]:0.018919, H2H_time:0.010637, sync_time:0.008282
iteration:96, F2F_time[s]:0.019976, H2H_time:0.011657, sync_time:0.008319
iteration:97, F2F_time[s]:0.019547, H2H_time:0.011273, sync_time:0.008274
iteration:98, F2F_time[s]:0.019059, H2H_time:0.010827, sync_time:0.008232
iteration:99, F2F_time[s]:0.018858, H2H_time:0.010616, sync_time:0.008241
iteration:100, F2F_time[s]:0.018737, H2H_time:0.010436, sync_time:0.008301
