XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3c
alveo3b
alveo2a
alveo4b
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
Start Gather test:
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8388608, num_elements:2097152, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8388608, num_elements:2097152, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
iteration:0, F2F_time[s]:0.007052, H2H_time:0.004624, sync_time:0.002429
iteration:1, F2F_time[s]:0.005622, H2H_time:0.003100, sync_time:0.002523
iteration:2, F2F_time[s]:0.005746, H2H_time:0.003141, sync_time:0.002605
iteration:3, F2F_time[s]:0.005766, H2H_time:0.003262, sync_time:0.002504
iteration:4, F2F_time[s]:0.005937, H2H_time:0.003273, sync_time:0.002665
iteration:5, F2F_time[s]:0.005526, H2H_time:0.003062, sync_time:0.002464
iteration:6, F2F_time[s]:0.005719, H2H_time:0.003219, sync_time:0.002500
iteration:7, F2F_time[s]:0.005793, H2H_time:0.003141, sync_time:0.002651
iteration:8, F2F_time[s]:0.005631, H2H_time:0.003132, sync_time:0.002499
iteration:9, F2F_time[s]:0.005794, H2H_time:0.003137, sync_time:0.002657
iteration:10, F2F_time[s]:0.005810, H2H_time:0.003225, sync_time:0.002585
iteration:11, F2F_time[s]:0.005532, H2H_time:0.002967, sync_time:0.002565
iteration:12, F2F_time[s]:0.005705, H2H_time:0.003125, sync_time:0.002580
iteration:13, F2F_time[s]:0.005620, H2H_time:0.003048, sync_time:0.002572
iteration:14, F2F_time[s]:0.005575, H2H_time:0.003008, sync_time:0.002567
iteration:15, F2F_time[s]:0.005481, H2H_time:0.002939, sync_time:0.002543
iteration:16, F2F_time[s]:0.005819, H2H_time:0.003158, sync_time:0.002661
iteration:17, F2F_time[s]:0.005526, H2H_time:0.003005, sync_time:0.002521
iteration:18, F2F_time[s]:0.005501, H2H_time:0.002964, sync_time:0.002537
iteration:19, F2F_time[s]:0.005747, H2H_time:0.003162, sync_time:0.002585
iteration:20, F2F_time[s]:0.005631, H2H_time:0.002998, sync_time:0.002633
iteration:21, F2F_time[s]:0.005705, H2H_time:0.003066, sync_time:0.002639
iteration:22, F2F_time[s]:0.005621, H2H_time:0.003070, sync_time:0.002551
iteration:23, F2F_time[s]:0.005449, H2H_time:0.002832, sync_time:0.002617
iteration:24, F2F_time[s]:0.005748, H2H_time:0.003094, sync_time:0.002654
iteration:25, F2F_time[s]:0.005542, H2H_time:0.003022, sync_time:0.002520
iteration:26, F2F_time[s]:0.005458, H2H_time:0.002972, sync_time:0.002486
iteration:27, F2F_time[s]:0.005568, H2H_time:0.003003, sync_time:0.002565
iteration:28, F2F_time[s]:0.005492, H2H_time:0.003011, sync_time:0.002481
iteration:29, F2F_time[s]:0.005727, H2H_time:0.003156, sync_time:0.002571
iteration:30, F2F_time[s]:0.005587, H2H_time:0.002951, sync_time:0.002636
iteration:31, F2F_time[s]:0.005576, H2H_time:0.002987, sync_time:0.002588
iteration:32, F2F_time[s]:0.005671, H2H_time:0.002995, sync_time:0.002676
iteration:33, F2F_time[s]:0.005552, H2H_time:0.003007, sync_time:0.002545
iteration:34, F2F_time[s]:0.005841, H2H_time:0.003001, sync_time:0.002840
iteration:35, F2F_time[s]:0.005796, H2H_time:0.003163, sync_time:0.002632
iteration:36, F2F_time[s]:0.005403, H2H_time:0.002814, sync_time:0.002589
iteration:37, F2F_time[s]:0.005567, H2H_time:0.003033, sync_time:0.002534
iteration:38, F2F_time[s]:0.005980, H2H_time:0.003292, sync_time:0.002688
iteration:39, F2F_time[s]:0.005660, H2H_time:0.002997, sync_time:0.002663
iteration:40, F2F_time[s]:0.005673, H2H_time:0.003010, sync_time:0.002662
iteration:41, F2F_time[s]:0.005550, H2H_time:0.003042, sync_time:0.002508
iteration:42, F2F_time[s]:0.005639, H2H_time:0.003069, sync_time:0.002570
iteration:43, F2F_time[s]:0.005792, H2H_time:0.003158, sync_time:0.002634
iteration:44, F2F_time[s]:0.005573, H2H_time:0.003136, sync_time:0.002437
iteration:45, F2F_time[s]:0.005694, H2H_time:0.003112, sync_time:0.002583
iteration:46, F2F_time[s]:0.005497, H2H_time:0.002971, sync_time:0.002525
iteration:47, F2F_time[s]:0.005632, H2H_time:0.003120, sync_time:0.002512
iteration:48, F2F_time[s]:0.005608, H2H_time:0.003060, sync_time:0.002548
iteration:49, F2F_time[s]:0.005771, H2H_time:0.003210, sync_time:0.002561
iteration:50, F2F_time[s]:0.005664, H2H_time:0.003100, sync_time:0.002564
iteration:51, F2F_time[s]:0.005878, H2H_time:0.003306, sync_time:0.002572
iteration:52, F2F_time[s]:0.005753, H2H_time:0.003127, sync_time:0.002626
iteration:53, F2F_time[s]:0.005585, H2H_time:0.003091, sync_time:0.002493
iteration:54, F2F_time[s]:0.005678, H2H_time:0.003098, sync_time:0.002580
iteration:55, F2F_time[s]:0.005548, H2H_time:0.002988, sync_time:0.002561
iteration:56, F2F_time[s]:0.005601, H2H_time:0.003063, sync_time:0.002538
