XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8192, num_elements:2048, num_trials:200
Start Gather test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8192, num_elements:2048, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8192, num_elements:2048, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8192, num_elements:2048, num_trials:200
iteration:0, F2F_time[s]:0.000541, H2H_time:0.000149, sync_time:0.000392
iteration:1, F2F_time[s]:0.000330, H2H_time:0.000112, sync_time:0.000218
iteration:2, F2F_time[s]:0.000286, H2H_time:0.000067, sync_time:0.000220
iteration:3, F2F_time[s]:0.000279, H2H_time:0.000066, sync_time:0.000213
iteration:4, F2F_time[s]:0.000268, H2H_time:0.000062, sync_time:0.000205
iteration:5, F2F_time[s]:0.000267, H2H_time:0.000059, sync_time:0.000208
iteration:6, F2F_time[s]:0.000234, H2H_time:0.000061, sync_time:0.000173
iteration:7, F2F_time[s]:0.000255, H2H_time:0.000057, sync_time:0.000198
iteration:8, F2F_time[s]:0.000283, H2H_time:0.000059, sync_time:0.000224
iteration:9, F2F_time[s]:0.000271, H2H_time:0.000057, sync_time:0.000214
iteration:10, F2F_time[s]:0.000235, H2H_time:0.000058, sync_time:0.000178
iteration:11, F2F_time[s]:0.000231, H2H_time:0.000059, sync_time:0.000172
iteration:12, F2F_time[s]:0.000239, H2H_time:0.000061, sync_time:0.000178
iteration:13, F2F_time[s]:0.000261, H2H_time:0.000057, sync_time:0.000204
iteration:14, F2F_time[s]:0.000233, H2H_time:0.000062, sync_time:0.000171
iteration:15, F2F_time[s]:0.000274, H2H_time:0.000063, sync_time:0.000211
iteration:16, F2F_time[s]:0.000280, H2H_time:0.000060, sync_time:0.000220
iteration:17, F2F_time[s]:0.000237, H2H_time:0.000062, sync_time:0.000175
iteration:18, F2F_time[s]:0.000266, H2H_time:0.000063, sync_time:0.000203
iteration:19, F2F_time[s]:0.000267, H2H_time:0.000057, sync_time:0.000209
iteration:20, F2F_time[s]:0.000271, H2H_time:0.000062, sync_time:0.000210
iteration:21, F2F_time[s]:0.000219, H2H_time:0.000059, sync_time:0.000160
iteration:22, F2F_time[s]:0.000236, H2H_time:0.000063, sync_time:0.000173
iteration:23, F2F_time[s]:0.000237, H2H_time:0.000062, sync_time:0.000176
iteration:24, F2F_time[s]:0.000233, H2H_time:0.000062, sync_time:0.000171
iteration:25, F2F_time[s]:0.000230, H2H_time:0.000061, sync_time:0.000169
iteration:26, F2F_time[s]:0.000252, H2H_time:0.000060, sync_time:0.000192
iteration:27, F2F_time[s]:0.000233, H2H_time:0.000054, sync_time:0.000178
iteration:28, F2F_time[s]:0.000265, H2H_time:0.000059, sync_time:0.000206
iteration:29, F2F_time[s]:0.000253, H2H_time:0.000058, sync_time:0.000195
iteration:30, F2F_time[s]:0.000237, H2H_time:0.000066, sync_time:0.000171
iteration:31, F2F_time[s]:0.000230, H2H_time:0.000050, sync_time:0.000180
iteration:32, F2F_time[s]:0.000238, H2H_time:0.000051, sync_time:0.000187
iteration:33, F2F_time[s]:0.000232, H2H_time:0.000050, sync_time:0.000182
iteration:34, F2F_time[s]:0.000240, H2H_time:0.000051, sync_time:0.000188
iteration:35, F2F_time[s]:0.000235, H2H_time:0.000051, sync_time:0.000184
iteration:36, F2F_time[s]:0.000244, H2H_time:0.000050, sync_time:0.000194
iteration:37, F2F_time[s]:0.000244, H2H_time:0.000091, sync_time:0.000153
iteration:38, F2F_time[s]:0.000227, H2H_time:0.000051, sync_time:0.000176
iteration:39, F2F_time[s]:0.000234, H2H_time:0.000052, sync_time:0.000182
