alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.012986
iteration:1, time[s]:0.006030
iteration:2, time[s]:0.005404
iteration:3, time[s]:0.004966
iteration:4, time[s]:0.004985
iteration:5, time[s]:0.005004
iteration:6, time[s]:0.005484
iteration:7, time[s]:0.005025
iteration:8, time[s]:0.004977
iteration:9, time[s]:0.004883
iteration:10, time[s]:0.019847
iteration:11, time[s]:0.005434
iteration:12, time[s]:0.004454
iteration:13, time[s]:0.004896
iteration:14, time[s]:0.004590
iteration:15, time[s]:0.004459
iteration:16, time[s]:0.004122
iteration:17, time[s]:0.004641
iteration:18, time[s]:0.004368
iteration:19, time[s]:0.005193
iteration:20, time[s]:0.004218
iteration:21, time[s]:0.003967
iteration:22, time[s]:0.004172
iteration:23, time[s]:0.004269
iteration:24, time[s]:0.004200
iteration:25, time[s]:0.004149
iteration:26, time[s]:0.004269
iteration:27, time[s]:0.004070
iteration:28, time[s]:0.004143
iteration:29, time[s]:0.004466
iteration:30, time[s]:0.004142
iteration:31, time[s]:0.004278
iteration:32, time[s]:0.004170
iteration:33, time[s]:0.004142
iteration:34, time[s]:0.004266
iteration:35, time[s]:0.004284
iteration:36, time[s]:0.004159
iteration:37, time[s]:0.004678
iteration:38, time[s]:0.004149
iteration:39, time[s]:0.004301
iteration:40, time[s]:0.004387
iteration:41, time[s]:0.004026
iteration:42, time[s]:0.004311
iteration:43, time[s]:0.004140
iteration:44, time[s]:0.004202
iteration:45, time[s]:0.004128
iteration:46, time[s]:0.004215
iteration:47, time[s]:0.004129
iteration:48, time[s]:0.004196
iteration:49, time[s]:0.004298
iteration:50, time[s]:0.004341
iteration:51, time[s]:0.004056
iteration:52, time[s]:0.004393
iteration:53, time[s]:0.004656
iteration:54, time[s]:0.004387
iteration:55, time[s]:0.004285
iteration:56, time[s]:0.004344
iteration:57, time[s]:0.004251
iteration:58, time[s]:0.004221
iteration:59, time[s]:0.004117
iteration:60, time[s]:0.004266
iteration:61, time[s]:0.004261
iteration:62, time[s]:0.004199
iteration:63, time[s]:0.004038
iteration:64, time[s]:0.004308
iteration:65, time[s]:0.004157
iteration:66, time[s]:0.004479
iteration:67, time[s]:0.004054
iteration:68, time[s]:0.004913
iteration:69, time[s]:0.004362
iteration:70, time[s]:0.004212
iteration:71, time[s]:0.004023
iteration:72, time[s]:0.004372
iteration:73, time[s]:0.004306
iteration:74, time[s]:0.004447
iteration:75, time[s]:0.004373
iteration:76, time[s]:0.004289
iteration:77, time[s]:0.004368
iteration:78, time[s]:0.004070
iteration:79, time[s]:0.004202
iteration:80, time[s]:0.004554
iteration:81, time[s]:0.004606
iteration:82, time[s]:0.005420
iteration:83, time[s]:0.004591
iteration:84, time[s]:0.004543
iteration:85, time[s]:0.004547
iteration:86, time[s]:0.004545
iteration:87, time[s]:0.004673
iteration:88, time[s]:0.004630
iteration:89, time[s]:0.004481
iteration:90, time[s]:0.004613
iteration:91, time[s]:0.004577
iteration:92, time[s]:0.004396
iteration:93, time[s]:0.004013
iteration:94, time[s]:0.004266
iteration:95, time[s]:0.004572
iteration:96, time[s]:0.004703
iteration:97, time[s]:0.004493
iteration:98, time[s]:0.004465
iteration:99, time[s]:0.004389
iteration:100, time[s]:0.004385
iteration:101, time[s]:0.004665
iteration:102, time[s]:0.004362
iteration:103, time[s]:0.004454
iteration:104, time[s]:0.004371
iteration:105, time[s]:0.004588
iteration:106, time[s]:0.004501
iteration:107, time[s]:0.004399
iteration:108, time[s]:0.004373
iteration:109, time[s]:0.004226
iteration:110, time[s]:0.004115
iteration:111, time[s]:0.004478
iteration:112, time[s]:0.004357
iteration:113, time[s]:0.004447
iteration:114, time[s]:0.004279
iteration:115, time[s]:0.004915
iteration:116, time[s]:0.004261
iteration:117, time[s]:0.004180
iteration:118, time[s]:0.004142
iteration:119, time[s]:0.004741
iteration:120, time[s]:0.004499
iteration:121, time[s]:0.004311
iteration:122, time[s]:0.004812
iteration:123, time[s]:0.005158
iteration:124, time[s]:0.004873
iteration:125, time[s]:0.004705
iteration:126, time[s]:0.004720
iteration:127, time[s]:0.004617
iteration:128, time[s]:0.005013
iteration:129, time[s]:0.004759
iteration:130, time[s]:0.004625
iteration:131, time[s]:0.004682
iteration:132, time[s]:0.004654
iteration:133, time[s]:0.004644
iteration:134, time[s]:0.004621
iteration:135, time[s]:0.004674
iteration:136, time[s]:0.004869
iteration:137, time[s]:0.005042
iteration:138, time[s]:0.004389
iteration:139, time[s]:0.004665
iteration:140, time[s]:0.004114
iteration:141, time[s]:0.004558
iteration:142, time[s]:0.004689
iteration:143, time[s]:0.004911
iteration:144, time[s]:0.004905
iteration:145, time[s]:0.004707
iteration:146, time[s]:0.004875
iteration:147, time[s]:0.004687
iteration:148, time[s]:0.004753
iteration:149, time[s]:0.004835
iteration:150, time[s]:0.004690
iteration:151, time[s]:0.004263
iteration:152, time[s]:0.004254
iteration:153, time[s]:0.004377
iteration:154, time[s]:0.004279
iteration:155, time[s]:0.004365
iteration:156, time[s]:0.004344
iteration:157, time[s]:0.004111
iteration:158, time[s]:0.004310
iteration:159, time[s]:0.004526
iteration:160, time[s]:0.004434
iteration:161, time[s]:0.004122
iteration:162, time[s]:0.005037
iteration:163, time[s]:0.004464
iteration:164, time[s]:0.004552
iteration:165, time[s]:0.004505
iteration:166, time[s]:0.004638
iteration:167, time[s]:0.004989
iteration:168, time[s]:0.004808
iteration:169, time[s]:0.004763
iteration:170, time[s]:0.004613
iteration:171, time[s]:0.004431
iteration:172, time[s]:0.004578
iteration:173, time[s]:0.004952
iteration:174, time[s]:0.004754
iteration:175, time[s]:0.004963
iteration:176, time[s]:0.005036
iteration:177, time[s]:0.004797
iteration:178, time[s]:0.004828
iteration:179, time[s]:0.004711
iteration:180, time[s]:0.004646
iteration:181, time[s]:0.004746
iteration:182, time[s]:0.004794
iteration:183, time[s]:0.005025
iteration:184, time[s]:0.004834
iteration:185, time[s]:0.004809
iteration:186, time[s]:0.004782
iteration:187, time[s]:0.004688
iteration:188, time[s]:0.005251
iteration:189, time[s]:0.004570
iteration:190, time[s]:0.004261
iteration:191, time[s]:0.004631
iteration:192, time[s]:0.004721
iteration:193, time[s]:0.004508
iteration:194, time[s]:0.004789
iteration:195, time[s]:0.004592
iteration:196, time[s]:0.004647
iteration:197, time[s]:0.004816
iteration:198, time[s]:0.004756
iteration:199, time[s]:0.004790
iteration:200, time[s]:0.004605
iteration:201, time[s]:0.004695
iteration:202, time[s]:0.004829
iteration:203, time[s]:0.004648
iteration:204, time[s]:0.004519
iteration:205, time[s]:0.004270
iteration:206, time[s]:0.004713
iteration:207, time[s]:0.004742
iteration:208, time[s]:0.004506
iteration:209, time[s]:0.004888
iteration:210, time[s]:0.004762
iteration:211, time[s]:0.004809
iteration:212, time[s]:0.004941
iteration:213, time[s]:0.004688
iteration:214, time[s]:0.004667
iteration:215, time[s]:0.004546
iteration:216, time[s]:0.004554
iteration:217, time[s]:0.004626
iteration:218, time[s]:0.005137
iteration:219, time[s]:0.004680
iteration:220, time[s]:0.004770
iteration:221, time[s]:0.005287
iteration:222, time[s]:0.005115
