alveo1a, bytes:16777216, num_elements:4194304, num_trials:100
alveo4b, bytes:16777216, num_elements:4194304, num_trials:100
alveo2a, bytes:16777216, num_elements:4194304, num_trials:100
alveo3b, bytes:16777216, num_elements:4194304, num_trials:100
alveo1b, bytes:16777216, num_elements:4194304, num_trials:100
alveo2b, bytes:16777216, num_elements:4194304, num_trials:100
iteration:0, time[s]:0.018476
iteration:1, time[s]:0.008004
iteration:2, time[s]:0.019736
iteration:3, time[s]:0.006218
iteration:4, time[s]:0.006502
iteration:5, time[s]:0.006187
iteration:6, time[s]:0.005989
iteration:7, time[s]:0.005910
iteration:8, time[s]:0.006031
iteration:9, time[s]:0.005856
iteration:10, time[s]:0.006126
iteration:11, time[s]:0.005667
iteration:12, time[s]:0.006185
iteration:13, time[s]:0.006105
iteration:14, time[s]:0.006254
iteration:15, time[s]:0.005882
iteration:16, time[s]:0.005741
iteration:17, time[s]:0.005885
iteration:18, time[s]:0.005726
iteration:19, time[s]:0.005740
iteration:20, time[s]:0.005940
iteration:21, time[s]:0.005991
iteration:22, time[s]:0.005730
iteration:23, time[s]:0.005953
iteration:24, time[s]:0.006191
iteration:25, time[s]:0.005907
iteration:26, time[s]:0.006011
iteration:27, time[s]:0.005767
iteration:28, time[s]:0.005850
iteration:29, time[s]:0.005966
iteration:30, time[s]:0.005814
iteration:31, time[s]:0.006019
iteration:32, time[s]:0.005856
iteration:33, time[s]:0.005734
iteration:34, time[s]:0.005794
iteration:35, time[s]:0.005750
iteration:36, time[s]:0.005658
iteration:37, time[s]:0.005868
iteration:38, time[s]:0.005943
iteration:39, time[s]:0.005921
iteration:40, time[s]:0.006169
iteration:41, time[s]:0.006077
iteration:42, time[s]:0.006273
iteration:43, time[s]:0.005671
iteration:44, time[s]:0.005915
iteration:45, time[s]:0.006151
iteration:46, time[s]:0.006088
iteration:47, time[s]:0.005838
iteration:48, time[s]:0.005765
iteration:49, time[s]:0.005857
iteration:50, time[s]:0.005736
iteration:51, time[s]:0.005847
iteration:52, time[s]:0.005728
iteration:53, time[s]:0.005965
iteration:54, time[s]:0.005748
iteration:55, time[s]:0.005992
iteration:56, time[s]:0.005862
iteration:57, time[s]:0.005782
iteration:58, time[s]:0.005698
iteration:59, time[s]:0.005690
iteration:60, time[s]:0.005686
iteration:61, time[s]:0.005826
iteration:62, time[s]:0.006178
iteration:63, time[s]:0.005847
iteration:64, time[s]:0.005865
iteration:65, time[s]:0.005661
iteration:66, time[s]:0.005824
iteration:67, time[s]:0.005973
iteration:68, time[s]:0.005622
iteration:69, time[s]:0.005665
iteration:70, time[s]:0.005949
iteration:71, time[s]:0.005760
iteration:72, time[s]:0.005977
iteration:73, time[s]:0.005914
iteration:74, time[s]:0.006209
iteration:75, time[s]:0.005896
iteration:76, time[s]:0.006129
iteration:77, time[s]:0.005874
iteration:78, time[s]:0.006066
iteration:79, time[s]:0.005954
iteration:80, time[s]:0.005929
iteration:81, time[s]:0.006017
iteration:82, time[s]:0.006123
iteration:83, time[s]:0.005935
iteration:84, time[s]:0.005848
iteration:85, time[s]:0.005845
iteration:86, time[s]:0.006021
iteration:87, time[s]:0.006010
iteration:88, time[s]:0.005946
iteration:89, time[s]:0.005854
iteration:90, time[s]:0.005923
iteration:91, time[s]:0.005710
iteration:92, time[s]:0.005974
iteration:93, time[s]:0.005966
iteration:94, time[s]:0.005620
iteration:95, time[s]:0.005596
iteration:96, time[s]:0.005746
iteration:97, time[s]:0.006062
iteration:98, time[s]:0.005844
iteration:99, time[s]:0.005989
iteration:100, time[s]:0.006002
Gather send element count:699050, byte count:2796200, trials:100, Avg MPI_Gather time [us]= *6070.911090
