alveo1a, bytes:33554432, num_elements:8388608, num_trials:100
alveo2a, bytes:33554432, num_elements:8388608, num_trials:100
alveo1b, bytes:33554432, num_elements:8388608, num_trials:100
alveo2b, bytes:33554432, num_elements:8388608, num_trials:100
iteration:0, time[s]:0.026415
iteration:1, time[s]:0.012975
iteration:2, time[s]:0.013292
iteration:3, time[s]:0.012860
iteration:4, time[s]:0.012739
iteration:5, time[s]:0.013109
iteration:6, time[s]:0.012719
iteration:7, time[s]:0.012761
iteration:8, time[s]:0.012956
iteration:9, time[s]:0.013615
iteration:10, time[s]:0.012749
iteration:11, time[s]:0.012615
iteration:12, time[s]:0.013197
iteration:13, time[s]:0.012643
iteration:14, time[s]:0.012701
iteration:15, time[s]:0.012625
iteration:16, time[s]:0.012452
iteration:17, time[s]:0.012804
iteration:18, time[s]:0.012947
iteration:19, time[s]:0.012626
iteration:20, time[s]:0.012758
iteration:21, time[s]:0.012808
iteration:22, time[s]:0.012722
iteration:23, time[s]:0.012465
iteration:24, time[s]:0.012858
iteration:25, time[s]:0.012552
iteration:26, time[s]:0.012440
iteration:27, time[s]:0.012631
iteration:28, time[s]:0.012585
iteration:29, time[s]:0.012434
iteration:30, time[s]:0.012491
iteration:31, time[s]:0.012528
iteration:32, time[s]:0.012938
iteration:33, time[s]:0.012782
iteration:34, time[s]:0.012538
iteration:35, time[s]:0.012784
iteration:36, time[s]:0.012766
iteration:37, time[s]:0.013140
iteration:38, time[s]:0.012946
iteration:39, time[s]:0.012714
iteration:40, time[s]:0.012732
iteration:41, time[s]:0.012774
iteration:42, time[s]:0.012680
iteration:43, time[s]:0.012548
iteration:44, time[s]:0.012571
iteration:45, time[s]:0.012866
iteration:46, time[s]:0.012619
iteration:47, time[s]:0.012666
iteration:48, time[s]:0.012665
iteration:49, time[s]:0.012591
iteration:50, time[s]:0.012692
iteration:51, time[s]:0.012655
iteration:52, time[s]:0.012573
iteration:53, time[s]:0.012675
iteration:54, time[s]:0.012263
iteration:55, time[s]:0.009300
iteration:56, time[s]:0.008663
iteration:57, time[s]:0.008485
iteration:58, time[s]:0.008630
iteration:59, time[s]:0.008349
iteration:60, time[s]:0.008389
iteration:61, time[s]:0.008422
iteration:62, time[s]:0.008796
iteration:63, time[s]:0.009275
iteration:64, time[s]:0.008959
iteration:65, time[s]:0.008853
iteration:66, time[s]:0.008724
iteration:67, time[s]:0.008967
iteration:68, time[s]:0.008915
iteration:69, time[s]:0.009071
iteration:70, time[s]:0.008422
iteration:71, time[s]:0.008868
iteration:72, time[s]:0.008697
iteration:73, time[s]:0.008723
iteration:74, time[s]:0.009024
iteration:75, time[s]:0.009267
iteration:76, time[s]:0.008957
iteration:77, time[s]:0.008815
iteration:78, time[s]:0.008505
iteration:79, time[s]:0.008483
iteration:80, time[s]:0.008843
iteration:81, time[s]:0.008800
iteration:82, time[s]:0.008838
iteration:83, time[s]:0.008745
iteration:84, time[s]:0.008664
iteration:85, time[s]:0.009110
iteration:86, time[s]:0.008886
iteration:87, time[s]:0.008637
iteration:88, time[s]:0.008826
iteration:89, time[s]:0.008611
iteration:90, time[s]:0.008804
iteration:91, time[s]:0.008782
iteration:92, time[s]:0.008898
iteration:93, time[s]:0.009105
iteration:94, time[s]:0.008659
iteration:95, time[s]:0.008904
iteration:96, time[s]:0.009194
iteration:97, time[s]:0.008632
iteration:98, time[s]:0.008926
iteration:99, time[s]:0.009024
iteration:100, time[s]:0.009150
Gather send element count:2097152, byte count:8388608, trials:100, Avg MPI_Gather time [us]= *10934.268870
