alveo1a, bytes:4194304, num_elements:1048576, num_trials:100
alveo4b, bytes:4194304, num_elements:1048576, num_trials:100
alveo3b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2a, bytes:4194304, num_elements:1048576, num_trials:100
alveo1b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2b, bytes:4194304, num_elements:1048576, num_trials:100
iteration:0, time[s]:0.005984
iteration:1, time[s]:0.002219
iteration:2, time[s]:0.002238
iteration:3, time[s]:0.002096
iteration:4, time[s]:0.002012
iteration:5, time[s]:0.002094
iteration:6, time[s]:0.001811
iteration:7, time[s]:0.001794
iteration:8, time[s]:0.001784
iteration:9, time[s]:0.001844
iteration:10, time[s]:0.001764
iteration:11, time[s]:0.001741
iteration:12, time[s]:0.001619
iteration:13, time[s]:0.001644
iteration:14, time[s]:0.001770
iteration:15, time[s]:0.001510
iteration:16, time[s]:0.001704
iteration:17, time[s]:0.001519
iteration:18, time[s]:0.001616
iteration:19, time[s]:0.001514
iteration:20, time[s]:0.001556
iteration:21, time[s]:0.001509
iteration:22, time[s]:0.001516
iteration:23, time[s]:0.001494
iteration:24, time[s]:0.001487
iteration:25, time[s]:0.001338
iteration:26, time[s]:0.001596
iteration:27, time[s]:0.001512
iteration:28, time[s]:0.001587
iteration:29, time[s]:0.001507
iteration:30, time[s]:0.001561
iteration:31, time[s]:0.001473
iteration:32, time[s]:0.001538
iteration:33, time[s]:0.001542
iteration:34, time[s]:0.001560
iteration:35, time[s]:0.001404
iteration:36, time[s]:0.001485
iteration:37, time[s]:0.001421
iteration:38, time[s]:0.001470
iteration:39, time[s]:0.001385
iteration:40, time[s]:0.001518
iteration:41, time[s]:0.001407
iteration:42, time[s]:0.001465
iteration:43, time[s]:0.001438
iteration:44, time[s]:0.001484
iteration:45, time[s]:0.001328
iteration:46, time[s]:0.001613
iteration:47, time[s]:0.001435
iteration:48, time[s]:0.001371
iteration:49, time[s]:0.001326
iteration:50, time[s]:0.001527
iteration:51, time[s]:0.001426
iteration:52, time[s]:0.001391
iteration:53, time[s]:0.001455
iteration:54, time[s]:0.001413
iteration:55, time[s]:0.001284
iteration:56, time[s]:0.001407
iteration:57, time[s]:0.001284
iteration:58, time[s]:0.001359
iteration:59, time[s]:0.001292
iteration:60, time[s]:0.001452
iteration:61, time[s]:0.001285
iteration:62, time[s]:0.001417
iteration:63, time[s]:0.001325
iteration:64, time[s]:0.001467
iteration:65, time[s]:0.001269
iteration:66, time[s]:0.001450
iteration:67, time[s]:0.001417
iteration:68, time[s]:0.001500
iteration:69, time[s]:0.001403
iteration:70, time[s]:0.001411
iteration:71, time[s]:0.001299
iteration:72, time[s]:0.001381
iteration:73, time[s]:0.001343
iteration:74, time[s]:0.001468
iteration:75, time[s]:0.001302
iteration:76, time[s]:0.001424
iteration:77, time[s]:0.001321
iteration:78, time[s]:0.001545
iteration:79, time[s]:0.001419
iteration:80, time[s]:0.001487
iteration:81, time[s]:0.001363
iteration:82, time[s]:0.001472
iteration:83, time[s]:0.001283
iteration:84, time[s]:0.001385
iteration:85, time[s]:0.001268
iteration:86, time[s]:0.001400
iteration:87, time[s]:0.001272
iteration:88, time[s]:0.001355
iteration:89, time[s]:0.001300
iteration:90, time[s]:0.001391
iteration:91, time[s]:0.001306
iteration:92, time[s]:0.001440
iteration:93, time[s]:0.001314
iteration:94, time[s]:0.001449
iteration:95, time[s]:0.001330
iteration:96, time[s]:0.001406
iteration:97, time[s]:0.001327
iteration:98, time[s]:0.001599
iteration:99, time[s]:0.001401
iteration:100, time[s]:0.001454
Gather send element count:174762, byte count:699048, trials:100, Avg MPI_Gather time [us]= *1493.587540
