alveo1a, bytes:4194304, num_elements:1048576, num_trials:100
alveo3c, bytes:4194304, num_elements:1048576, num_trials:100
alveo4c, bytes:4194304, num_elements:1048576, num_trials:100
alveo1b, bytes:4194304, num_elements:1048576, num_trials:100
alveo3b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2b, bytes:4194304, num_elements:1048576, num_trials:100
alveo4b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2a, bytes:4194304, num_elements:1048576, num_trials:100
iteration:0, time[s]:0.004860
iteration:1, time[s]:0.002857
iteration:2, time[s]:0.002157
iteration:3, time[s]:0.001845
iteration:4, time[s]:0.001939
iteration:5, time[s]:0.001674
iteration:6, time[s]:0.001418
iteration:7, time[s]:0.001467
iteration:8, time[s]:0.001569
iteration:9, time[s]:0.001329
iteration:10, time[s]:0.001370
iteration:11, time[s]:0.001489
iteration:12, time[s]:0.001257
iteration:13, time[s]:0.001326
iteration:14, time[s]:0.001234
iteration:15, time[s]:0.001288
iteration:16, time[s]:0.001105
iteration:17, time[s]:0.001252
iteration:18, time[s]:0.001205
iteration:19, time[s]:0.001268
iteration:20, time[s]:0.001137
iteration:21, time[s]:0.001311
iteration:22, time[s]:0.001230
iteration:23, time[s]:0.017046
iteration:24, time[s]:0.001112
iteration:25, time[s]:0.001326
iteration:26, time[s]:0.001241
iteration:27, time[s]:0.001240
iteration:28, time[s]:0.001327
iteration:29, time[s]:0.001199
iteration:30, time[s]:0.001152
iteration:31, time[s]:0.001221
iteration:32, time[s]:0.001119
iteration:33, time[s]:0.001138
iteration:34, time[s]:0.001182
iteration:35, time[s]:0.001151
iteration:36, time[s]:0.001172
iteration:37, time[s]:0.001118
iteration:38, time[s]:0.001209
iteration:39, time[s]:0.001125
iteration:40, time[s]:0.001204
iteration:41, time[s]:0.001159
iteration:42, time[s]:0.001207
iteration:43, time[s]:0.001150
iteration:44, time[s]:0.001166
iteration:45, time[s]:0.001220
iteration:46, time[s]:0.001163
iteration:47, time[s]:0.001211
iteration:48, time[s]:0.001233
iteration:49, time[s]:0.001195
iteration:50, time[s]:0.001092
iteration:51, time[s]:0.001244
iteration:52, time[s]:0.001204
iteration:53, time[s]:0.001084
iteration:54, time[s]:0.001294
iteration:55, time[s]:0.001163
iteration:56, time[s]:0.001191
iteration:57, time[s]:0.001107
iteration:58, time[s]:0.001133
iteration:59, time[s]:0.001227
iteration:60, time[s]:0.001188
iteration:61, time[s]:0.001194
iteration:62, time[s]:0.001158
iteration:63, time[s]:0.001273
iteration:64, time[s]:0.001127
iteration:65, time[s]:0.001206
iteration:66, time[s]:0.001199
iteration:67, time[s]:0.001213
iteration:68, time[s]:0.001279
iteration:69, time[s]:0.001045
iteration:70, time[s]:0.001233
iteration:71, time[s]:0.001076
iteration:72, time[s]:0.001268
iteration:73, time[s]:0.001207
iteration:74, time[s]:0.001127
iteration:75, time[s]:0.001236
iteration:76, time[s]:0.001182
iteration:77, time[s]:0.001213
iteration:78, time[s]:0.001085
iteration:79, time[s]:0.001184
iteration:80, time[s]:0.001187
iteration:81, time[s]:0.001156
iteration:82, time[s]:0.001155
iteration:83, time[s]:0.001123
iteration:84, time[s]:0.001152
iteration:85, time[s]:0.001187
iteration:86, time[s]:0.001082
iteration:87, time[s]:0.001252
iteration:88, time[s]:0.001089
iteration:89, time[s]:0.001224
iteration:90, time[s]:0.001168
iteration:91, time[s]:0.001176
iteration:92, time[s]:0.001138
iteration:93, time[s]:0.001399
iteration:94, time[s]:0.001232
iteration:95, time[s]:0.001225
iteration:96, time[s]:0.001155
iteration:97, time[s]:0.001142
iteration:98, time[s]:0.001192
iteration:99, time[s]:0.001211
iteration:100, time[s]:0.001175
Gather send element count:131072, byte count:524288, trials:100, Avg MPI_Gather time [us]= *1409.652260
