alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.009305
iteration:1, time[s]:0.004395
iteration:2, time[s]:0.004283
iteration:3, time[s]:0.004274
iteration:4, time[s]:0.004515
iteration:5, time[s]:0.004648
iteration:6, time[s]:0.004543
iteration:7, time[s]:0.004650
iteration:8, time[s]:0.004706
iteration:9, time[s]:0.004678
iteration:10, time[s]:0.004750
iteration:11, time[s]:0.005032
iteration:12, time[s]:0.004714
iteration:13, time[s]:0.004732
iteration:14, time[s]:0.004967
iteration:15, time[s]:0.004854
iteration:16, time[s]:0.004762
iteration:17, time[s]:0.004683
iteration:18, time[s]:0.004640
iteration:19, time[s]:0.004975
iteration:20, time[s]:0.004865
iteration:21, time[s]:0.004867
iteration:22, time[s]:0.004738
iteration:23, time[s]:0.004938
iteration:24, time[s]:0.004870
iteration:25, time[s]:0.005129
iteration:26, time[s]:0.017562
iteration:27, time[s]:0.016784
iteration:28, time[s]:0.020265
iteration:29, time[s]:0.004672
iteration:30, time[s]:0.004785
iteration:31, time[s]:0.004895
iteration:32, time[s]:0.004873
iteration:33, time[s]:0.004994
iteration:34, time[s]:0.004733
iteration:35, time[s]:0.005060
iteration:36, time[s]:0.004967
iteration:37, time[s]:0.004783
iteration:38, time[s]:0.004862
iteration:39, time[s]:0.004758
iteration:40, time[s]:0.004904
iteration:41, time[s]:0.004662
iteration:42, time[s]:0.004968
iteration:43, time[s]:0.004594
iteration:44, time[s]:0.004726
iteration:45, time[s]:0.004673
iteration:46, time[s]:0.004708
iteration:47, time[s]:0.004557
