alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3c, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.018098
iteration:1, time[s]:0.010606
iteration:2, time[s]:0.011096
iteration:3, time[s]:0.009733
iteration:4, time[s]:0.009023
iteration:5, time[s]:0.010932
iteration:6, time[s]:0.010990
iteration:7, time[s]:0.009914
iteration:8, time[s]:0.011143
iteration:9, time[s]:0.009472
iteration:10, time[s]:0.010956
iteration:11, time[s]:0.009814
iteration:12, time[s]:0.011292
iteration:13, time[s]:0.011353
iteration:14, time[s]:0.011413
iteration:15, time[s]:0.009232
iteration:16, time[s]:0.010999
iteration:17, time[s]:0.011241
iteration:18, time[s]:0.011073
iteration:19, time[s]:0.011059
iteration:20, time[s]:0.011062
iteration:21, time[s]:0.011122
iteration:22, time[s]:0.011503
iteration:23, time[s]:0.011353
iteration:24, time[s]:0.010099
iteration:25, time[s]:0.008856
iteration:26, time[s]:0.010704
iteration:27, time[s]:0.011097
iteration:28, time[s]:0.011191
iteration:29, time[s]:0.010075
iteration:30, time[s]:0.008820
iteration:31, time[s]:0.011002
iteration:32, time[s]:0.011314
iteration:33, time[s]:0.010070
iteration:34, time[s]:0.011054
iteration:35, time[s]:0.009249
iteration:36, time[s]:0.010274
iteration:37, time[s]:0.009090
iteration:38, time[s]:0.010256
iteration:39, time[s]:0.009152
iteration:40, time[s]:0.010180
iteration:41, time[s]:0.009171
iteration:42, time[s]:0.011135
iteration:43, time[s]:0.011408
iteration:44, time[s]:0.010102
iteration:45, time[s]:0.009147
iteration:46, time[s]:0.010965
iteration:47, time[s]:0.010107
iteration:48, time[s]:0.009037
iteration:49, time[s]:0.011071
iteration:50, time[s]:0.010045
iteration:51, time[s]:0.009237
iteration:52, time[s]:0.011072
iteration:53, time[s]:0.011228
iteration:54, time[s]:0.011218
iteration:55, time[s]:0.009958
iteration:56, time[s]:0.009285
iteration:57, time[s]:0.010023
iteration:58, time[s]:0.009196
iteration:59, time[s]:0.011128
iteration:60, time[s]:0.011432
iteration:61, time[s]:0.010122
iteration:62, time[s]:0.011445
iteration:63, time[s]:0.009202
iteration:64, time[s]:0.011233
iteration:65, time[s]:0.010365
iteration:66, time[s]:0.011013
iteration:67, time[s]:0.011344
iteration:68, time[s]:0.011380
iteration:69, time[s]:0.011572
iteration:70, time[s]:0.011565
iteration:71, time[s]:0.009614
iteration:72, time[s]:0.010535
iteration:73, time[s]:0.011435
iteration:74, time[s]:0.011562
iteration:75, time[s]:0.011303
iteration:76, time[s]:0.011406
iteration:77, time[s]:0.011409
iteration:78, time[s]:0.011494
iteration:79, time[s]:0.011579
iteration:80, time[s]:0.011275
iteration:81, time[s]:0.011359
iteration:82, time[s]:0.009420
iteration:83, time[s]:0.010291
iteration:84, time[s]:0.009085
iteration:85, time[s]:0.010201
iteration:86, time[s]:0.011072
iteration:87, time[s]:0.011306
iteration:88, time[s]:0.011491
iteration:89, time[s]:0.011368
iteration:90, time[s]:0.011715
iteration:91, time[s]:0.009326
iteration:92, time[s]:0.010341
