alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo4c, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3c, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.021747
iteration:1, time[s]:0.011123
iteration:2, time[s]:0.011616
iteration:3, time[s]:0.011597
iteration:4, time[s]:0.011232
iteration:5, time[s]:0.011599
iteration:6, time[s]:0.012004
iteration:7, time[s]:0.011793
iteration:8, time[s]:0.011717
iteration:9, time[s]:0.011702
iteration:10, time[s]:0.011586
iteration:11, time[s]:0.011266
iteration:12, time[s]:0.011492
iteration:13, time[s]:0.011139
iteration:14, time[s]:0.011276
iteration:15, time[s]:0.011371
iteration:16, time[s]:0.011354
iteration:17, time[s]:0.011756
iteration:18, time[s]:0.011463
iteration:19, time[s]:0.011222
iteration:20, time[s]:0.011053
iteration:21, time[s]:0.011407
iteration:22, time[s]:0.011084
iteration:23, time[s]:0.011321
iteration:24, time[s]:0.011460
iteration:25, time[s]:0.011678
iteration:26, time[s]:0.011483
iteration:27, time[s]:0.011748
iteration:28, time[s]:0.011786
iteration:29, time[s]:0.011467
iteration:30, time[s]:0.011796
iteration:31, time[s]:0.011236
iteration:32, time[s]:0.011363
iteration:33, time[s]:0.011447
iteration:34, time[s]:0.011248
iteration:35, time[s]:0.011804
iteration:36, time[s]:0.011562
iteration:37, time[s]:0.011329
iteration:38, time[s]:0.011315
iteration:39, time[s]:0.011778
iteration:40, time[s]:0.011850
iteration:41, time[s]:0.011781
iteration:42, time[s]:0.011558
iteration:43, time[s]:0.011307
iteration:44, time[s]:0.011584
iteration:45, time[s]:0.011209
iteration:46, time[s]:0.011695
iteration:47, time[s]:0.011617
iteration:48, time[s]:0.011726
iteration:49, time[s]:0.011209
iteration:50, time[s]:0.011697
iteration:51, time[s]:0.011463
iteration:52, time[s]:0.011501
iteration:53, time[s]:0.011608
iteration:54, time[s]:0.011499
iteration:55, time[s]:0.011422
iteration:56, time[s]:0.011116
iteration:57, time[s]:0.011532
iteration:58, time[s]:0.011576
iteration:59, time[s]:0.011355
iteration:60, time[s]:0.011437
iteration:61, time[s]:0.011468
iteration:62, time[s]:0.011527
iteration:63, time[s]:0.011312
iteration:64, time[s]:0.011221
iteration:65, time[s]:0.011482
iteration:66, time[s]:0.011529
iteration:67, time[s]:0.011740
iteration:68, time[s]:0.011562
iteration:69, time[s]:0.011082
iteration:70, time[s]:0.011051
iteration:71, time[s]:0.011149
iteration:72, time[s]:0.011191
iteration:73, time[s]:0.011485
iteration:74, time[s]:0.011215
iteration:75, time[s]:0.011434
iteration:76, time[s]:0.011249
iteration:77, time[s]:0.011289
iteration:78, time[s]:0.011123
iteration:79, time[s]:0.011278
iteration:80, time[s]:0.011013
iteration:81, time[s]:0.011217
iteration:82, time[s]:0.011505
iteration:83, time[s]:0.011713
iteration:84, time[s]:0.011553
iteration:85, time[s]:0.011111
iteration:86, time[s]:0.011014
iteration:87, time[s]:0.011801
iteration:88, time[s]:0.011719
iteration:89, time[s]:0.011250
iteration:90, time[s]:0.011632
iteration:91, time[s]:0.011421
iteration:92, time[s]:0.011500
iteration:93, time[s]:0.011381
iteration:94, time[s]:0.011293
iteration:95, time[s]:0.011307
iteration:96, time[s]:0.011441
iteration:97, time[s]:0.011275
iteration:98, time[s]:0.011413
iteration:99, time[s]:0.011451
iteration:100, time[s]:0.011223
iteration:101, time[s]:0.011535
iteration:102, time[s]:0.011206
iteration:103, time[s]:0.011150
iteration:104, time[s]:0.011427
iteration:105, time[s]:0.011957
iteration:106, time[s]:0.011102
iteration:107, time[s]:0.010621
iteration:108, time[s]:0.011621
iteration:109, time[s]:0.011406
iteration:110, time[s]:0.011302
iteration:111, time[s]:0.011537
iteration:112, time[s]:0.011546
iteration:113, time[s]:0.011425
iteration:114, time[s]:0.011035
iteration:115, time[s]:0.011255
iteration:116, time[s]:0.011506
iteration:117, time[s]:0.011303
iteration:118, time[s]:0.011427
iteration:119, time[s]:0.011157
iteration:120, time[s]:0.011303
iteration:121, time[s]:0.011612
iteration:122, time[s]:0.011370
iteration:123, time[s]:0.011018
iteration:124, time[s]:0.010909
iteration:125, time[s]:0.011133
iteration:126, time[s]:0.011380
iteration:127, time[s]:0.011437
iteration:128, time[s]:0.011316
iteration:129, time[s]:0.011323
iteration:130, time[s]:0.011254
iteration:131, time[s]:0.011123
iteration:132, time[s]:0.011723
iteration:133, time[s]:0.011523
iteration:134, time[s]:0.011638
iteration:135, time[s]:0.011110
iteration:136, time[s]:0.011067
iteration:137, time[s]:0.011112
iteration:138, time[s]:0.011301
iteration:139, time[s]:0.011469
iteration:140, time[s]:0.011432
iteration:141, time[s]:0.011114
iteration:142, time[s]:0.011261
iteration:143, time[s]:0.011508
iteration:144, time[s]:0.011575
iteration:145, time[s]:0.011424
iteration:146, time[s]:0.011016
iteration:147, time[s]:0.011315
iteration:148, time[s]:0.011564
iteration:149, time[s]:0.010981
