XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.029273, H2H_time:0.022168, sync_time:0.007105
iteration:1, F2F_time[s]:0.025180, H2H_time:0.018096, sync_time:0.007084
iteration:2, F2F_time[s]:0.024487, H2H_time:0.017435, sync_time:0.007052
iteration:3, F2F_time[s]:0.025259, H2H_time:0.018160, sync_time:0.007099
iteration:4, F2F_time[s]:0.024178, H2H_time:0.017127, sync_time:0.007050
iteration:5, F2F_time[s]:0.024669, H2H_time:0.017610, sync_time:0.007058
iteration:6, F2F_time[s]:0.023837, H2H_time:0.016764, sync_time:0.007073
iteration:7, F2F_time[s]:0.023070, H2H_time:0.016053, sync_time:0.007017
iteration:8, F2F_time[s]:0.023862, H2H_time:0.016767, sync_time:0.007094
iteration:9, F2F_time[s]:0.023996, H2H_time:0.016920, sync_time:0.007076
iteration:10, F2F_time[s]:0.023954, H2H_time:0.016876, sync_time:0.007078
iteration:11, F2F_time[s]:0.024185, H2H_time:0.017096, sync_time:0.007090
iteration:12, F2F_time[s]:0.023816, H2H_time:0.016753, sync_time:0.007063
iteration:13, F2F_time[s]:0.023886, H2H_time:0.016786, sync_time:0.007100
iteration:14, F2F_time[s]:0.022553, H2H_time:0.015466, sync_time:0.007087
iteration:15, F2F_time[s]:0.023845, H2H_time:0.016757, sync_time:0.007088
iteration:16, F2F_time[s]:0.022975, H2H_time:0.015883, sync_time:0.007092
iteration:17, F2F_time[s]:0.023286, H2H_time:0.016211, sync_time:0.007075
iteration:18, F2F_time[s]:0.023501, H2H_time:0.016429, sync_time:0.007072
iteration:19, F2F_time[s]:0.022581, H2H_time:0.015503, sync_time:0.007078
iteration:20, F2F_time[s]:0.023127, H2H_time:0.016024, sync_time:0.007103
iteration:21, F2F_time[s]:0.023197, H2H_time:0.016122, sync_time:0.007075
iteration:22, F2F_time[s]:0.023398, H2H_time:0.016296, sync_time:0.007102
iteration:23, F2F_time[s]:0.023361, H2H_time:0.016278, sync_time:0.007083
iteration:24, F2F_time[s]:0.023496, H2H_time:0.016401, sync_time:0.007095
iteration:25, F2F_time[s]:0.024469, H2H_time:0.017375, sync_time:0.007094
iteration:26, F2F_time[s]:0.024231, H2H_time:0.017089, sync_time:0.007142
iteration:27, F2F_time[s]:0.024006, H2H_time:0.016910, sync_time:0.007096
iteration:28, F2F_time[s]:0.022824, H2H_time:0.015730, sync_time:0.007093
iteration:29, F2F_time[s]:0.022655, H2H_time:0.015601, sync_time:0.007053
iteration:30, F2F_time[s]:0.022946, H2H_time:0.015879, sync_time:0.007067
iteration:31, F2F_time[s]:0.024041, H2H_time:0.016920, sync_time:0.007121
iteration:32, F2F_time[s]:0.024312, H2H_time:0.017234, sync_time:0.007078
iteration:33, F2F_time[s]:0.024491, H2H_time:0.017401, sync_time:0.007090
