XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo4c
alveo1a
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.042772, H2H_time:0.035857, sync_time:0.006914
iteration:1, F2F_time[s]:0.036353, H2H_time:0.029310, sync_time:0.007043
iteration:2, F2F_time[s]:0.033781, H2H_time:0.026740, sync_time:0.007040
iteration:3, F2F_time[s]:0.033237, H2H_time:0.026190, sync_time:0.007048
iteration:4, F2F_time[s]:0.033673, H2H_time:0.026607, sync_time:0.007066
iteration:5, F2F_time[s]:0.033679, H2H_time:0.026591, sync_time:0.007088
iteration:6, F2F_time[s]:0.032115, H2H_time:0.025178, sync_time:0.006937
iteration:7, F2F_time[s]:0.033454, H2H_time:0.026400, sync_time:0.007053
iteration:8, F2F_time[s]:0.032559, H2H_time:0.025500, sync_time:0.007059
iteration:9, F2F_time[s]:0.033375, H2H_time:0.026360, sync_time:0.007015
iteration:10, F2F_time[s]:0.033020, H2H_time:0.025972, sync_time:0.007048
iteration:11, F2F_time[s]:0.032109, H2H_time:0.025102, sync_time:0.007008
iteration:12, F2F_time[s]:0.032830, H2H_time:0.025827, sync_time:0.007004
iteration:13, F2F_time[s]:0.032494, H2H_time:0.025476, sync_time:0.007018
iteration:14, F2F_time[s]:0.033258, H2H_time:0.026220, sync_time:0.007038
iteration:15, F2F_time[s]:0.032692, H2H_time:0.025646, sync_time:0.007046
iteration:16, F2F_time[s]:0.033123, H2H_time:0.026083, sync_time:0.007040
iteration:17, F2F_time[s]:0.032550, H2H_time:0.025518, sync_time:0.007032
iteration:18, F2F_time[s]:0.032326, H2H_time:0.025350, sync_time:0.006976
iteration:19, F2F_time[s]:0.032546, H2H_time:0.025511, sync_time:0.007035
iteration:20, F2F_time[s]:0.033073, H2H_time:0.026097, sync_time:0.006976
iteration:21, F2F_time[s]:0.032669, H2H_time:0.025650, sync_time:0.007018
iteration:22, F2F_time[s]:0.032711, H2H_time:0.025725, sync_time:0.006985
iteration:23, F2F_time[s]:0.031085, H2H_time:0.024043, sync_time:0.007042
iteration:24, F2F_time[s]:0.032765, H2H_time:0.025726, sync_time:0.007039
iteration:25, F2F_time[s]:0.032370, H2H_time:0.025385, sync_time:0.006985
iteration:26, F2F_time[s]:0.032559, H2H_time:0.025529, sync_time:0.007030
iteration:27, F2F_time[s]:0.032426, H2H_time:0.025409, sync_time:0.007017
iteration:28, F2F_time[s]:0.032230, H2H_time:0.025238, sync_time:0.006992
iteration:29, F2F_time[s]:0.032245, H2H_time:0.025209, sync_time:0.007036
iteration:30, F2F_time[s]:0.032117, H2H_time:0.025123, sync_time:0.006993
iteration:31, F2F_time[s]:0.031058, H2H_time:0.024001, sync_time:0.007057
iteration:32, F2F_time[s]:0.031171, H2H_time:0.024135, sync_time:0.007036
iteration:33, F2F_time[s]:0.031967, H2H_time:0.024947, sync_time:0.007020
iteration:34, F2F_time[s]:0.031711, H2H_time:0.024621, sync_time:0.007090
iteration:35, F2F_time[s]:0.046831, H2H_time:0.039803, sync_time:0.007028
iteration:36, F2F_time[s]:0.031315, H2H_time:0.024122, sync_time:0.007194
iteration:37, F2F_time[s]:0.032197, H2H_time:0.025150, sync_time:0.007047
iteration:38, F2F_time[s]:0.031797, H2H_time:0.024755, sync_time:0.007042
iteration:39, F2F_time[s]:0.031602, H2H_time:0.024543, sync_time:0.007059
iteration:40, F2F_time[s]:0.032384, H2H_time:0.025385, sync_time:0.006999
iteration:41, F2F_time[s]:0.032095, H2H_time:0.025077, sync_time:0.007017
iteration:42, F2F_time[s]:0.031553, H2H_time:0.024515, sync_time:0.007038
iteration:43, F2F_time[s]:0.031785, H2H_time:0.024703, sync_time:0.007083
iteration:44, F2F_time[s]:0.031770, H2H_time:0.024730, sync_time:0.007040
iteration:45, F2F_time[s]:0.031123, H2H_time:0.024053, sync_time:0.007070
iteration:46, F2F_time[s]:0.030968, H2H_time:0.023890, sync_time:0.007078
iteration:47, F2F_time[s]:0.031517, H2H_time:0.024515, sync_time:0.007002
iteration:48, F2F_time[s]:0.031899, H2H_time:0.024847, sync_time:0.007052
iteration:49, F2F_time[s]:0.031439, H2H_time:0.024385, sync_time:0.007054
iteration:50, F2F_time[s]:0.031770, H2H_time:0.024759, sync_time:0.007011
iteration:51, F2F_time[s]:0.032275, H2H_time:0.025248, sync_time:0.007027
iteration:52, F2F_time[s]:0.032403, H2H_time:0.025118, sync_time:0.007285
iteration:53, F2F_time[s]:0.031476, H2H_time:0.024418, sync_time:0.007058
