XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo3c
alveo3b
alveo4b
alveo4c
alveo1b
alveo1a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:1024, num_elements:256, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1024, num_elements:256, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1024, num_elements:256, num_trials:200
Start Reduce test:
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:1024, num_elements:256, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:1024, num_elements:256, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1024, num_elements:256, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1024, num_elements:256, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:1024, num_elements:256, num_trials:200
iteration:0, F2F_time[s]:0.001012, H2H_time:0.000252, sync_time:0.000760
iteration:1, F2F_time[s]:0.000487, H2H_time:0.000116, sync_time:0.000371
iteration:2, F2F_time[s]:0.000340, H2H_time:0.000133, sync_time:0.000207
iteration:3, F2F_time[s]:0.000290, H2H_time:0.000098, sync_time:0.000192
iteration:4, F2F_time[s]:0.000375, H2H_time:0.000085, sync_time:0.000290
iteration:5, F2F_time[s]:0.000297, H2H_time:0.000104, sync_time:0.000194
iteration:6, F2F_time[s]:0.000267, H2H_time:0.000111, sync_time:0.000156
iteration:7, F2F_time[s]:0.000352, H2H_time:0.000084, sync_time:0.000268
iteration:8, F2F_time[s]:0.000341, H2H_time:0.000098, sync_time:0.000243
iteration:9, F2F_time[s]:0.000429, H2H_time:0.000121, sync_time:0.000308
iteration:10, F2F_time[s]:0.000375, H2H_time:0.000056, sync_time:0.000319
iteration:11, F2F_time[s]:0.000331, H2H_time:0.000104, sync_time:0.000228
iteration:12, F2F_time[s]:0.000288, H2H_time:0.000116, sync_time:0.000172
iteration:13, F2F_time[s]:0.000288, H2H_time:0.000110, sync_time:0.000178
iteration:14, F2F_time[s]:0.000243, H2H_time:0.000105, sync_time:0.000138
iteration:15, F2F_time[s]:0.000264, H2H_time:0.000140, sync_time:0.000123
iteration:16, F2F_time[s]:0.000284, H2H_time:0.000138, sync_time:0.000146
iteration:17, F2F_time[s]:0.000382, H2H_time:0.000093, sync_time:0.000288
iteration:18, F2F_time[s]:0.000522, H2H_time:0.000052, sync_time:0.000471
iteration:19, F2F_time[s]:0.000529, H2H_time:0.000051, sync_time:0.000478
iteration:20, F2F_time[s]:0.000451, H2H_time:0.000044, sync_time:0.000407
iteration:21, F2F_time[s]:0.000324, H2H_time:0.000178, sync_time:0.000146
iteration:22, F2F_time[s]:0.000422, H2H_time:0.000010, sync_time:0.000412
iteration:23, F2F_time[s]:0.000336, H2H_time:0.000038, sync_time:0.000298
iteration:24, F2F_time[s]:0.000313, H2H_time:0.000156, sync_time:0.000157
iteration:25, F2F_time[s]:0.000305, H2H_time:0.000175, sync_time:0.000130
iteration:26, F2F_time[s]:0.000342, H2H_time:0.000171, sync_time:0.000171
iteration:27, F2F_time[s]:0.000311, H2H_time:0.000213, sync_time:0.000098
iteration:28, F2F_time[s]:0.000304, H2H_time:0.000110, sync_time:0.000193
iteration:29, F2F_time[s]:0.000346, H2H_time:0.000065, sync_time:0.000281
iteration:30, F2F_time[s]:0.000294, H2H_time:0.000169, sync_time:0.000125
iteration:31, F2F_time[s]:0.000315, H2H_time:0.000218, sync_time:0.000097
iteration:32, F2F_time[s]:0.000333, H2H_time:0.000072, sync_time:0.000261
iteration:33, F2F_time[s]:0.000248, H2H_time:0.000114, sync_time:0.000134
iteration:34, F2F_time[s]:0.000336, H2H_time:0.000114, sync_time:0.000222
iteration:35, F2F_time[s]:0.000337, H2H_time:0.000234, sync_time:0.000103
iteration:36, F2F_time[s]:0.000339, H2H_time:0.000029, sync_time:0.000311
iteration:37, F2F_time[s]:0.000378, H2H_time:0.000161, sync_time:0.000217
iteration:38, F2F_time[s]:0.000316, H2H_time:0.000118, sync_time:0.000198
iteration:39, F2F_time[s]:0.000277, H2H_time:0.000122, sync_time:0.000155
iteration:40, F2F_time[s]:0.000337, H2H_time:0.000171, sync_time:0.000166
iteration:41, F2F_time[s]:0.000328, H2H_time:0.000179, sync_time:0.000149
iteration:42, F2F_time[s]:0.000240, H2H_time:0.000108, sync_time:0.000132
iteration:43, F2F_time[s]:0.000283, H2H_time:0.000107, sync_time:0.000176
iteration:44, F2F_time[s]:0.000305, H2H_time:0.000175, sync_time:0.000130
iteration:45, F2F_time[s]:0.000333, H2H_time:0.000057, sync_time:0.000275
iteration:46, F2F_time[s]:0.000226, H2H_time:0.000103, sync_time:0.000123
iteration:47, F2F_time[s]:0.000366, H2H_time:0.000160, sync_time:0.000206
iteration:48, F2F_time[s]:0.000425, H2H_time:0.000076, sync_time:0.000349
iteration:49, F2F_time[s]:0.000326, H2H_time:0.000200, sync_time:0.000126
iteration:50, F2F_time[s]:0.000311, H2H_time:0.000186, sync_time:0.000125
iteration:51, F2F_time[s]:0.000321, H2H_time:0.000022, sync_time:0.000299
iteration:52, F2F_time[s]:0.000274, H2H_time:0.000109, sync_time:0.000164
iteration:53, F2F_time[s]:0.000256, H2H_time:0.000126, sync_time:0.000130
iteration:54, F2F_time[s]:0.000276, H2H_time:0.000010, sync_time:0.000267
iteration:55, F2F_time[s]:0.000365, H2H_time:0.000232, sync_time:0.000133
iteration:56, F2F_time[s]:0.000342, H2H_time:0.000009, sync_time:0.000333
iteration:57, F2F_time[s]:0.000349, H2H_time:0.000192, sync_time:0.000157
iteration:58, F2F_time[s]:0.000369, H2H_time:0.000230, sync_time:0.000138
iteration:59, F2F_time[s]:0.000257, H2H_time:0.000061, sync_time:0.000196
iteration:60, F2F_time[s]:0.000348, H2H_time:0.000113, sync_time:0.000235
iteration:61, F2F_time[s]:0.000399, H2H_time:0.000099, sync_time:0.000300
iteration:62, F2F_time[s]:0.000452, H2H_time:0.000047, sync_time:0.000404
iteration:63, F2F_time[s]:0.000305, H2H_time:0.000174, sync_time:0.000131
