XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2a
alveo4c
alveo1a
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2097152, num_elements:524288, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.006676, H2H_time:0.005203, sync_time:0.001473
iteration:1, F2F_time[s]:0.004869, H2H_time:0.003380, sync_time:0.001489
iteration:2, F2F_time[s]:0.004392, H2H_time:0.002956, sync_time:0.001436
iteration:3, F2F_time[s]:0.004587, H2H_time:0.003020, sync_time:0.001567
iteration:4, F2F_time[s]:0.004608, H2H_time:0.003117, sync_time:0.001491
iteration:5, F2F_time[s]:0.004543, H2H_time:0.003030, sync_time:0.001513
iteration:6, F2F_time[s]:0.004458, H2H_time:0.002956, sync_time:0.001502
iteration:7, F2F_time[s]:0.004082, H2H_time:0.002680, sync_time:0.001402
iteration:8, F2F_time[s]:0.004538, H2H_time:0.002905, sync_time:0.001633
iteration:9, F2F_time[s]:0.004580, H2H_time:0.003057, sync_time:0.001523
iteration:10, F2F_time[s]:0.004184, H2H_time:0.002652, sync_time:0.001532
iteration:11, F2F_time[s]:0.004257, H2H_time:0.002757, sync_time:0.001500
iteration:12, F2F_time[s]:0.004128, H2H_time:0.002611, sync_time:0.001517
iteration:13, F2F_time[s]:0.004352, H2H_time:0.002840, sync_time:0.001512
iteration:14, F2F_time[s]:0.004308, H2H_time:0.002786, sync_time:0.001522
iteration:15, F2F_time[s]:0.004250, H2H_time:0.002740, sync_time:0.001510
iteration:16, F2F_time[s]:0.004365, H2H_time:0.002859, sync_time:0.001506
iteration:17, F2F_time[s]:0.004402, H2H_time:0.002859, sync_time:0.001543
iteration:18, F2F_time[s]:0.004199, H2H_time:0.002758, sync_time:0.001441
iteration:19, F2F_time[s]:0.004261, H2H_time:0.002785, sync_time:0.001476
iteration:20, F2F_time[s]:0.004473, H2H_time:0.002962, sync_time:0.001511
iteration:21, F2F_time[s]:0.019406, H2H_time:0.017888, sync_time:0.001518
iteration:22, F2F_time[s]:0.004646, H2H_time:0.003041, sync_time:0.001606
iteration:23, F2F_time[s]:0.004436, H2H_time:0.002865, sync_time:0.001570
iteration:24, F2F_time[s]:0.004210, H2H_time:0.002745, sync_time:0.001465
iteration:25, F2F_time[s]:0.004222, H2H_time:0.002607, sync_time:0.001615
iteration:26, F2F_time[s]:0.004519, H2H_time:0.002935, sync_time:0.001584
iteration:27, F2F_time[s]:0.004082, H2H_time:0.002652, sync_time:0.001430
iteration:28, F2F_time[s]:0.004394, H2H_time:0.002834, sync_time:0.001560
iteration:29, F2F_time[s]:0.018695, H2H_time:0.017316, sync_time:0.001379
iteration:30, F2F_time[s]:0.004269, H2H_time:0.002763, sync_time:0.001506
iteration:31, F2F_time[s]:0.004271, H2H_time:0.002686, sync_time:0.001585
iteration:32, F2F_time[s]:0.004203, H2H_time:0.002706, sync_time:0.001496
iteration:33, F2F_time[s]:0.004425, H2H_time:0.002841, sync_time:0.001583
iteration:34, F2F_time[s]:0.004458, H2H_time:0.002884, sync_time:0.001574
iteration:35, F2F_time[s]:0.004410, H2H_time:0.002897, sync_time:0.001513
iteration:36, F2F_time[s]:0.004189, H2H_time:0.002638, sync_time:0.001551
iteration:37, F2F_time[s]:0.004353, H2H_time:0.002893, sync_time:0.001459
iteration:38, F2F_time[s]:0.004611, H2H_time:0.003065, sync_time:0.001546
iteration:39, F2F_time[s]:0.004395, H2H_time:0.002813, sync_time:0.001581
