XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo2a
alveo3b
alveo4c
alveo2b
alveo1a
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:2097152, num_elements:524288, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2097152, num_elements:524288, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2097152, num_elements:524288, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.009689, H2H_time:0.008316, sync_time:0.001374
iteration:1, F2F_time[s]:0.007001, H2H_time:0.005594, sync_time:0.001407
iteration:2, F2F_time[s]:0.006218, H2H_time:0.004664, sync_time:0.001554
iteration:3, F2F_time[s]:0.006086, H2H_time:0.004606, sync_time:0.001480
iteration:4, F2F_time[s]:0.006304, H2H_time:0.004673, sync_time:0.001631
iteration:5, F2F_time[s]:0.005924, H2H_time:0.004440, sync_time:0.001484
iteration:6, F2F_time[s]:0.006093, H2H_time:0.004561, sync_time:0.001532
iteration:7, F2F_time[s]:0.005781, H2H_time:0.004363, sync_time:0.001418
iteration:8, F2F_time[s]:0.005643, H2H_time:0.004218, sync_time:0.001426
iteration:9, F2F_time[s]:0.005580, H2H_time:0.004103, sync_time:0.001477
iteration:10, F2F_time[s]:0.005831, H2H_time:0.004353, sync_time:0.001478
iteration:11, F2F_time[s]:0.005423, H2H_time:0.003889, sync_time:0.001534
iteration:12, F2F_time[s]:0.005703, H2H_time:0.004151, sync_time:0.001552
iteration:13, F2F_time[s]:0.005652, H2H_time:0.004133, sync_time:0.001520
iteration:14, F2F_time[s]:0.006121, H2H_time:0.004617, sync_time:0.001504
iteration:15, F2F_time[s]:0.005769, H2H_time:0.004260, sync_time:0.001509
iteration:16, F2F_time[s]:0.005601, H2H_time:0.004124, sync_time:0.001477
iteration:17, F2F_time[s]:0.005922, H2H_time:0.004548, sync_time:0.001374
iteration:18, F2F_time[s]:0.005796, H2H_time:0.004281, sync_time:0.001515
iteration:19, F2F_time[s]:0.005669, H2H_time:0.004009, sync_time:0.001659
iteration:20, F2F_time[s]:0.005899, H2H_time:0.004372, sync_time:0.001527
iteration:21, F2F_time[s]:0.005553, H2H_time:0.004116, sync_time:0.001437
iteration:22, F2F_time[s]:0.005605, H2H_time:0.004166, sync_time:0.001439
iteration:23, F2F_time[s]:0.005530, H2H_time:0.004160, sync_time:0.001369
iteration:24, F2F_time[s]:0.006008, H2H_time:0.004384, sync_time:0.001623
iteration:25, F2F_time[s]:0.006152, H2H_time:0.004599, sync_time:0.001553
iteration:26, F2F_time[s]:0.005600, H2H_time:0.004175, sync_time:0.001425
iteration:27, F2F_time[s]:0.005476, H2H_time:0.004045, sync_time:0.001431
iteration:28, F2F_time[s]:0.005707, H2H_time:0.004268, sync_time:0.001439
iteration:29, F2F_time[s]:0.005700, H2H_time:0.004210, sync_time:0.001491
iteration:30, F2F_time[s]:0.005583, H2H_time:0.004157, sync_time:0.001426
iteration:31, F2F_time[s]:0.007376, H2H_time:0.005872, sync_time:0.001504
iteration:32, F2F_time[s]:0.006126, H2H_time:0.004638, sync_time:0.001488
iteration:33, F2F_time[s]:0.005918, H2H_time:0.004333, sync_time:0.001585
iteration:34, F2F_time[s]:0.005860, H2H_time:0.004321, sync_time:0.001539
iteration:35, F2F_time[s]:0.005817, H2H_time:0.004362, sync_time:0.001455
iteration:36, F2F_time[s]:0.005930, H2H_time:0.004361, sync_time:0.001570
iteration:37, F2F_time[s]:0.005914, H2H_time:0.004440, sync_time:0.001474
iteration:38, F2F_time[s]:0.005908, H2H_time:0.004380, sync_time:0.001529
iteration:39, F2F_time[s]:0.005782, H2H_time:0.004236, sync_time:0.001545
iteration:40, F2F_time[s]:0.005517, H2H_time:0.004166, sync_time:0.001352
iteration:41, F2F_time[s]:0.005465, H2H_time:0.004038, sync_time:0.001427
iteration:42, F2F_time[s]:0.005526, H2H_time:0.004087, sync_time:0.001439
iteration:43, F2F_time[s]:0.005879, H2H_time:0.004425, sync_time:0.001453
iteration:44, F2F_time[s]:0.005878, H2H_time:0.004332, sync_time:0.001546
iteration:45, F2F_time[s]:0.005893, H2H_time:0.004366, sync_time:0.001527
iteration:46, F2F_time[s]:0.005974, H2H_time:0.004430, sync_time:0.001545
iteration:47, F2F_time[s]:0.006093, H2H_time:0.004597, sync_time:0.001496
iteration:48, F2F_time[s]:0.006447, H2H_time:0.004942, sync_time:0.001505
iteration:49, F2F_time[s]:0.005913, H2H_time:0.004435, sync_time:0.001478
iteration:50, F2F_time[s]:0.006143, H2H_time:0.004648, sync_time:0.001496
