XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start Reduce test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
iteration:0, F2F_time[s]:0.002385, H2H_time:0.001710, sync_time:0.000675
iteration:1, F2F_time[s]:0.001429, H2H_time:0.000865, sync_time:0.000564
iteration:2, F2F_time[s]:0.001310, H2H_time:0.000776, sync_time:0.000534
iteration:3, F2F_time[s]:0.001349, H2H_time:0.000757, sync_time:0.000591
iteration:4, F2F_time[s]:0.001259, H2H_time:0.000773, sync_time:0.000486
iteration:5, F2F_time[s]:0.001271, H2H_time:0.000645, sync_time:0.000626
iteration:6, F2F_time[s]:0.001261, H2H_time:0.000665, sync_time:0.000596
iteration:7, F2F_time[s]:0.001320, H2H_time:0.000738, sync_time:0.000581
iteration:8, F2F_time[s]:0.001304, H2H_time:0.000707, sync_time:0.000597
iteration:9, F2F_time[s]:0.001229, H2H_time:0.000713, sync_time:0.000516
iteration:10, F2F_time[s]:0.001238, H2H_time:0.000653, sync_time:0.000584
iteration:11, F2F_time[s]:0.001187, H2H_time:0.000621, sync_time:0.000566
iteration:12, F2F_time[s]:0.001035, H2H_time:0.000546, sync_time:0.000489
iteration:13, F2F_time[s]:0.001106, H2H_time:0.000577, sync_time:0.000529
iteration:14, F2F_time[s]:0.001110, H2H_time:0.000573, sync_time:0.000537
iteration:15, F2F_time[s]:0.000936, H2H_time:0.000503, sync_time:0.000432
iteration:16, F2F_time[s]:0.000998, H2H_time:0.000578, sync_time:0.000419
iteration:17, F2F_time[s]:0.000907, H2H_time:0.000487, sync_time:0.000420
iteration:18, F2F_time[s]:0.001010, H2H_time:0.000575, sync_time:0.000435
iteration:19, F2F_time[s]:0.001083, H2H_time:0.000543, sync_time:0.000540
iteration:20, F2F_time[s]:0.000976, H2H_time:0.000492, sync_time:0.000484
iteration:21, F2F_time[s]:0.000969, H2H_time:0.000564, sync_time:0.000404
iteration:22, F2F_time[s]:0.000868, H2H_time:0.000516, sync_time:0.000352
iteration:23, F2F_time[s]:0.000842, H2H_time:0.000498, sync_time:0.000344
iteration:24, F2F_time[s]:0.000854, H2H_time:0.000509, sync_time:0.000345
iteration:25, F2F_time[s]:0.000904, H2H_time:0.000500, sync_time:0.000404
iteration:26, F2F_time[s]:0.000890, H2H_time:0.000485, sync_time:0.000405
iteration:27, F2F_time[s]:0.000898, H2H_time:0.000489, sync_time:0.000409
iteration:28, F2F_time[s]:0.000889, H2H_time:0.000481, sync_time:0.000408
iteration:29, F2F_time[s]:0.000893, H2H_time:0.000530, sync_time:0.000363
iteration:30, F2F_time[s]:0.000923, H2H_time:0.000525, sync_time:0.000399
iteration:31, F2F_time[s]:0.000881, H2H_time:0.000475, sync_time:0.000406
iteration:32, F2F_time[s]:0.000908, H2H_time:0.000507, sync_time:0.000402
iteration:33, F2F_time[s]:0.000840, H2H_time:0.000495, sync_time:0.000345
iteration:34, F2F_time[s]:0.000898, H2H_time:0.000503, sync_time:0.000394
iteration:35, F2F_time[s]:0.000891, H2H_time:0.000487, sync_time:0.000403
iteration:36, F2F_time[s]:0.000874, H2H_time:0.000473, sync_time:0.000401
iteration:37, F2F_time[s]:0.000835, H2H_time:0.000478, sync_time:0.000357
iteration:38, F2F_time[s]:0.000909, H2H_time:0.000507, sync_time:0.000402
iteration:39, F2F_time[s]:0.000890, H2H_time:0.000491, sync_time:0.000399
