XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3b
alveo3c
alveo2b
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:33554432, num_elements:8388608, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.093801, H2H_time:0.080915, sync_time:0.012886
iteration:1, F2F_time[s]:0.086306, H2H_time:0.073335, sync_time:0.012971
iteration:2, F2F_time[s]:0.086832, H2H_time:0.073815, sync_time:0.013017
iteration:3, F2F_time[s]:0.088094, H2H_time:0.075062, sync_time:0.013032
iteration:4, F2F_time[s]:0.086612, H2H_time:0.073570, sync_time:0.013042
iteration:5, F2F_time[s]:0.087696, H2H_time:0.074667, sync_time:0.013029
iteration:6, F2F_time[s]:0.090911, H2H_time:0.077767, sync_time:0.013144
iteration:7, F2F_time[s]:0.090570, H2H_time:0.077545, sync_time:0.013025
iteration:8, F2F_time[s]:0.087578, H2H_time:0.074668, sync_time:0.012910
iteration:9, F2F_time[s]:0.089865, H2H_time:0.076846, sync_time:0.013019
iteration:10, F2F_time[s]:0.090694, H2H_time:0.077652, sync_time:0.013041
iteration:11, F2F_time[s]:0.094884, H2H_time:0.081850, sync_time:0.013034
iteration:12, F2F_time[s]:0.089143, H2H_time:0.076182, sync_time:0.012961
iteration:13, F2F_time[s]:0.088030, H2H_time:0.075044, sync_time:0.012986
iteration:14, F2F_time[s]:0.088271, H2H_time:0.075234, sync_time:0.013037
iteration:15, F2F_time[s]:0.085578, H2H_time:0.072583, sync_time:0.012995
iteration:16, F2F_time[s]:0.090444, H2H_time:0.077450, sync_time:0.012994
iteration:17, F2F_time[s]:0.087461, H2H_time:0.074469, sync_time:0.012992
iteration:18, F2F_time[s]:0.087185, H2H_time:0.074123, sync_time:0.013062
iteration:19, F2F_time[s]:0.088268, H2H_time:0.075216, sync_time:0.013052
iteration:20, F2F_time[s]:0.087585, H2H_time:0.074550, sync_time:0.013035
iteration:21, F2F_time[s]:0.086376, H2H_time:0.073332, sync_time:0.013044
iteration:22, F2F_time[s]:0.086152, H2H_time:0.073127, sync_time:0.013025
iteration:23, F2F_time[s]:0.084670, H2H_time:0.071633, sync_time:0.013037
iteration:24, F2F_time[s]:0.086987, H2H_time:0.073945, sync_time:0.013042
iteration:25, F2F_time[s]:0.085903, H2H_time:0.072946, sync_time:0.012956
iteration:26, F2F_time[s]:0.088103, H2H_time:0.075134, sync_time:0.012968
iteration:27, F2F_time[s]:0.088065, H2H_time:0.075094, sync_time:0.012971
iteration:28, F2F_time[s]:0.089786, H2H_time:0.076725, sync_time:0.013061
iteration:29, F2F_time[s]:0.089707, H2H_time:0.076661, sync_time:0.013046
iteration:30, F2F_time[s]:0.089018, H2H_time:0.076063, sync_time:0.012955
iteration:31, F2F_time[s]:0.092922, H2H_time:0.079949, sync_time:0.012973
iteration:32, F2F_time[s]:0.092241, H2H_time:0.079362, sync_time:0.012880
iteration:33, F2F_time[s]:0.089365, H2H_time:0.076397, sync_time:0.012968
iteration:34, F2F_time[s]:0.087653, H2H_time:0.074706, sync_time:0.012946
iteration:35, F2F_time[s]:0.086304, H2H_time:0.073307, sync_time:0.012997
iteration:36, F2F_time[s]:0.087947, H2H_time:0.074967, sync_time:0.012980
iteration:37, F2F_time[s]:0.085183, H2H_time:0.072208, sync_time:0.012976
iteration:38, F2F_time[s]:0.085380, H2H_time:0.072439, sync_time:0.012941
iteration:39, F2F_time[s]:0.085158, H2H_time:0.072190, sync_time:0.012968
iteration:40, F2F_time[s]:0.088367, H2H_time:0.075320, sync_time:0.013047
iteration:41, F2F_time[s]:0.085046, H2H_time:0.072027, sync_time:0.013019
iteration:42, F2F_time[s]:0.084609, H2H_time:0.071552, sync_time:0.013056
iteration:43, F2F_time[s]:0.090216, H2H_time:0.077285, sync_time:0.012931
iteration:44, F2F_time[s]:0.087844, H2H_time:0.074866, sync_time:0.012978
iteration:45, F2F_time[s]:0.086325, H2H_time:0.073270, sync_time:0.013055
iteration:46, F2F_time[s]:0.087107, H2H_time:0.074100, sync_time:0.013006
iteration:47, F2F_time[s]:0.089489, H2H_time:0.076446, sync_time:0.013043
iteration:48, F2F_time[s]:0.087325, H2H_time:0.074369, sync_time:0.012957
iteration:49, F2F_time[s]:0.087660, H2H_time:0.074605, sync_time:0.013056
iteration:50, F2F_time[s]:0.087656, H2H_time:0.074686, sync_time:0.012970
