XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo2b
alveo1a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.001698, H2H_time:0.001146, sync_time:0.000552
iteration:1, F2F_time[s]:0.000665, H2H_time:0.000325, sync_time:0.000340
iteration:2, F2F_time[s]:0.000472, H2H_time:0.000221, sync_time:0.000251
iteration:3, F2F_time[s]:0.000387, H2H_time:0.000214, sync_time:0.000173
iteration:4, F2F_time[s]:0.000393, H2H_time:0.000214, sync_time:0.000178
iteration:5, F2F_time[s]:0.000451, H2H_time:0.000213, sync_time:0.000238
iteration:6, F2F_time[s]:0.000408, H2H_time:0.000198, sync_time:0.000210
iteration:7, F2F_time[s]:0.000420, H2H_time:0.000198, sync_time:0.000222
iteration:8, F2F_time[s]:0.000421, H2H_time:0.000191, sync_time:0.000231
iteration:9, F2F_time[s]:0.000450, H2H_time:0.000211, sync_time:0.000239
iteration:10, F2F_time[s]:0.000440, H2H_time:0.000191, sync_time:0.000249
iteration:11, F2F_time[s]:0.000424, H2H_time:0.000191, sync_time:0.000232
iteration:12, F2F_time[s]:0.000419, H2H_time:0.000189, sync_time:0.000230
iteration:13, F2F_time[s]:0.000417, H2H_time:0.000193, sync_time:0.000224
iteration:14, F2F_time[s]:0.000431, H2H_time:0.000192, sync_time:0.000239
iteration:15, F2F_time[s]:0.000427, H2H_time:0.000188, sync_time:0.000239
iteration:16, F2F_time[s]:0.000386, H2H_time:0.000218, sync_time:0.000168
iteration:17, F2F_time[s]:0.000368, H2H_time:0.000199, sync_time:0.000170
iteration:18, F2F_time[s]:0.000369, H2H_time:0.000205, sync_time:0.000164
iteration:19, F2F_time[s]:0.000356, H2H_time:0.000190, sync_time:0.000167
iteration:20, F2F_time[s]:0.000381, H2H_time:0.000211, sync_time:0.000171
iteration:21, F2F_time[s]:0.000385, H2H_time:0.000194, sync_time:0.000191
iteration:22, F2F_time[s]:0.000370, H2H_time:0.000194, sync_time:0.000176
iteration:23, F2F_time[s]:0.000360, H2H_time:0.000191, sync_time:0.000169
iteration:24, F2F_time[s]:0.000340, H2H_time:0.000176, sync_time:0.000164
iteration:25, F2F_time[s]:0.000339, H2H_time:0.000179, sync_time:0.000159
iteration:26, F2F_time[s]:0.000351, H2H_time:0.000185, sync_time:0.000166
iteration:27, F2F_time[s]:0.000352, H2H_time:0.000189, sync_time:0.000162
iteration:28, F2F_time[s]:0.000345, H2H_time:0.000188, sync_time:0.000157
iteration:29, F2F_time[s]:0.000344, H2H_time:0.000185, sync_time:0.000160
iteration:30, F2F_time[s]:0.000341, H2H_time:0.000175, sync_time:0.000166
iteration:31, F2F_time[s]:0.000342, H2H_time:0.000187, sync_time:0.000155
iteration:32, F2F_time[s]:0.000321, H2H_time:0.000167, sync_time:0.000154
iteration:33, F2F_time[s]:0.000362, H2H_time:0.000208, sync_time:0.000154
iteration:34, F2F_time[s]:0.000335, H2H_time:0.000179, sync_time:0.000157
iteration:35, F2F_time[s]:0.000325, H2H_time:0.000170, sync_time:0.000155
iteration:36, F2F_time[s]:0.000337, H2H_time:0.000183, sync_time:0.000154
iteration:37, F2F_time[s]:0.000337, H2H_time:0.000182, sync_time:0.000156
iteration:38, F2F_time[s]:0.000344, H2H_time:0.000173, sync_time:0.000171
iteration:39, F2F_time[s]:0.000318, H2H_time:0.000159, sync_time:0.000159
