XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2a
alveo3c
alveo3b
alveo4b
alveo4c
alveo1a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:32768, num_elements:8192, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:32768, num_elements:8192, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:32768, num_elements:8192, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.002687, H2H_time:0.002250, sync_time:0.000436
iteration:1, F2F_time[s]:0.000855, H2H_time:0.000546, sync_time:0.000309
iteration:2, F2F_time[s]:0.000630, H2H_time:0.000436, sync_time:0.000195
iteration:3, F2F_time[s]:0.000625, H2H_time:0.000438, sync_time:0.000186
iteration:4, F2F_time[s]:0.000622, H2H_time:0.000435, sync_time:0.000187
iteration:5, F2F_time[s]:0.000616, H2H_time:0.000420, sync_time:0.000196
iteration:6, F2F_time[s]:0.000647, H2H_time:0.000462, sync_time:0.000185
iteration:7, F2F_time[s]:0.000634, H2H_time:0.000455, sync_time:0.000179
iteration:8, F2F_time[s]:0.000619, H2H_time:0.000444, sync_time:0.000175
iteration:9, F2F_time[s]:0.000630, H2H_time:0.000436, sync_time:0.000194
iteration:10, F2F_time[s]:0.000574, H2H_time:0.000390, sync_time:0.000184
iteration:11, F2F_time[s]:0.000628, H2H_time:0.000439, sync_time:0.000189
iteration:12, F2F_time[s]:0.000636, H2H_time:0.000455, sync_time:0.000181
iteration:13, F2F_time[s]:0.000627, H2H_time:0.000437, sync_time:0.000190
iteration:14, F2F_time[s]:0.000625, H2H_time:0.000433, sync_time:0.000192
iteration:15, F2F_time[s]:0.000632, H2H_time:0.000456, sync_time:0.000176
iteration:16, F2F_time[s]:0.000625, H2H_time:0.000438, sync_time:0.000187
iteration:17, F2F_time[s]:0.000632, H2H_time:0.000452, sync_time:0.000180
iteration:18, F2F_time[s]:0.000544, H2H_time:0.000361, sync_time:0.000183
iteration:19, F2F_time[s]:0.000575, H2H_time:0.000391, sync_time:0.000184
iteration:20, F2F_time[s]:0.000620, H2H_time:0.000442, sync_time:0.000178
iteration:21, F2F_time[s]:0.000652, H2H_time:0.000471, sync_time:0.000181
iteration:22, F2F_time[s]:0.000638, H2H_time:0.000456, sync_time:0.000182
iteration:23, F2F_time[s]:0.000618, H2H_time:0.000433, sync_time:0.000185
iteration:24, F2F_time[s]:0.000584, H2H_time:0.000399, sync_time:0.000186
iteration:25, F2F_time[s]:0.000600, H2H_time:0.000418, sync_time:0.000182
iteration:26, F2F_time[s]:0.000588, H2H_time:0.000395, sync_time:0.000193
iteration:27, F2F_time[s]:0.000566, H2H_time:0.000390, sync_time:0.000176
iteration:28, F2F_time[s]:0.000640, H2H_time:0.000445, sync_time:0.000195
iteration:29, F2F_time[s]:0.000630, H2H_time:0.000443, sync_time:0.000187
iteration:30, F2F_time[s]:0.000583, H2H_time:0.000391, sync_time:0.000192
iteration:31, F2F_time[s]:0.000612, H2H_time:0.000432, sync_time:0.000180
iteration:32, F2F_time[s]:0.000589, H2H_time:0.000408, sync_time:0.000181
iteration:33, F2F_time[s]:0.000647, H2H_time:0.000462, sync_time:0.000185
iteration:34, F2F_time[s]:0.000619, H2H_time:0.000417, sync_time:0.000202
iteration:35, F2F_time[s]:0.000615, H2H_time:0.000420, sync_time:0.000195
iteration:36, F2F_time[s]:0.000611, H2H_time:0.000419, sync_time:0.000191
iteration:37, F2F_time[s]:0.000583, H2H_time:0.000397, sync_time:0.000187
iteration:38, F2F_time[s]:0.000573, H2H_time:0.000389, sync_time:0.000185
iteration:39, F2F_time[s]:0.000566, H2H_time:0.000377, sync_time:0.000189
iteration:40, F2F_time[s]:0.000578, H2H_time:0.000396, sync_time:0.000181
iteration:41, F2F_time[s]:0.000626, H2H_time:0.000446, sync_time:0.000180
iteration:42, F2F_time[s]:0.000603, H2H_time:0.000404, sync_time:0.000199
iteration:43, F2F_time[s]:0.000615, H2H_time:0.000419, sync_time:0.000195
iteration:44, F2F_time[s]:0.000626, H2H_time:0.000443, sync_time:0.000183
iteration:45, F2F_time[s]:0.000610, H2H_time:0.000434, sync_time:0.000176
iteration:46, F2F_time[s]:0.000561, H2H_time:0.000360, sync_time:0.000202
iteration:47, F2F_time[s]:0.000556, H2H_time:0.000373, sync_time:0.000184
iteration:48, F2F_time[s]:0.000634, H2H_time:0.000449, sync_time:0.000185
iteration:49, F2F_time[s]:0.000628, H2H_time:0.000427, sync_time:0.000201
iteration:50, F2F_time[s]:0.000607, H2H_time:0.000405, sync_time:0.000202
iteration:51, F2F_time[s]:0.000587, H2H_time:0.000400, sync_time:0.000187
iteration:52, F2F_time[s]:0.000631, H2H_time:0.000419, sync_time:0.000212
iteration:53, F2F_time[s]:0.000644, H2H_time:0.000455, sync_time:0.000189
iteration:54, F2F_time[s]:0.000542, H2H_time:0.000362, sync_time:0.000180
iteration:55, F2F_time[s]:0.000563, H2H_time:0.000380, sync_time:0.000183
iteration:56, F2F_time[s]:0.000636, H2H_time:0.000447, sync_time:0.000188
