XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo1a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4194304, num_elements:1048576, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4194304, num_elements:1048576, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4194304, num_elements:1048576, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.008223, H2H_time:0.005808, sync_time:0.002416
iteration:1, F2F_time[s]:0.006637, H2H_time:0.004291, sync_time:0.002345
iteration:2, F2F_time[s]:0.006723, H2H_time:0.004321, sync_time:0.002402
iteration:3, F2F_time[s]:0.006173, H2H_time:0.003842, sync_time:0.002330
iteration:4, F2F_time[s]:0.006354, H2H_time:0.003929, sync_time:0.002425
iteration:5, F2F_time[s]:0.006850, H2H_time:0.004317, sync_time:0.002533
iteration:6, F2F_time[s]:0.006550, H2H_time:0.004075, sync_time:0.002475
iteration:7, F2F_time[s]:0.006913, H2H_time:0.004361, sync_time:0.002552
iteration:8, F2F_time[s]:0.006474, H2H_time:0.004052, sync_time:0.002422
iteration:9, F2F_time[s]:0.006157, H2H_time:0.003889, sync_time:0.002267
iteration:10, F2F_time[s]:0.006663, H2H_time:0.004238, sync_time:0.002426
iteration:11, F2F_time[s]:0.006478, H2H_time:0.004124, sync_time:0.002354
iteration:12, F2F_time[s]:0.006460, H2H_time:0.004042, sync_time:0.002418
iteration:13, F2F_time[s]:0.006955, H2H_time:0.004333, sync_time:0.002622
iteration:14, F2F_time[s]:0.006949, H2H_time:0.004579, sync_time:0.002371
iteration:15, F2F_time[s]:0.006355, H2H_time:0.003903, sync_time:0.002452
iteration:16, F2F_time[s]:0.006648, H2H_time:0.004257, sync_time:0.002390
iteration:17, F2F_time[s]:0.006473, H2H_time:0.004000, sync_time:0.002473
iteration:18, F2F_time[s]:0.006734, H2H_time:0.004260, sync_time:0.002475
iteration:19, F2F_time[s]:0.006650, H2H_time:0.004170, sync_time:0.002480
iteration:20, F2F_time[s]:0.006614, H2H_time:0.004164, sync_time:0.002449
iteration:21, F2F_time[s]:0.006390, H2H_time:0.003963, sync_time:0.002427
iteration:22, F2F_time[s]:0.006801, H2H_time:0.004355, sync_time:0.002446
iteration:23, F2F_time[s]:0.006410, H2H_time:0.003934, sync_time:0.002475
iteration:24, F2F_time[s]:0.006589, H2H_time:0.004134, sync_time:0.002455
iteration:25, F2F_time[s]:0.006437, H2H_time:0.004052, sync_time:0.002384
iteration:26, F2F_time[s]:0.006645, H2H_time:0.004252, sync_time:0.002393
iteration:27, F2F_time[s]:0.006498, H2H_time:0.004003, sync_time:0.002495
iteration:28, F2F_time[s]:0.006522, H2H_time:0.004002, sync_time:0.002520
iteration:29, F2F_time[s]:0.006487, H2H_time:0.003981, sync_time:0.002506
iteration:30, F2F_time[s]:0.006826, H2H_time:0.004404, sync_time:0.002422
iteration:31, F2F_time[s]:0.006214, H2H_time:0.003853, sync_time:0.002361
iteration:32, F2F_time[s]:0.006523, H2H_time:0.003914, sync_time:0.002609
iteration:33, F2F_time[s]:0.006424, H2H_time:0.003855, sync_time:0.002570
