XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo1b
alveo3b
alveo4b
alveo4c
alveo1a
alveo2a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:4096, num_elements:1024, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4096, num_elements:1024, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:4096, num_elements:1024, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:4096, num_elements:1024, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4096, num_elements:1024, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:4096, num_elements:1024, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4096, num_elements:1024, num_trials:200
Start Reduce test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4096, num_elements:1024, num_trials:200
iteration:0, F2F_time[s]:0.000895, H2H_time:0.000349, sync_time:0.000546
iteration:1, F2F_time[s]:0.000510, H2H_time:0.000101, sync_time:0.000409
iteration:2, F2F_time[s]:0.000313, H2H_time:0.000076, sync_time:0.000237
iteration:3, F2F_time[s]:0.000332, H2H_time:0.000085, sync_time:0.000247
iteration:4, F2F_time[s]:0.000297, H2H_time:0.000146, sync_time:0.000152
iteration:5, F2F_time[s]:0.000281, H2H_time:0.000124, sync_time:0.000157
iteration:6, F2F_time[s]:0.000327, H2H_time:0.000103, sync_time:0.000224
iteration:7, F2F_time[s]:0.000290, H2H_time:0.000120, sync_time:0.000170
iteration:8, F2F_time[s]:0.000383, H2H_time:0.000077, sync_time:0.000306
iteration:9, F2F_time[s]:0.000396, H2H_time:0.000182, sync_time:0.000214
iteration:10, F2F_time[s]:0.000288, H2H_time:0.000157, sync_time:0.000131
iteration:11, F2F_time[s]:0.000310, H2H_time:0.000157, sync_time:0.000153
iteration:12, F2F_time[s]:0.000306, H2H_time:0.000111, sync_time:0.000196
iteration:13, F2F_time[s]:0.000310, H2H_time:0.000114, sync_time:0.000196
iteration:14, F2F_time[s]:0.000316, H2H_time:0.000136, sync_time:0.000180
iteration:15, F2F_time[s]:0.000281, H2H_time:0.000112, sync_time:0.000169
iteration:16, F2F_time[s]:0.000323, H2H_time:0.000166, sync_time:0.000157
iteration:17, F2F_time[s]:0.000425, H2H_time:0.000107, sync_time:0.000318
iteration:18, F2F_time[s]:0.000470, H2H_time:0.000086, sync_time:0.000384
iteration:19, F2F_time[s]:0.000401, H2H_time:0.000074, sync_time:0.000327
iteration:20, F2F_time[s]:0.000429, H2H_time:0.000074, sync_time:0.000355
iteration:21, F2F_time[s]:0.000551, H2H_time:0.000088, sync_time:0.000463
iteration:22, F2F_time[s]:0.000578, H2H_time:0.000074, sync_time:0.000504
iteration:23, F2F_time[s]:0.000535, H2H_time:0.000072, sync_time:0.000463
iteration:24, F2F_time[s]:0.000523, H2H_time:0.000072, sync_time:0.000452
iteration:25, F2F_time[s]:0.000519, H2H_time:0.000080, sync_time:0.000438
iteration:26, F2F_time[s]:0.000326, H2H_time:0.000190, sync_time:0.000136
iteration:27, F2F_time[s]:0.000365, H2H_time:0.000203, sync_time:0.000162
iteration:28, F2F_time[s]:0.000426, H2H_time:0.000154, sync_time:0.000272
iteration:29, F2F_time[s]:0.000419, H2H_time:0.000099, sync_time:0.000320
iteration:30, F2F_time[s]:0.000247, H2H_time:0.000142, sync_time:0.000105
iteration:31, F2F_time[s]:0.000420, H2H_time:0.000130, sync_time:0.000290
iteration:32, F2F_time[s]:0.000440, H2H_time:0.000057, sync_time:0.000383
iteration:33, F2F_time[s]:0.000397, H2H_time:0.000080, sync_time:0.000316
iteration:34, F2F_time[s]:0.000246, H2H_time:0.000144, sync_time:0.000102
iteration:35, F2F_time[s]:0.000277, H2H_time:0.000136, sync_time:0.000141
iteration:36, F2F_time[s]:0.000297, H2H_time:0.000159, sync_time:0.000138
iteration:37, F2F_time[s]:0.000283, H2H_time:0.000136, sync_time:0.000147
iteration:38, F2F_time[s]:0.000286, H2H_time:0.000118, sync_time:0.000168
iteration:39, F2F_time[s]:0.000325, H2H_time:0.000053, sync_time:0.000273
iteration:40, F2F_time[s]:0.000288, H2H_time:0.000120, sync_time:0.000168
iteration:41, F2F_time[s]:0.000283, H2H_time:0.000101, sync_time:0.000181
iteration:42, F2F_time[s]:0.000309, H2H_time:0.000150, sync_time:0.000159
iteration:43, F2F_time[s]:0.000337, H2H_time:0.000152, sync_time:0.000184
iteration:44, F2F_time[s]:0.000282, H2H_time:0.000118, sync_time:0.000164
iteration:45, F2F_time[s]:0.000407, H2H_time:0.000118, sync_time:0.000289
iteration:46, F2F_time[s]:0.000269, H2H_time:0.000106, sync_time:0.000163
iteration:47, F2F_time[s]:0.000291, H2H_time:0.000111, sync_time:0.000180
iteration:48, F2F_time[s]:0.000445, H2H_time:0.000080, sync_time:0.000364
iteration:49, F2F_time[s]:0.000441, H2H_time:0.000066, sync_time:0.000375
iteration:50, F2F_time[s]:0.000479, H2H_time:0.000060, sync_time:0.000419
iteration:51, F2F_time[s]:0.000322, H2H_time:0.000069, sync_time:0.000252
iteration:52, F2F_time[s]:0.000278, H2H_time:0.000159, sync_time:0.000119
iteration:53, F2F_time[s]:0.000310, H2H_time:0.000197, sync_time:0.000113
iteration:54, F2F_time[s]:0.000222, H2H_time:0.000121, sync_time:0.000101
iteration:55, F2F_time[s]:0.000284, H2H_time:0.000090, sync_time:0.000193
iteration:56, F2F_time[s]:0.000305, H2H_time:0.000197, sync_time:0.000108
iteration:57, F2F_time[s]:0.000303, H2H_time:0.000172, sync_time:0.000131
iteration:58, F2F_time[s]:0.000274, H2H_time:0.000157, sync_time:0.000116
iteration:59, F2F_time[s]:0.000278, H2H_time:0.000166, sync_time:0.000111
iteration:60, F2F_time[s]:0.000426, H2H_time:0.000169, sync_time:0.000257
iteration:61, F2F_time[s]:0.000323, H2H_time:0.000061, sync_time:0.000262
iteration:62, F2F_time[s]:0.000339, H2H_time:0.000163, sync_time:0.000176
iteration:63, F2F_time[s]:0.000334, H2H_time:0.000087, sync_time:0.000248
