XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo3b
alveo4c
alveo4b
alveo2a
alveo1a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:65536, num_elements:16384, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:65536, num_elements:16384, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:65536, num_elements:16384, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:65536, num_elements:16384, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:65536, num_elements:16384, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:65536, num_elements:16384, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:65536, num_elements:16384, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.001550, H2H_time:0.000996, sync_time:0.000554
iteration:1, F2F_time[s]:0.000810, H2H_time:0.000458, sync_time:0.000351
iteration:2, F2F_time[s]:0.000779, H2H_time:0.000423, sync_time:0.000356
iteration:3, F2F_time[s]:0.000772, H2H_time:0.000458, sync_time:0.000314
iteration:4, F2F_time[s]:0.000734, H2H_time:0.000411, sync_time:0.000323
iteration:5, F2F_time[s]:0.000644, H2H_time:0.000335, sync_time:0.000310
iteration:6, F2F_time[s]:0.000679, H2H_time:0.000365, sync_time:0.000313
iteration:7, F2F_time[s]:0.000696, H2H_time:0.000386, sync_time:0.000310
iteration:8, F2F_time[s]:0.000708, H2H_time:0.000387, sync_time:0.000321
iteration:9, F2F_time[s]:0.000698, H2H_time:0.000379, sync_time:0.000319
iteration:10, F2F_time[s]:0.000729, H2H_time:0.000432, sync_time:0.000297
iteration:11, F2F_time[s]:0.000651, H2H_time:0.000362, sync_time:0.000289
iteration:12, F2F_time[s]:0.000617, H2H_time:0.000351, sync_time:0.000265
iteration:13, F2F_time[s]:0.000694, H2H_time:0.000405, sync_time:0.000289
iteration:14, F2F_time[s]:0.000615, H2H_time:0.000322, sync_time:0.000293
iteration:15, F2F_time[s]:0.000663, H2H_time:0.000363, sync_time:0.000300
iteration:16, F2F_time[s]:0.000682, H2H_time:0.000384, sync_time:0.000298
iteration:17, F2F_time[s]:0.000625, H2H_time:0.000322, sync_time:0.000303
iteration:18, F2F_time[s]:0.000661, H2H_time:0.000324, sync_time:0.000337
iteration:19, F2F_time[s]:0.000674, H2H_time:0.000371, sync_time:0.000303
iteration:20, F2F_time[s]:0.000627, H2H_time:0.000316, sync_time:0.000311
iteration:21, F2F_time[s]:0.000641, H2H_time:0.000340, sync_time:0.000300
iteration:22, F2F_time[s]:0.000664, H2H_time:0.000359, sync_time:0.000305
iteration:23, F2F_time[s]:0.000501, H2H_time:0.000277, sync_time:0.000224
iteration:24, F2F_time[s]:0.000581, H2H_time:0.000285, sync_time:0.000297
iteration:25, F2F_time[s]:0.000639, H2H_time:0.000317, sync_time:0.000323
iteration:26, F2F_time[s]:0.000606, H2H_time:0.000306, sync_time:0.000299
iteration:27, F2F_time[s]:0.000566, H2H_time:0.000266, sync_time:0.000300
iteration:28, F2F_time[s]:0.000579, H2H_time:0.000276, sync_time:0.000303
iteration:29, F2F_time[s]:0.000528, H2H_time:0.000261, sync_time:0.000267
iteration:30, F2F_time[s]:0.000590, H2H_time:0.000286, sync_time:0.000304
iteration:31, F2F_time[s]:0.000586, H2H_time:0.000287, sync_time:0.000300
iteration:32, F2F_time[s]:0.000609, H2H_time:0.000291, sync_time:0.000318
iteration:33, F2F_time[s]:0.000597, H2H_time:0.000279, sync_time:0.000317
iteration:34, F2F_time[s]:0.000554, H2H_time:0.000260, sync_time:0.000295
iteration:35, F2F_time[s]:0.000433, H2H_time:0.000240, sync_time:0.000193
iteration:36, F2F_time[s]:0.000427, H2H_time:0.000232, sync_time:0.000195
iteration:37, F2F_time[s]:0.000434, H2H_time:0.000250, sync_time:0.000184
iteration:38, F2F_time[s]:0.000427, H2H_time:0.000236, sync_time:0.000191
iteration:39, F2F_time[s]:0.000435, H2H_time:0.000244, sync_time:0.000191
iteration:40, F2F_time[s]:0.000410, H2H_time:0.000227, sync_time:0.000182
iteration:41, F2F_time[s]:0.000412, H2H_time:0.000228, sync_time:0.000185
iteration:42, F2F_time[s]:0.000399, H2H_time:0.000219, sync_time:0.000180
iteration:43, F2F_time[s]:0.000405, H2H_time:0.000224, sync_time:0.000181
iteration:44, F2F_time[s]:0.000399, H2H_time:0.000218, sync_time:0.000181
iteration:45, F2F_time[s]:0.000407, H2H_time:0.000223, sync_time:0.000185
iteration:46, F2F_time[s]:0.000407, H2H_time:0.000224, sync_time:0.000184
iteration:47, F2F_time[s]:0.000409, H2H_time:0.000232, sync_time:0.000177
iteration:48, F2F_time[s]:0.000403, H2H_time:0.000222, sync_time:0.000181
iteration:49, F2F_time[s]:0.000420, H2H_time:0.000234, sync_time:0.000186
iteration:50, F2F_time[s]:0.000398, H2H_time:0.000220, sync_time:0.000178
iteration:51, F2F_time[s]:0.000404, H2H_time:0.000221, sync_time:0.000184
iteration:52, F2F_time[s]:0.000404, H2H_time:0.000224, sync_time:0.000181
iteration:53, F2F_time[s]:0.000409, H2H_time:0.000220, sync_time:0.000189
iteration:54, F2F_time[s]:0.000396, H2H_time:0.000218, sync_time:0.000179
iteration:55, F2F_time[s]:0.000405, H2H_time:0.000226, sync_time:0.000179
iteration:56, F2F_time[s]:0.000410, H2H_time:0.000219, sync_time:0.000191
