XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo4c
alveo1a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.019600, H2H_time:0.015679, sync_time:0.003921
iteration:1, F2F_time[s]:0.017272, H2H_time:0.013301, sync_time:0.003972
iteration:2, F2F_time[s]:0.013565, H2H_time:0.009481, sync_time:0.004084
iteration:3, F2F_time[s]:0.013894, H2H_time:0.009819, sync_time:0.004075
iteration:4, F2F_time[s]:0.013282, H2H_time:0.009245, sync_time:0.004038
iteration:5, F2F_time[s]:0.015656, H2H_time:0.011577, sync_time:0.004079
iteration:6, F2F_time[s]:0.014465, H2H_time:0.010383, sync_time:0.004083
iteration:7, F2F_time[s]:0.013352, H2H_time:0.009315, sync_time:0.004038
iteration:8, F2F_time[s]:0.014139, H2H_time:0.010066, sync_time:0.004073
iteration:9, F2F_time[s]:0.014114, H2H_time:0.010073, sync_time:0.004040
iteration:10, F2F_time[s]:0.014325, H2H_time:0.010237, sync_time:0.004087
iteration:11, F2F_time[s]:0.013308, H2H_time:0.009202, sync_time:0.004106
iteration:12, F2F_time[s]:0.013605, H2H_time:0.009536, sync_time:0.004069
iteration:13, F2F_time[s]:0.013314, H2H_time:0.009382, sync_time:0.003932
iteration:14, F2F_time[s]:0.013478, H2H_time:0.009357, sync_time:0.004120
iteration:15, F2F_time[s]:0.013407, H2H_time:0.009371, sync_time:0.004036
iteration:16, F2F_time[s]:0.013931, H2H_time:0.009843, sync_time:0.004087
iteration:17, F2F_time[s]:0.014561, H2H_time:0.010491, sync_time:0.004070
iteration:18, F2F_time[s]:0.014688, H2H_time:0.010608, sync_time:0.004080
iteration:19, F2F_time[s]:0.014787, H2H_time:0.010710, sync_time:0.004076
iteration:20, F2F_time[s]:0.014635, H2H_time:0.010607, sync_time:0.004028
iteration:21, F2F_time[s]:0.015281, H2H_time:0.011179, sync_time:0.004101
iteration:22, F2F_time[s]:0.015134, H2H_time:0.011131, sync_time:0.004003
iteration:23, F2F_time[s]:0.015406, H2H_time:0.011359, sync_time:0.004047
iteration:24, F2F_time[s]:0.014826, H2H_time:0.010710, sync_time:0.004116
iteration:25, F2F_time[s]:0.014770, H2H_time:0.010615, sync_time:0.004155
iteration:26, F2F_time[s]:0.015080, H2H_time:0.011034, sync_time:0.004046
iteration:27, F2F_time[s]:0.014837, H2H_time:0.010794, sync_time:0.004043
iteration:28, F2F_time[s]:0.015421, H2H_time:0.011314, sync_time:0.004107
iteration:29, F2F_time[s]:0.015883, H2H_time:0.011821, sync_time:0.004062
iteration:30, F2F_time[s]:0.015969, H2H_time:0.011836, sync_time:0.004132
iteration:31, F2F_time[s]:0.015229, H2H_time:0.011215, sync_time:0.004014
iteration:32, F2F_time[s]:0.015480, H2H_time:0.011456, sync_time:0.004025
iteration:33, F2F_time[s]:0.015944, H2H_time:0.011926, sync_time:0.004018
iteration:34, F2F_time[s]:0.016251, H2H_time:0.012184, sync_time:0.004067
iteration:35, F2F_time[s]:0.016360, H2H_time:0.012257, sync_time:0.004104
iteration:36, F2F_time[s]:0.015465, H2H_time:0.011369, sync_time:0.004097
iteration:37, F2F_time[s]:0.015256, H2H_time:0.011226, sync_time:0.004030
iteration:38, F2F_time[s]:0.015425, H2H_time:0.011308, sync_time:0.004117
iteration:39, F2F_time[s]:0.015352, H2H_time:0.011261, sync_time:0.004091
