XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4b
alveo2b
alveo3b
alveo4c
alveo1b
alveo2a
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:1000
Start Reduce test:
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.052148
iteration:1, time[s]:0.050871
iteration:2, time[s]:0.043933
iteration:3, time[s]:0.044594
iteration:4, time[s]:0.044100
iteration:5, time[s]:0.044362
iteration:6, time[s]:0.041239
iteration:7, time[s]:0.043913
iteration:8, time[s]:0.042277
iteration:9, time[s]:0.042378
iteration:10, time[s]:0.041886
iteration:11, time[s]:0.042038
iteration:12, time[s]:0.043564
iteration:13, time[s]:0.045259
iteration:14, time[s]:0.046064
iteration:15, time[s]:0.045027
iteration:16, time[s]:0.046423
iteration:17, time[s]:0.045698
iteration:18, time[s]:0.045872
iteration:19, time[s]:0.046520
iteration:20, time[s]:0.046838
iteration:21, time[s]:0.045780
iteration:22, time[s]:0.045902
iteration:23, time[s]:0.046838
iteration:24, time[s]:0.046318
iteration:25, time[s]:0.045948
iteration:26, time[s]:0.049156
iteration:27, time[s]:0.047693
iteration:28, time[s]:0.045931
iteration:29, time[s]:0.045997
iteration:30, time[s]:0.047531
iteration:31, time[s]:0.045730
iteration:32, time[s]:0.048214
iteration:33, time[s]:0.046800
iteration:34, time[s]:0.047527
iteration:35, time[s]:0.044605
iteration:36, time[s]:0.045372
iteration:37, time[s]:0.045935
iteration:38, time[s]:0.046084
iteration:39, time[s]:0.043634
iteration:40, time[s]:0.042144
iteration:41, time[s]:0.044133
iteration:42, time[s]:0.043141
iteration:43, time[s]:0.043617
iteration:44, time[s]:0.044725
iteration:45, time[s]:0.043461
iteration:46, time[s]:0.042925
iteration:47, time[s]:0.044837
iteration:48, time[s]:0.044931
iteration:49, time[s]:0.045818
iteration:50, time[s]:0.044835
iteration:51, time[s]:0.046460
iteration:52, time[s]:0.045420
iteration:53, time[s]:0.045606
iteration:54, time[s]:0.046000
iteration:55, time[s]:0.046583
iteration:56, time[s]:0.046029
iteration:57, time[s]:0.045887
iteration:58, time[s]:0.047025
iteration:59, time[s]:0.044877
iteration:60, time[s]:0.046608
iteration:61, time[s]:0.048695
iteration:62, time[s]:0.047839
iteration:63, time[s]:0.048144
iteration:64, time[s]:0.043886
iteration:65, time[s]:0.046867
iteration:66, time[s]:0.047068
iteration:67, time[s]:0.045743
iteration:68, time[s]:0.045456
iteration:69, time[s]:0.045731
iteration:70, time[s]:0.044224
iteration:71, time[s]:0.044459
iteration:72, time[s]:0.045181
iteration:73, time[s]:0.044930
iteration:74, time[s]:0.045398
iteration:75, time[s]:0.045729
iteration:76, time[s]:0.044497
iteration:77, time[s]:0.047095
iteration:78, time[s]:0.046843
iteration:79, time[s]:0.048513
iteration:80, time[s]:0.045647
iteration:81, time[s]:0.046587
iteration:82, time[s]:0.047198
iteration:83, time[s]:0.046587
iteration:84, time[s]:0.045672
iteration:85, time[s]:0.044718
iteration:86, time[s]:0.045265
iteration:87, time[s]:0.046003
iteration:88, time[s]:0.044259
iteration:89, time[s]:0.046090
iteration:90, time[s]:0.044782
iteration:91, time[s]:0.044964
iteration:92, time[s]:0.045730
iteration:93, time[s]:0.048305
iteration:94, time[s]:0.048047
iteration:95, time[s]:0.047270
iteration:96, time[s]:0.045493
iteration:97, time[s]:0.046267
iteration:98, time[s]:0.047288
iteration:99, time[s]:0.046569
iteration:100, time[s]:0.047574
iteration:101, time[s]:0.046261
iteration:102, time[s]:0.046091
iteration:103, time[s]:0.047367
iteration:104, time[s]:0.047254
iteration:105, time[s]:0.046813
iteration:106, time[s]:0.049325
iteration:107, time[s]:0.047664
iteration:108, time[s]:0.047710
iteration:109, time[s]:0.045867
iteration:110, time[s]:0.047738
iteration:111, time[s]:0.048181
iteration:112, time[s]:0.048400
iteration:113, time[s]:0.046630
iteration:114, time[s]:0.048724
iteration:115, time[s]:0.048849
iteration:116, time[s]:0.046435
iteration:117, time[s]:0.044787
iteration:118, time[s]:0.047418
iteration:119, time[s]:0.045486
iteration:120, time[s]:0.046957
iteration:121, time[s]:0.044512
iteration:122, time[s]:0.046511
iteration:123, time[s]:0.046260
iteration:124, time[s]:0.046015
iteration:125, time[s]:0.046226
iteration:126, time[s]:0.047788
iteration:127, time[s]:0.045577
iteration:128, time[s]:0.046796
iteration:129, time[s]:0.046489
iteration:130, time[s]:0.045884
iteration:131, time[s]:0.045800
iteration:132, time[s]:0.043003
iteration:133, time[s]:0.046895
iteration:134, time[s]:0.045262
iteration:135, time[s]:0.045766
iteration:136, time[s]:0.044742
iteration:137, time[s]:0.044973
iteration:138, time[s]:0.047526
iteration:139, time[s]:0.046443
iteration:140, time[s]:0.044926
iteration:141, time[s]:0.044780
iteration:142, time[s]:0.044978
iteration:143, time[s]:0.045523
iteration:144, time[s]:0.044898
iteration:145, time[s]:0.044828
iteration:146, time[s]:0.045852
iteration:147, time[s]:0.045540
iteration:148, time[s]:0.045440
iteration:149, time[s]:0.044896
iteration:150, time[s]:0.045266
iteration:151, time[s]:0.045954
iteration:152, time[s]:0.045305
iteration:153, time[s]:0.045950
iteration:154, time[s]:0.043161
iteration:155, time[s]:0.043834
iteration:156, time[s]:0.043137
iteration:157, time[s]:0.042854
iteration:158, time[s]:0.043285
iteration:159, time[s]:0.043131
iteration:160, time[s]:0.042929
iteration:161, time[s]:0.043418
iteration:162, time[s]:0.045085
iteration:163, time[s]:0.044805
iteration:164, time[s]:0.045224
iteration:165, time[s]:0.045121
iteration:166, time[s]:0.043620
iteration:167, time[s]:0.045635
iteration:168, time[s]:0.045338
iteration:169, time[s]:0.044792
iteration:170, time[s]:0.043947
iteration:171, time[s]:0.046644
iteration:172, time[s]:0.047717
iteration:173, time[s]:0.046856
iteration:174, time[s]:0.044214
iteration:175, time[s]:0.045615
iteration:176, time[s]:0.046304
iteration:177, time[s]:0.045191
iteration:178, time[s]:0.044634
iteration:179, time[s]:0.044764
iteration:180, time[s]:0.045351
iteration:181, time[s]:0.046502
iteration:182, time[s]:0.047980
iteration:183, time[s]:0.045661
iteration:184, time[s]:0.044095
iteration:185, time[s]:0.044381
iteration:186, time[s]:0.044619
iteration:187, time[s]:0.043337
iteration:188, time[s]:0.044997
iteration:189, time[s]:0.045552
iteration:190, time[s]:0.045434
iteration:191, time[s]:0.045365
iteration:192, time[s]:0.046860
iteration:193, time[s]:0.046977
iteration:194, time[s]:0.047274
iteration:195, time[s]:0.047684
iteration:196, time[s]:0.047483
iteration:197, time[s]:0.048106
iteration:198, time[s]:0.049256
iteration:199, time[s]:0.047965
iteration:200, time[s]:0.047006
iteration:201, time[s]:0.046453
iteration:202, time[s]:0.046365
iteration:203, time[s]:0.047361
iteration:204, time[s]:0.045702
iteration:205, time[s]:0.046024
iteration:206, time[s]:0.047690
iteration:207, time[s]:0.046335
iteration:208, time[s]:0.047949
iteration:209, time[s]:0.046145
iteration:210, time[s]:0.049514
iteration:211, time[s]:0.048845
iteration:212, time[s]:0.049650
