XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2b
alveo3b
alveo4b
alveo1a
alveo2a
alveo1b
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:33554432, num_elements:8388608, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:33554432, num_elements:8388608, num_trials:100
Start Reduce test:
iteration:0, time[s]:0.083392
iteration:1, time[s]:0.081017
iteration:2, time[s]:0.078527
iteration:3, time[s]:0.079585
iteration:4, time[s]:0.083180
iteration:5, time[s]:0.081358
iteration:6, time[s]:0.081279
iteration:7, time[s]:0.083918
iteration:8, time[s]:0.079361
iteration:9, time[s]:0.080629
iteration:10, time[s]:0.094304
iteration:11, time[s]:0.081113
iteration:12, time[s]:0.083633
iteration:13, time[s]:0.082869
iteration:14, time[s]:0.081718
iteration:15, time[s]:0.080597
iteration:16, time[s]:0.084204
iteration:17, time[s]:0.086284
iteration:18, time[s]:0.085531
iteration:19, time[s]:0.085036
iteration:20, time[s]:0.086783
iteration:21, time[s]:0.084870
iteration:22, time[s]:0.084936
iteration:23, time[s]:0.084305
iteration:24, time[s]:0.082289
iteration:25, time[s]:0.084549
iteration:26, time[s]:0.080643
iteration:27, time[s]:0.080726
iteration:28, time[s]:0.081466
iteration:29, time[s]:0.081211
iteration:30, time[s]:0.082158
iteration:31, time[s]:0.082451
iteration:32, time[s]:0.081379
iteration:33, time[s]:0.081233
iteration:34, time[s]:0.081258
iteration:35, time[s]:0.082378
iteration:36, time[s]:0.081665
iteration:37, time[s]:0.081414
iteration:38, time[s]:0.082208
iteration:39, time[s]:0.081462
iteration:40, time[s]:0.081275
iteration:41, time[s]:0.080699
iteration:42, time[s]:0.082053
iteration:43, time[s]:0.081894
iteration:44, time[s]:0.083765
iteration:45, time[s]:0.080380
iteration:46, time[s]:0.081022
iteration:47, time[s]:0.080384
iteration:48, time[s]:0.077695
iteration:49, time[s]:0.079963
iteration:50, time[s]:0.080929
iteration:51, time[s]:0.080513
iteration:52, time[s]:0.082296
iteration:53, time[s]:0.080480
iteration:54, time[s]:0.080644
iteration:55, time[s]:0.079966
iteration:56, time[s]:0.080136
iteration:57, time[s]:0.084053
iteration:58, time[s]:0.080716
iteration:59, time[s]:0.081922
iteration:60, time[s]:0.083309
iteration:61, time[s]:0.082238
iteration:62, time[s]:0.081639
iteration:63, time[s]:0.083043
iteration:64, time[s]:0.083332
iteration:65, time[s]:0.081342
iteration:66, time[s]:0.081624
iteration:67, time[s]:0.081437
iteration:68, time[s]:0.082167
iteration:69, time[s]:0.082138
iteration:70, time[s]:0.082009
iteration:71, time[s]:0.082214
iteration:72, time[s]:0.083531
iteration:73, time[s]:0.081382
iteration:74, time[s]:0.084749
iteration:75, time[s]:0.081596
iteration:76, time[s]:0.082125
iteration:77, time[s]:0.079892
iteration:78, time[s]:0.079473
iteration:79, time[s]:0.081185
iteration:80, time[s]:0.081500
iteration:81, time[s]:0.079656
iteration:82, time[s]:0.078568
iteration:83, time[s]:0.078934
iteration:84, time[s]:0.078998
iteration:85, time[s]:0.080483
iteration:86, time[s]:0.079660
iteration:87, time[s]:0.079837
iteration:88, time[s]:0.080538
iteration:89, time[s]:0.080980
iteration:90, time[s]:0.078681
iteration:91, time[s]:0.079738
iteration:92, time[s]:0.081169
iteration:93, time[s]:0.081621
iteration:94, time[s]:0.083507
iteration:95, time[s]:0.081897
iteration:96, time[s]:0.082501
iteration:97, time[s]:0.081201
iteration:98, time[s]:0.079111
iteration:99, time[s]:0.079245
iteration:100, time[s]:0.077071
Data size = 33554432, Trials = 100
Avg MPI time [us]= *81696.343880, throughput [Gbps] = 3.285771
