XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo4b
alveo3b
alveo3c
alveo1b
alveo2a
alveo2b
alveo1a
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:524288, num_elements:131072, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:524288, num_elements:131072, num_trials:100
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:524288, num_elements:131072, num_trials:100
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:524288, num_elements:131072, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:100
Start Reduce test:
iteration:0, time[s]:0.003216
iteration:1, time[s]:0.001808
iteration:2, time[s]:0.001856
iteration:3, time[s]:0.001795
iteration:4, time[s]:0.001716
iteration:5, time[s]:0.001938
iteration:6, time[s]:0.001887
iteration:7, time[s]:0.001701
iteration:8, time[s]:0.001701
iteration:9, time[s]:0.001631
iteration:10, time[s]:0.001831
iteration:11, time[s]:0.001595
iteration:12, time[s]:0.001685
iteration:13, time[s]:0.001630
iteration:14, time[s]:0.001546
iteration:15, time[s]:0.001502
iteration:16, time[s]:0.001583
iteration:17, time[s]:0.001503
iteration:18, time[s]:0.001633
iteration:19, time[s]:0.001525
iteration:20, time[s]:0.001646
iteration:21, time[s]:0.001596
iteration:22, time[s]:0.001578
iteration:23, time[s]:0.001309
iteration:24, time[s]:0.001635
iteration:25, time[s]:0.001388
iteration:26, time[s]:0.001407
iteration:27, time[s]:0.001502
iteration:28, time[s]:0.001634
iteration:29, time[s]:0.001499
iteration:30, time[s]:0.001550
iteration:31, time[s]:0.001518
iteration:32, time[s]:0.001539
iteration:33, time[s]:0.001521
iteration:34, time[s]:0.001454
iteration:35, time[s]:0.001474
iteration:36, time[s]:0.001537
iteration:37, time[s]:0.001583
iteration:38, time[s]:0.001629
iteration:39, time[s]:0.001546
iteration:40, time[s]:0.001532
iteration:41, time[s]:0.001463
iteration:42, time[s]:0.001550
iteration:43, time[s]:0.001443
iteration:44, time[s]:0.001418
iteration:45, time[s]:0.001500
iteration:46, time[s]:0.001462
iteration:47, time[s]:0.001574
iteration:48, time[s]:0.001416
iteration:49, time[s]:0.001606
iteration:50, time[s]:0.001434
iteration:51, time[s]:0.001434
iteration:52, time[s]:0.001386
iteration:53, time[s]:0.001325
iteration:54, time[s]:0.001555
iteration:55, time[s]:0.001407
iteration:56, time[s]:0.001398
iteration:57, time[s]:0.001429
iteration:58, time[s]:0.001446
iteration:59, time[s]:0.001351
iteration:60, time[s]:0.001448
iteration:61, time[s]:0.001408
iteration:62, time[s]:0.001511
iteration:63, time[s]:0.001382
iteration:64, time[s]:0.001551
iteration:65, time[s]:0.001520
iteration:66, time[s]:0.001585
iteration:67, time[s]:0.001487
iteration:68, time[s]:0.001508
iteration:69, time[s]:0.001518
iteration:70, time[s]:0.001543
iteration:71, time[s]:0.001436
iteration:72, time[s]:0.001486
iteration:73, time[s]:0.001390
iteration:74, time[s]:0.001470
iteration:75, time[s]:0.001556
iteration:76, time[s]:0.001549
iteration:77, time[s]:0.001574
iteration:78, time[s]:0.001520
iteration:79, time[s]:0.001625
iteration:80, time[s]:0.001470
iteration:81, time[s]:0.001392
iteration:82, time[s]:0.001446
iteration:83, time[s]:0.001331
iteration:84, time[s]:0.001566
iteration:85, time[s]:0.001405
iteration:86, time[s]:0.001360
iteration:87, time[s]:0.001405
iteration:88, time[s]:0.001428
iteration:89, time[s]:0.001441
iteration:90, time[s]:0.001311
iteration:91, time[s]:0.001489
iteration:92, time[s]:0.001547
iteration:93, time[s]:0.001433
iteration:94, time[s]:0.001463
iteration:95, time[s]:0.001255
iteration:96, time[s]:0.001475
iteration:97, time[s]:0.001521
iteration:98, time[s]:0.001555
iteration:99, time[s]:0.001488
iteration:100, time[s]:0.001334
Data size = 524288, Trials = 100
Avg MPI time [us]= *1519.195840, throughput [Gbps] = 2.760871
