XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo4b
alveo3c
alveo4c
alveo1b
alveo2b
alveo2a
alveo1a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:1000
Start Reduce test:
iteration:0, time[s]:0.028174
iteration:1, time[s]:0.018928
iteration:2, time[s]:0.018459
iteration:3, time[s]:0.018730
iteration:4, time[s]:0.018287
iteration:5, time[s]:0.018006
iteration:6, time[s]:0.017527
iteration:7, time[s]:0.017279
iteration:8, time[s]:0.018142
iteration:9, time[s]:0.018574
iteration:10, time[s]:0.018055
iteration:11, time[s]:0.017282
iteration:12, time[s]:0.017592
iteration:13, time[s]:0.018534
iteration:14, time[s]:0.018379
iteration:15, time[s]:0.018189
iteration:16, time[s]:0.017940
iteration:17, time[s]:0.017362
iteration:18, time[s]:0.017887
iteration:19, time[s]:0.017980
iteration:20, time[s]:0.018549
iteration:21, time[s]:0.018730
iteration:22, time[s]:0.017569
iteration:23, time[s]:0.017789
iteration:24, time[s]:0.017368
iteration:25, time[s]:0.018425
iteration:26, time[s]:0.017935
iteration:27, time[s]:0.017583
iteration:28, time[s]:0.016763
iteration:29, time[s]:0.017520
iteration:30, time[s]:0.018488
iteration:31, time[s]:0.019286
iteration:32, time[s]:0.018308
iteration:33, time[s]:0.017126
iteration:34, time[s]:0.017795
iteration:35, time[s]:0.016543
iteration:36, time[s]:0.019175
iteration:37, time[s]:0.018457
iteration:38, time[s]:0.017689
iteration:39, time[s]:0.017644
iteration:40, time[s]:0.017278
iteration:41, time[s]:0.017746
iteration:42, time[s]:0.030740
iteration:43, time[s]:0.017840
iteration:44, time[s]:0.018001
iteration:45, time[s]:0.018086
iteration:46, time[s]:0.018242
iteration:47, time[s]:0.017688
iteration:48, time[s]:0.017565
iteration:49, time[s]:0.017414
iteration:50, time[s]:0.017325
iteration:51, time[s]:0.018211
iteration:52, time[s]:0.017601
iteration:53, time[s]:0.017754
iteration:54, time[s]:0.017447
iteration:55, time[s]:0.017399
iteration:56, time[s]:0.017307
iteration:57, time[s]:0.017778
iteration:58, time[s]:0.017534
iteration:59, time[s]:0.017423
iteration:60, time[s]:0.018466
iteration:61, time[s]:0.017915
iteration:62, time[s]:0.017083
iteration:63, time[s]:0.017313
iteration:64, time[s]:0.017660
iteration:65, time[s]:0.017535
iteration:66, time[s]:0.026854
iteration:67, time[s]:0.017402
iteration:68, time[s]:0.017859
iteration:69, time[s]:0.018203
iteration:70, time[s]:0.019717
iteration:71, time[s]:0.018615
iteration:72, time[s]:0.018461
iteration:73, time[s]:0.018643
iteration:74, time[s]:0.017867
iteration:75, time[s]:0.019406
iteration:76, time[s]:0.019552
iteration:77, time[s]:0.018926
iteration:78, time[s]:0.017957
iteration:79, time[s]:0.017608
iteration:80, time[s]:0.018097
iteration:81, time[s]:0.018279
iteration:82, time[s]:0.018236
iteration:83, time[s]:0.019281
iteration:84, time[s]:0.018100
iteration:85, time[s]:0.017629
iteration:86, time[s]:0.017272
iteration:87, time[s]:0.017841
iteration:88, time[s]:0.018351
iteration:89, time[s]:0.018415
iteration:90, time[s]:0.017746
iteration:91, time[s]:0.018060
iteration:92, time[s]:0.017763
iteration:93, time[s]:0.017916
iteration:94, time[s]:0.018489
iteration:95, time[s]:0.019186
iteration:96, time[s]:0.018380
iteration:97, time[s]:0.018210
iteration:98, time[s]:0.017666
iteration:99, time[s]:0.017733
iteration:100, time[s]:0.017739
iteration:101, time[s]:0.018437
iteration:102, time[s]:0.017726
iteration:103, time[s]:0.017890
iteration:104, time[s]:0.017618
iteration:105, time[s]:0.017796
iteration:106, time[s]:0.018750
iteration:107, time[s]:0.020039
iteration:108, time[s]:0.018517
iteration:109, time[s]:0.018092
iteration:110, time[s]:0.017970
iteration:111, time[s]:0.017480
iteration:112, time[s]:0.017881
iteration:113, time[s]:0.017629
iteration:114, time[s]:0.018607
iteration:115, time[s]:0.018262
iteration:116, time[s]:0.018008
iteration:117, time[s]:0.017630
iteration:118, time[s]:0.017449
iteration:119, time[s]:0.017742
iteration:120, time[s]:0.017521
iteration:121, time[s]:0.017237
iteration:122, time[s]:0.017469
iteration:123, time[s]:0.018239
iteration:124, time[s]:0.019374
iteration:125, time[s]:0.018097
iteration:126, time[s]:0.017721
iteration:127, time[s]:0.017783
iteration:128, time[s]:0.017643
iteration:129, time[s]:0.017297
iteration:130, time[s]:0.017586
iteration:131, time[s]:0.017821
iteration:132, time[s]:0.017070
iteration:133, time[s]:0.018095
iteration:134, time[s]:0.020002
iteration:135, time[s]:0.019048
iteration:136, time[s]:0.018710
iteration:137, time[s]:0.018631
iteration:138, time[s]:0.018439
iteration:139, time[s]:0.019014
iteration:140, time[s]:0.018955
iteration:141, time[s]:0.018647
iteration:142, time[s]:0.019105
iteration:143, time[s]:0.019196
iteration:144, time[s]:0.018867
iteration:145, time[s]:0.018655
iteration:146, time[s]:0.019145
iteration:147, time[s]:0.018716
iteration:148, time[s]:0.019852
iteration:149, time[s]:0.019324
iteration:150, time[s]:0.019691
iteration:151, time[s]:0.019495
iteration:152, time[s]:0.018700
iteration:153, time[s]:0.019075
iteration:154, time[s]:0.019410
iteration:155, time[s]:0.018895
iteration:156, time[s]:0.019043
iteration:157, time[s]:0.018685
iteration:158, time[s]:0.018457
iteration:159, time[s]:0.018872
iteration:160, time[s]:0.018479
iteration:161, time[s]:0.018270
iteration:162, time[s]:0.019711
iteration:163, time[s]:0.025437
iteration:164, time[s]:0.018515
iteration:165, time[s]:0.017831
iteration:166, time[s]:0.017923
iteration:167, time[s]:0.017975
iteration:168, time[s]:0.018171
iteration:169, time[s]:0.017610
iteration:170, time[s]:0.017737
iteration:171, time[s]:0.017860
iteration:172, time[s]:0.017468
iteration:173, time[s]:0.018157
iteration:174, time[s]:0.017848
iteration:175, time[s]:0.018152
iteration:176, time[s]:0.017675
iteration:177, time[s]:0.018209
iteration:178, time[s]:0.019425
iteration:179, time[s]:0.019057
iteration:180, time[s]:0.017797
iteration:181, time[s]:0.018526
iteration:182, time[s]:0.018120
iteration:183, time[s]:0.018442
iteration:184, time[s]:0.018593
iteration:185, time[s]:0.018554
iteration:186, time[s]:0.018544
iteration:187, time[s]:0.019670
iteration:188, time[s]:0.017882
iteration:189, time[s]:0.018471
iteration:190, time[s]:0.017992
iteration:191, time[s]:0.017973
iteration:192, time[s]:0.018490
iteration:193, time[s]:0.018721
iteration:194, time[s]:0.019401
iteration:195, time[s]:0.018807
iteration:196, time[s]:0.018109
iteration:197, time[s]:0.017786
iteration:198, time[s]:0.018021
iteration:199, time[s]:0.018292
iteration:200, time[s]:0.019623
iteration:201, time[s]:0.019167
iteration:202, time[s]:0.018763
iteration:203, time[s]:0.019131
iteration:204, time[s]:0.018441
iteration:205, time[s]:0.018596
iteration:206, time[s]:0.018075
iteration:207, time[s]:0.017628
iteration:208, time[s]:0.017524
iteration:209, time[s]:0.018312
iteration:210, time[s]:0.018574
iteration:211, time[s]:0.018226
iteration:212, time[s]:0.018181
iteration:213, time[s]:0.018251
iteration:214, time[s]:0.018959
iteration:215, time[s]:0.019182
iteration:216, time[s]:0.018553
iteration:217, time[s]:0.018859
iteration:218, time[s]:0.018841
iteration:219, time[s]:0.018677
iteration:220, time[s]:0.017998
iteration:221, time[s]:0.018919
iteration:222, time[s]:0.018377
iteration:223, time[s]:0.018192
iteration:224, time[s]:0.017552
iteration:225, time[s]:0.017825
iteration:226, time[s]:0.018478
iteration:227, time[s]:0.017822
iteration:228, time[s]:0.017963
iteration:229, time[s]:0.017954
iteration:230, time[s]:0.017809
iteration:231, time[s]:0.019446
iteration:232, time[s]:0.018949
iteration:233, time[s]:0.017472
iteration:234, time[s]:0.018057
iteration:235, time[s]:0.017097
iteration:236, time[s]:0.017653
iteration:237, time[s]:0.018217
iteration:238, time[s]:0.018416
iteration:239, time[s]:0.017864
iteration:240, time[s]:0.017651
iteration:241, time[s]:0.017686
iteration:242, time[s]:0.017862
iteration:243, time[s]:0.018476
iteration:244, time[s]:0.018151
iteration:245, time[s]:0.018084
iteration:246, time[s]:0.017526
iteration:247, time[s]:0.017829
iteration:248, time[s]:0.018569
iteration:249, time[s]:0.018349
iteration:250, time[s]:0.026365
iteration:251, time[s]:0.017710
iteration:252, time[s]:0.017602
iteration:253, time[s]:0.018330
iteration:254, time[s]:0.017943
iteration:255, time[s]:0.017279
iteration:256, time[s]:0.017567
iteration:257, time[s]:0.017544
iteration:258, time[s]:0.018130
iteration:259, time[s]:0.017847
iteration:260, time[s]:0.018046
iteration:261, time[s]:0.017892
iteration:262, time[s]:0.017823
iteration:263, time[s]:0.018185
iteration:264, time[s]:0.019426
iteration:265, time[s]:0.019011
iteration:266, time[s]:0.017940
iteration:267, time[s]:0.017785
iteration:268, time[s]:0.017541
iteration:269, time[s]:0.018858
iteration:270, time[s]:0.017597
iteration:271, time[s]:0.018789
iteration:272, time[s]:0.017759
iteration:273, time[s]:0.018287
iteration:274, time[s]:0.017327
iteration:275, time[s]:0.017739
iteration:276, time[s]:0.017407
iteration:277, time[s]:0.018235
iteration:278, time[s]:0.017856
iteration:279, time[s]:0.018541
iteration:280, time[s]:0.017533
iteration:281, time[s]:0.017929
iteration:282, time[s]:0.018714
iteration:283, time[s]:0.017869
iteration:284, time[s]:0.017942
iteration:285, time[s]:0.017663
iteration:286, time[s]:0.017550
iteration:287, time[s]:0.018060
iteration:288, time[s]:0.019094
iteration:289, time[s]:0.018090
iteration:290, time[s]:0.017527
iteration:291, time[s]:0.017969
iteration:292, time[s]:0.017957
iteration:293, time[s]:0.018086
iteration:294, time[s]:0.018284
iteration:295, time[s]:0.018394
iteration:296, time[s]:0.017621
iteration:297, time[s]:0.017729
iteration:298, time[s]:0.018026
iteration:299, time[s]:0.018741
iteration:300, time[s]:0.019125
iteration:301, time[s]:0.018683
iteration:302, time[s]:0.018912
iteration:303, time[s]:0.018682
iteration:304, time[s]:0.018706
iteration:305, time[s]:0.018524
iteration:306, time[s]:0.018494
iteration:307, time[s]:0.018057
iteration:308, time[s]:0.018314
iteration:309, time[s]:0.018131
iteration:310, time[s]:0.018220
iteration:311, time[s]:0.018047
iteration:312, time[s]:0.017945
iteration:313, time[s]:0.018441
iteration:314, time[s]:0.019003
iteration:315, time[s]:0.018343
iteration:316, time[s]:0.018103
iteration:317, time[s]:0.018204
iteration:318, time[s]:0.018016
iteration:319, time[s]:0.017809
iteration:320, time[s]:0.018823
iteration:321, time[s]:0.018458
iteration:322, time[s]:0.019429
iteration:323, time[s]:0.019491
iteration:324, time[s]:0.018872
iteration:325, time[s]:0.017669
iteration:326, time[s]:0.018174
iteration:327, time[s]:0.017949
iteration:328, time[s]:0.018152
iteration:329, time[s]:0.018180
iteration:330, time[s]:0.018876
iteration:331, time[s]:0.018277
iteration:332, time[s]:0.017758
iteration:333, time[s]:0.017774
iteration:334, time[s]:0.017921
iteration:335, time[s]:0.018346
iteration:336, time[s]:0.018189
iteration:337, time[s]:0.018131
iteration:338, time[s]:0.017782
iteration:339, time[s]:0.017903
iteration:340, time[s]:0.017897
iteration:341, time[s]:0.018024
iteration:342, time[s]:0.018219
iteration:343, time[s]:0.018871
iteration:344, time[s]:0.018877
iteration:345, time[s]:0.017930
iteration:346, time[s]:0.018837
iteration:347, time[s]:0.018406
iteration:348, time[s]:0.018311
iteration:349, time[s]:0.020068
iteration:350, time[s]:0.018682
iteration:351, time[s]:0.018217
iteration:352, time[s]:0.018093
iteration:353, time[s]:0.018254
iteration:354, time[s]:0.018523
iteration:355, time[s]:0.018559
iteration:356, time[s]:0.018565
iteration:357, time[s]:0.019433
iteration:358, time[s]:0.019270
iteration:359, time[s]:0.018319
iteration:360, time[s]:0.020075
iteration:361, time[s]:0.017987
