XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo2b
alveo1a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1048576, num_elements:262144, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1048576, num_elements:262144, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1048576, num_elements:262144, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1048576, num_elements:262144, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.003570, H2H_time:0.002664, sync_time:0.000906
iteration:1, F2F_time[s]:0.002971, H2H_time:0.002038, sync_time:0.000933
iteration:2, F2F_time[s]:0.002667, H2H_time:0.001723, sync_time:0.000944
iteration:3, F2F_time[s]:0.002336, H2H_time:0.001408, sync_time:0.000927
iteration:4, F2F_time[s]:0.002423, H2H_time:0.001549, sync_time:0.000874
iteration:5, F2F_time[s]:0.002268, H2H_time:0.001350, sync_time:0.000918
iteration:6, F2F_time[s]:0.002698, H2H_time:0.001748, sync_time:0.000950
iteration:7, F2F_time[s]:0.002368, H2H_time:0.001479, sync_time:0.000889
iteration:8, F2F_time[s]:0.002332, H2H_time:0.001424, sync_time:0.000909
iteration:9, F2F_time[s]:0.002217, H2H_time:0.001291, sync_time:0.000925
iteration:10, F2F_time[s]:0.002233, H2H_time:0.001336, sync_time:0.000897
iteration:11, F2F_time[s]:0.002444, H2H_time:0.001488, sync_time:0.000957
iteration:12, F2F_time[s]:0.002418, H2H_time:0.001500, sync_time:0.000917
iteration:13, F2F_time[s]:0.002531, H2H_time:0.001614, sync_time:0.000916
iteration:14, F2F_time[s]:0.002384, H2H_time:0.001498, sync_time:0.000886
iteration:15, F2F_time[s]:0.002425, H2H_time:0.001523, sync_time:0.000902
iteration:16, F2F_time[s]:0.002289, H2H_time:0.001413, sync_time:0.000876
iteration:17, F2F_time[s]:0.002277, H2H_time:0.001322, sync_time:0.000955
iteration:18, F2F_time[s]:0.002142, H2H_time:0.001272, sync_time:0.000870
iteration:19, F2F_time[s]:0.002245, H2H_time:0.001319, sync_time:0.000926
iteration:20, F2F_time[s]:0.002227, H2H_time:0.001308, sync_time:0.000919
iteration:21, F2F_time[s]:0.002344, H2H_time:0.001416, sync_time:0.000928
iteration:22, F2F_time[s]:0.002345, H2H_time:0.001381, sync_time:0.000964
iteration:23, F2F_time[s]:0.002427, H2H_time:0.001486, sync_time:0.000941
iteration:24, F2F_time[s]:0.002405, H2H_time:0.001481, sync_time:0.000924
iteration:25, F2F_time[s]:0.002503, H2H_time:0.001570, sync_time:0.000933
iteration:26, F2F_time[s]:0.002373, H2H_time:0.001497, sync_time:0.000875
iteration:27, F2F_time[s]:0.002418, H2H_time:0.001466, sync_time:0.000952
iteration:28, F2F_time[s]:0.002274, H2H_time:0.001435, sync_time:0.000840
iteration:29, F2F_time[s]:0.002255, H2H_time:0.001360, sync_time:0.000894
iteration:30, F2F_time[s]:0.002516, H2H_time:0.001574, sync_time:0.000942
iteration:31, F2F_time[s]:0.002555, H2H_time:0.001545, sync_time:0.001010
iteration:32, F2F_time[s]:0.002353, H2H_time:0.001462, sync_time:0.000891
iteration:33, F2F_time[s]:0.002312, H2H_time:0.001455, sync_time:0.000857
iteration:34, F2F_time[s]:0.002392, H2H_time:0.001539, sync_time:0.000853
iteration:35, F2F_time[s]:0.002386, H2H_time:0.001440, sync_time:0.000946
iteration:36, F2F_time[s]:0.002279, H2H_time:0.001357, sync_time:0.000922
iteration:37, F2F_time[s]:0.002233, H2H_time:0.001313, sync_time:0.000920
iteration:38, F2F_time[s]:0.002382, H2H_time:0.001461, sync_time:0.000922
iteration:39, F2F_time[s]:0.002393, H2H_time:0.001434, sync_time:0.000958
