XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:131072, num_elements:32768, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:131072, num_elements:32768, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:131072, num_elements:32768, num_trials:200
Start Reduce test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:131072, num_elements:32768, num_trials:200
iteration:0, F2F_time[s]:0.001727, H2H_time:0.001156, sync_time:0.000571
iteration:1, F2F_time[s]:0.001134, H2H_time:0.000669, sync_time:0.000465
iteration:2, F2F_time[s]:0.000884, H2H_time:0.000430, sync_time:0.000455
iteration:3, F2F_time[s]:0.000877, H2H_time:0.000441, sync_time:0.000435
iteration:4, F2F_time[s]:0.000903, H2H_time:0.000451, sync_time:0.000453
iteration:5, F2F_time[s]:0.000859, H2H_time:0.000437, sync_time:0.000422
iteration:6, F2F_time[s]:0.000790, H2H_time:0.000349, sync_time:0.000442
iteration:7, F2F_time[s]:0.000795, H2H_time:0.000375, sync_time:0.000419
iteration:8, F2F_time[s]:0.000723, H2H_time:0.000349, sync_time:0.000374
iteration:9, F2F_time[s]:0.000647, H2H_time:0.000342, sync_time:0.000305
iteration:10, F2F_time[s]:0.000644, H2H_time:0.000333, sync_time:0.000312
iteration:11, F2F_time[s]:0.000609, H2H_time:0.000347, sync_time:0.000263
iteration:12, F2F_time[s]:0.000609, H2H_time:0.000352, sync_time:0.000257
iteration:13, F2F_time[s]:0.000644, H2H_time:0.000347, sync_time:0.000297
iteration:14, F2F_time[s]:0.000605, H2H_time:0.000326, sync_time:0.000279
iteration:15, F2F_time[s]:0.000612, H2H_time:0.000339, sync_time:0.000273
iteration:16, F2F_time[s]:0.000554, H2H_time:0.000287, sync_time:0.000267
iteration:17, F2F_time[s]:0.000532, H2H_time:0.000268, sync_time:0.000264
iteration:18, F2F_time[s]:0.000524, H2H_time:0.000264, sync_time:0.000260
iteration:19, F2F_time[s]:0.000526, H2H_time:0.000265, sync_time:0.000261
iteration:20, F2F_time[s]:0.000524, H2H_time:0.000264, sync_time:0.000260
iteration:21, F2F_time[s]:0.000530, H2H_time:0.000262, sync_time:0.000268
iteration:22, F2F_time[s]:0.000525, H2H_time:0.000267, sync_time:0.000259
iteration:23, F2F_time[s]:0.000535, H2H_time:0.000263, sync_time:0.000272
iteration:24, F2F_time[s]:0.000467, H2H_time:0.000252, sync_time:0.000215
iteration:25, F2F_time[s]:0.000530, H2H_time:0.000260, sync_time:0.000271
iteration:26, F2F_time[s]:0.000525, H2H_time:0.000233, sync_time:0.000293
iteration:27, F2F_time[s]:0.000531, H2H_time:0.000252, sync_time:0.000279
iteration:28, F2F_time[s]:0.000498, H2H_time:0.000244, sync_time:0.000254
iteration:29, F2F_time[s]:0.000550, H2H_time:0.000332, sync_time:0.000218
iteration:30, F2F_time[s]:0.000499, H2H_time:0.000295, sync_time:0.000204
iteration:31, F2F_time[s]:0.000457, H2H_time:0.000240, sync_time:0.000217
iteration:32, F2F_time[s]:0.000657, H2H_time:0.000405, sync_time:0.000252
iteration:33, F2F_time[s]:0.000620, H2H_time:0.000318, sync_time:0.000302
iteration:34, F2F_time[s]:0.000584, H2H_time:0.000326, sync_time:0.000258
iteration:35, F2F_time[s]:0.000575, H2H_time:0.000330, sync_time:0.000245
iteration:36, F2F_time[s]:0.000619, H2H_time:0.000358, sync_time:0.000262
iteration:37, F2F_time[s]:0.000657, H2H_time:0.000366, sync_time:0.000291
iteration:38, F2F_time[s]:0.000634, H2H_time:0.000348, sync_time:0.000287
iteration:39, F2F_time[s]:0.000614, H2H_time:0.000316, sync_time:0.000298
