XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo2a
alveo3b
alveo4c
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1024, num_elements:256, num_trials:200
Start Reduce test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1024, num_elements:256, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1024, num_elements:256, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:1024, num_elements:256, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1024, num_elements:256, num_trials:200
iteration:0, F2F_time[s]:0.000941, H2H_time:0.000466, sync_time:0.000475
iteration:1, F2F_time[s]:0.000401, H2H_time:0.000090, sync_time:0.000311
iteration:2, F2F_time[s]:0.000271, H2H_time:0.000084, sync_time:0.000187
iteration:3, F2F_time[s]:0.000274, H2H_time:0.000090, sync_time:0.000185
iteration:4, F2F_time[s]:0.000245, H2H_time:0.000082, sync_time:0.000163
iteration:5, F2F_time[s]:0.000245, H2H_time:0.000084, sync_time:0.000161
iteration:6, F2F_time[s]:0.000232, H2H_time:0.000081, sync_time:0.000151
iteration:7, F2F_time[s]:0.000280, H2H_time:0.000117, sync_time:0.000163
iteration:8, F2F_time[s]:0.000262, H2H_time:0.000115, sync_time:0.000147
iteration:9, F2F_time[s]:0.000300, H2H_time:0.000116, sync_time:0.000184
iteration:10, F2F_time[s]:0.000316, H2H_time:0.000073, sync_time:0.000243
iteration:11, F2F_time[s]:0.000259, H2H_time:0.000072, sync_time:0.000187
iteration:12, F2F_time[s]:0.000304, H2H_time:0.000117, sync_time:0.000187
iteration:13, F2F_time[s]:0.000255, H2H_time:0.000071, sync_time:0.000184
iteration:14, F2F_time[s]:0.000317, H2H_time:0.000116, sync_time:0.000201
iteration:15, F2F_time[s]:0.000287, H2H_time:0.000075, sync_time:0.000212
iteration:16, F2F_time[s]:0.000312, H2H_time:0.000118, sync_time:0.000193
iteration:17, F2F_time[s]:0.000300, H2H_time:0.000070, sync_time:0.000229
iteration:18, F2F_time[s]:0.000314, H2H_time:0.000061, sync_time:0.000252
iteration:19, F2F_time[s]:0.000295, H2H_time:0.000061, sync_time:0.000234
iteration:20, F2F_time[s]:0.000294, H2H_time:0.000059, sync_time:0.000235
iteration:21, F2F_time[s]:0.000304, H2H_time:0.000068, sync_time:0.000236
iteration:22, F2F_time[s]:0.000301, H2H_time:0.000062, sync_time:0.000239
iteration:23, F2F_time[s]:0.000303, H2H_time:0.000067, sync_time:0.000236
iteration:24, F2F_time[s]:0.000292, H2H_time:0.000063, sync_time:0.000229
iteration:25, F2F_time[s]:0.000306, H2H_time:0.000071, sync_time:0.000235
iteration:26, F2F_time[s]:0.000301, H2H_time:0.000066, sync_time:0.000236
iteration:27, F2F_time[s]:0.000294, H2H_time:0.000063, sync_time:0.000231
iteration:28, F2F_time[s]:0.000296, H2H_time:0.000066, sync_time:0.000229
iteration:29, F2F_time[s]:0.000296, H2H_time:0.000065, sync_time:0.000230
iteration:30, F2F_time[s]:0.000293, H2H_time:0.000063, sync_time:0.000230
iteration:31, F2F_time[s]:0.000301, H2H_time:0.000069, sync_time:0.000232
iteration:32, F2F_time[s]:0.000292, H2H_time:0.000065, sync_time:0.000226
iteration:33, F2F_time[s]:0.000291, H2H_time:0.000063, sync_time:0.000228
iteration:34, F2F_time[s]:0.000292, H2H_time:0.000062, sync_time:0.000230
iteration:35, F2F_time[s]:0.000290, H2H_time:0.000062, sync_time:0.000227
iteration:36, F2F_time[s]:0.000290, H2H_time:0.000062, sync_time:0.000227
iteration:37, F2F_time[s]:0.000300, H2H_time:0.000065, sync_time:0.000235
iteration:38, F2F_time[s]:0.000303, H2H_time:0.000063, sync_time:0.000240
iteration:39, F2F_time[s]:0.000296, H2H_time:0.000063, sync_time:0.000233
iteration:40, F2F_time[s]:0.000293, H2H_time:0.000074, sync_time:0.000219
iteration:41, F2F_time[s]:0.000304, H2H_time:0.000078, sync_time:0.000226
iteration:42, F2F_time[s]:0.000295, H2H_time:0.000067, sync_time:0.000228
iteration:43, F2F_time[s]:0.000259, H2H_time:0.000071, sync_time:0.000187
iteration:44, F2F_time[s]:0.000291, H2H_time:0.000106, sync_time:0.000185
iteration:45, F2F_time[s]:0.000312, H2H_time:0.000076, sync_time:0.000236
