XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo3b
alveo1a
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start Reduce test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
iteration:0, F2F_time[s]:0.002658, H2H_time:0.001991, sync_time:0.000667
iteration:1, F2F_time[s]:0.001667, H2H_time:0.001136, sync_time:0.000532
iteration:2, F2F_time[s]:0.001468, H2H_time:0.000863, sync_time:0.000605
iteration:3, F2F_time[s]:0.001479, H2H_time:0.000900, sync_time:0.000579
iteration:4, F2F_time[s]:0.001293, H2H_time:0.000743, sync_time:0.000550
iteration:5, F2F_time[s]:0.001186, H2H_time:0.000720, sync_time:0.000466
iteration:6, F2F_time[s]:0.001186, H2H_time:0.000667, sync_time:0.000519
iteration:7, F2F_time[s]:0.001228, H2H_time:0.000692, sync_time:0.000535
iteration:8, F2F_time[s]:0.001154, H2H_time:0.000691, sync_time:0.000463
iteration:9, F2F_time[s]:0.001232, H2H_time:0.000693, sync_time:0.000538
iteration:10, F2F_time[s]:0.001205, H2H_time:0.000664, sync_time:0.000540
iteration:11, F2F_time[s]:0.001119, H2H_time:0.000674, sync_time:0.000445
iteration:12, F2F_time[s]:0.001114, H2H_time:0.000633, sync_time:0.000481
iteration:13, F2F_time[s]:0.001176, H2H_time:0.000633, sync_time:0.000543
iteration:14, F2F_time[s]:0.001091, H2H_time:0.000626, sync_time:0.000465
iteration:15, F2F_time[s]:0.001099, H2H_time:0.000626, sync_time:0.000473
iteration:16, F2F_time[s]:0.001111, H2H_time:0.000563, sync_time:0.000548
iteration:17, F2F_time[s]:0.001159, H2H_time:0.000679, sync_time:0.000480
iteration:18, F2F_time[s]:0.001213, H2H_time:0.000690, sync_time:0.000522
iteration:19, F2F_time[s]:0.001258, H2H_time:0.000749, sync_time:0.000510
iteration:20, F2F_time[s]:0.001243, H2H_time:0.000728, sync_time:0.000515
iteration:21, F2F_time[s]:0.001185, H2H_time:0.000666, sync_time:0.000520
iteration:22, F2F_time[s]:0.001185, H2H_time:0.000660, sync_time:0.000526
iteration:23, F2F_time[s]:0.001103, H2H_time:0.000647, sync_time:0.000456
iteration:24, F2F_time[s]:0.000970, H2H_time:0.000628, sync_time:0.000342
iteration:25, F2F_time[s]:0.001001, H2H_time:0.000667, sync_time:0.000334
iteration:26, F2F_time[s]:0.000998, H2H_time:0.000662, sync_time:0.000336
iteration:27, F2F_time[s]:0.000950, H2H_time:0.000525, sync_time:0.000425
iteration:28, F2F_time[s]:0.000891, H2H_time:0.000555, sync_time:0.000335
iteration:29, F2F_time[s]:0.000962, H2H_time:0.000620, sync_time:0.000342
iteration:30, F2F_time[s]:0.000825, H2H_time:0.000494, sync_time:0.000331
iteration:31, F2F_time[s]:0.000859, H2H_time:0.000528, sync_time:0.000332
iteration:32, F2F_time[s]:0.000933, H2H_time:0.000595, sync_time:0.000339
iteration:33, F2F_time[s]:0.000863, H2H_time:0.000530, sync_time:0.000333
iteration:34, F2F_time[s]:0.000896, H2H_time:0.000563, sync_time:0.000333
iteration:35, F2F_time[s]:0.000886, H2H_time:0.000564, sync_time:0.000322
iteration:36, F2F_time[s]:0.000906, H2H_time:0.000573, sync_time:0.000333
iteration:37, F2F_time[s]:0.000921, H2H_time:0.000596, sync_time:0.000325
iteration:38, F2F_time[s]:0.000879, H2H_time:0.000552, sync_time:0.000327
iteration:39, F2F_time[s]:0.000874, H2H_time:0.000549, sync_time:0.000324
iteration:40, F2F_time[s]:0.000938, H2H_time:0.000584, sync_time:0.000355
iteration:41, F2F_time[s]:0.000974, H2H_time:0.000638, sync_time:0.000337
iteration:42, F2F_time[s]:0.000932, H2H_time:0.000585, sync_time:0.000347
iteration:43, F2F_time[s]:0.000920, H2H_time:0.000592, sync_time:0.000328
iteration:44, F2F_time[s]:0.000911, H2H_time:0.000581, sync_time:0.000330
iteration:45, F2F_time[s]:0.000936, H2H_time:0.000600, sync_time:0.000336
