XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo2b
alveo1a
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.079684, H2H_time:0.066703, sync_time:0.012981
iteration:1, F2F_time[s]:0.076965, H2H_time:0.063985, sync_time:0.012979
iteration:2, F2F_time[s]:0.078452, H2H_time:0.065560, sync_time:0.012892
iteration:3, F2F_time[s]:0.077873, H2H_time:0.065003, sync_time:0.012870
iteration:4, F2F_time[s]:0.077338, H2H_time:0.064381, sync_time:0.012957
iteration:5, F2F_time[s]:0.077517, H2H_time:0.064565, sync_time:0.012952
iteration:6, F2F_time[s]:0.076714, H2H_time:0.063804, sync_time:0.012910
iteration:7, F2F_time[s]:0.076937, H2H_time:0.063961, sync_time:0.012976
iteration:8, F2F_time[s]:0.076246, H2H_time:0.063279, sync_time:0.012967
iteration:9, F2F_time[s]:0.076174, H2H_time:0.063213, sync_time:0.012961
iteration:10, F2F_time[s]:0.076815, H2H_time:0.063864, sync_time:0.012951
iteration:11, F2F_time[s]:0.077096, H2H_time:0.064135, sync_time:0.012961
iteration:12, F2F_time[s]:0.076033, H2H_time:0.063103, sync_time:0.012929
iteration:13, F2F_time[s]:0.075963, H2H_time:0.063007, sync_time:0.012956
iteration:14, F2F_time[s]:0.075854, H2H_time:0.062917, sync_time:0.012937
iteration:15, F2F_time[s]:0.076086, H2H_time:0.063141, sync_time:0.012946
iteration:16, F2F_time[s]:0.076635, H2H_time:0.063637, sync_time:0.012998
iteration:17, F2F_time[s]:0.068353, H2H_time:0.055294, sync_time:0.013059
iteration:18, F2F_time[s]:0.065224, H2H_time:0.052261, sync_time:0.012963
iteration:19, F2F_time[s]:0.066239, H2H_time:0.053272, sync_time:0.012967
iteration:20, F2F_time[s]:0.066741, H2H_time:0.053755, sync_time:0.012985
iteration:21, F2F_time[s]:0.065824, H2H_time:0.052880, sync_time:0.012944
iteration:22, F2F_time[s]:0.062859, H2H_time:0.049973, sync_time:0.012886
iteration:23, F2F_time[s]:0.063162, H2H_time:0.050204, sync_time:0.012958
iteration:24, F2F_time[s]:0.064896, H2H_time:0.051880, sync_time:0.013015
iteration:25, F2F_time[s]:0.064648, H2H_time:0.051725, sync_time:0.012923
iteration:26, F2F_time[s]:0.063798, H2H_time:0.050769, sync_time:0.013029
iteration:27, F2F_time[s]:0.063093, H2H_time:0.050097, sync_time:0.012996
iteration:28, F2F_time[s]:0.059979, H2H_time:0.047010, sync_time:0.012969
iteration:29, F2F_time[s]:0.062054, H2H_time:0.049128, sync_time:0.012926
iteration:30, F2F_time[s]:0.061284, H2H_time:0.048395, sync_time:0.012889
iteration:31, F2F_time[s]:0.061731, H2H_time:0.048734, sync_time:0.012998
iteration:32, F2F_time[s]:0.059896, H2H_time:0.046885, sync_time:0.013011
iteration:33, F2F_time[s]:0.061146, H2H_time:0.048250, sync_time:0.012896
iteration:34, F2F_time[s]:0.063688, H2H_time:0.050745, sync_time:0.012943
iteration:35, F2F_time[s]:0.062846, H2H_time:0.049850, sync_time:0.012996
iteration:36, F2F_time[s]:0.062250, H2H_time:0.049332, sync_time:0.012918
iteration:37, F2F_time[s]:0.062427, H2H_time:0.049435, sync_time:0.012991
iteration:38, F2F_time[s]:0.062286, H2H_time:0.049325, sync_time:0.012962
iteration:39, F2F_time[s]:0.064042, H2H_time:0.051065, sync_time:0.012977
