XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo4c
alveo1a
alveo3c
alveo4b
alveo2a
alveo2b
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:4096, num_elements:1024, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:4096, num_elements:1024, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:4096, num_elements:1024, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4096, num_elements:1024, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4096, num_elements:1024, num_trials:200
Start Reduce test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4096, num_elements:1024, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4096, num_elements:1024, num_trials:200
iteration:0, F2F_time[s]:0.002394, H2H_time:0.001834, sync_time:0.000560
iteration:1, F2F_time[s]:0.000588, H2H_time:0.000290, sync_time:0.000298
iteration:2, F2F_time[s]:0.000430, H2H_time:0.000209, sync_time:0.000221
iteration:3, F2F_time[s]:0.000427, H2H_time:0.000191, sync_time:0.000236
iteration:4, F2F_time[s]:0.000375, H2H_time:0.000187, sync_time:0.000188
iteration:5, F2F_time[s]:0.000403, H2H_time:0.000185, sync_time:0.000217
iteration:6, F2F_time[s]:0.000419, H2H_time:0.000202, sync_time:0.000218
iteration:7, F2F_time[s]:0.000419, H2H_time:0.000198, sync_time:0.000221
iteration:8, F2F_time[s]:0.000416, H2H_time:0.000194, sync_time:0.000222
iteration:9, F2F_time[s]:0.000408, H2H_time:0.000191, sync_time:0.000218
iteration:10, F2F_time[s]:0.000455, H2H_time:0.000207, sync_time:0.000248
iteration:11, F2F_time[s]:0.000478, H2H_time:0.000193, sync_time:0.000286
iteration:12, F2F_time[s]:0.000449, H2H_time:0.000190, sync_time:0.000259
iteration:13, F2F_time[s]:0.000432, H2H_time:0.000179, sync_time:0.000253
iteration:14, F2F_time[s]:0.000439, H2H_time:0.000197, sync_time:0.000243
iteration:15, F2F_time[s]:0.000430, H2H_time:0.000185, sync_time:0.000245
iteration:16, F2F_time[s]:0.000445, H2H_time:0.000199, sync_time:0.000246
iteration:17, F2F_time[s]:0.000417, H2H_time:0.000176, sync_time:0.000241
iteration:18, F2F_time[s]:0.000438, H2H_time:0.000194, sync_time:0.000244
iteration:19, F2F_time[s]:0.000418, H2H_time:0.000181, sync_time:0.000238
iteration:20, F2F_time[s]:0.000444, H2H_time:0.000192, sync_time:0.000252
iteration:21, F2F_time[s]:0.000418, H2H_time:0.000173, sync_time:0.000245
iteration:22, F2F_time[s]:0.000466, H2H_time:0.000204, sync_time:0.000262
iteration:23, F2F_time[s]:0.000456, H2H_time:0.000186, sync_time:0.000269
iteration:24, F2F_time[s]:0.000433, H2H_time:0.000183, sync_time:0.000250
iteration:25, F2F_time[s]:0.000415, H2H_time:0.000169, sync_time:0.000246
iteration:26, F2F_time[s]:0.000430, H2H_time:0.000185, sync_time:0.000246
iteration:27, F2F_time[s]:0.000417, H2H_time:0.000167, sync_time:0.000249
iteration:28, F2F_time[s]:0.000424, H2H_time:0.000170, sync_time:0.000254
iteration:29, F2F_time[s]:0.000415, H2H_time:0.000166, sync_time:0.000249
iteration:30, F2F_time[s]:0.000427, H2H_time:0.000179, sync_time:0.000248
iteration:31, F2F_time[s]:0.000437, H2H_time:0.000173, sync_time:0.000264
iteration:32, F2F_time[s]:0.000437, H2H_time:0.000189, sync_time:0.000249
iteration:33, F2F_time[s]:0.000421, H2H_time:0.000169, sync_time:0.000252
iteration:34, F2F_time[s]:0.000419, H2H_time:0.000176, sync_time:0.000244
iteration:35, F2F_time[s]:0.000411, H2H_time:0.000182, sync_time:0.000229
iteration:36, F2F_time[s]:0.000393, H2H_time:0.000178, sync_time:0.000215
iteration:37, F2F_time[s]:0.000394, H2H_time:0.000174, sync_time:0.000220
iteration:38, F2F_time[s]:0.000378, H2H_time:0.000173, sync_time:0.000205
iteration:39, F2F_time[s]:0.000373, H2H_time:0.000167, sync_time:0.000207
iteration:40, F2F_time[s]:0.000388, H2H_time:0.000180, sync_time:0.000208
iteration:41, F2F_time[s]:0.000375, H2H_time:0.000169, sync_time:0.000206
iteration:42, F2F_time[s]:0.000394, H2H_time:0.000185, sync_time:0.000210
iteration:43, F2F_time[s]:0.000379, H2H_time:0.000168, sync_time:0.000211
iteration:44, F2F_time[s]:0.000379, H2H_time:0.000172, sync_time:0.000207
iteration:45, F2F_time[s]:0.000369, H2H_time:0.000168, sync_time:0.000201
iteration:46, F2F_time[s]:0.000392, H2H_time:0.000173, sync_time:0.000218
iteration:47, F2F_time[s]:0.000375, H2H_time:0.000163, sync_time:0.000212
iteration:48, F2F_time[s]:0.000384, H2H_time:0.000171, sync_time:0.000213
iteration:49, F2F_time[s]:0.000365, H2H_time:0.000159, sync_time:0.000207
iteration:50, F2F_time[s]:0.000379, H2H_time:0.000170, sync_time:0.000209
iteration:51, F2F_time[s]:0.000374, H2H_time:0.000162, sync_time:0.000212
iteration:52, F2F_time[s]:0.000384, H2H_time:0.000171, sync_time:0.000212
iteration:53, F2F_time[s]:0.000387, H2H_time:0.000168, sync_time:0.000219
iteration:54, F2F_time[s]:0.000385, H2H_time:0.000177, sync_time:0.000209
iteration:55, F2F_time[s]:0.000374, H2H_time:0.000162, sync_time:0.000212
iteration:56, F2F_time[s]:0.000392, H2H_time:0.000171, sync_time:0.000221
