XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo3b
alveo3c
alveo2a
alveo1a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:524288, num_elements:131072, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:524288, num_elements:131072, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.003113, H2H_time:0.002558, sync_time:0.000555
iteration:1, F2F_time[s]:0.002164, H2H_time:0.001508, sync_time:0.000656
iteration:2, F2F_time[s]:0.001917, H2H_time:0.001286, sync_time:0.000631
iteration:3, F2F_time[s]:0.001826, H2H_time:0.001207, sync_time:0.000619
iteration:4, F2F_time[s]:0.002197, H2H_time:0.001249, sync_time:0.000948
iteration:5, F2F_time[s]:0.001917, H2H_time:0.001304, sync_time:0.000613
iteration:6, F2F_time[s]:0.001911, H2H_time:0.001248, sync_time:0.000663
iteration:7, F2F_time[s]:0.001669, H2H_time:0.001102, sync_time:0.000567
iteration:8, F2F_time[s]:0.001769, H2H_time:0.001143, sync_time:0.000625
iteration:9, F2F_time[s]:0.001684, H2H_time:0.001010, sync_time:0.000675
iteration:10, F2F_time[s]:0.001611, H2H_time:0.001003, sync_time:0.000609
iteration:11, F2F_time[s]:0.002173, H2H_time:0.001473, sync_time:0.000701
iteration:12, F2F_time[s]:0.001775, H2H_time:0.001122, sync_time:0.000653
iteration:13, F2F_time[s]:0.001818, H2H_time:0.001123, sync_time:0.000696
iteration:14, F2F_time[s]:0.002118, H2H_time:0.001435, sync_time:0.000683
iteration:15, F2F_time[s]:0.001886, H2H_time:0.001226, sync_time:0.000660
iteration:16, F2F_time[s]:0.001761, H2H_time:0.001048, sync_time:0.000713
iteration:17, F2F_time[s]:0.001924, H2H_time:0.001278, sync_time:0.000646
iteration:18, F2F_time[s]:0.001900, H2H_time:0.001192, sync_time:0.000708
iteration:19, F2F_time[s]:0.001806, H2H_time:0.001141, sync_time:0.000665
iteration:20, F2F_time[s]:0.001635, H2H_time:0.001053, sync_time:0.000582
iteration:21, F2F_time[s]:0.001685, H2H_time:0.001034, sync_time:0.000651
iteration:22, F2F_time[s]:0.001897, H2H_time:0.001237, sync_time:0.000660
iteration:23, F2F_time[s]:0.001713, H2H_time:0.001056, sync_time:0.000657
iteration:24, F2F_time[s]:0.001638, H2H_time:0.000971, sync_time:0.000668
iteration:25, F2F_time[s]:0.001657, H2H_time:0.001018, sync_time:0.000639
iteration:26, F2F_time[s]:0.001719, H2H_time:0.001063, sync_time:0.000656
iteration:27, F2F_time[s]:0.001553, H2H_time:0.000955, sync_time:0.000599
iteration:28, F2F_time[s]:0.001710, H2H_time:0.001024, sync_time:0.000686
iteration:29, F2F_time[s]:0.001565, H2H_time:0.000953, sync_time:0.000612
iteration:30, F2F_time[s]:0.001616, H2H_time:0.000991, sync_time:0.000625
iteration:31, F2F_time[s]:0.001625, H2H_time:0.000955, sync_time:0.000670
iteration:32, F2F_time[s]:0.001639, H2H_time:0.000954, sync_time:0.000685
iteration:33, F2F_time[s]:0.001684, H2H_time:0.001074, sync_time:0.000609
iteration:34, F2F_time[s]:0.001644, H2H_time:0.000995, sync_time:0.000650
iteration:35, F2F_time[s]:0.001607, H2H_time:0.001004, sync_time:0.000602
iteration:36, F2F_time[s]:0.001664, H2H_time:0.000980, sync_time:0.000684
iteration:37, F2F_time[s]:0.001546, H2H_time:0.000964, sync_time:0.000581
iteration:38, F2F_time[s]:0.001656, H2H_time:0.000999, sync_time:0.000657
iteration:39, F2F_time[s]:0.001580, H2H_time:0.000980, sync_time:0.000600
iteration:40, F2F_time[s]:0.001602, H2H_time:0.000970, sync_time:0.000632
iteration:41, F2F_time[s]:0.001624, H2H_time:0.000962, sync_time:0.000662
iteration:42, F2F_time[s]:0.001810, H2H_time:0.001152, sync_time:0.000658
iteration:43, F2F_time[s]:0.001644, H2H_time:0.001006, sync_time:0.000639
iteration:44, F2F_time[s]:0.001720, H2H_time:0.001010, sync_time:0.000710
iteration:45, F2F_time[s]:0.001656, H2H_time:0.000998, sync_time:0.000658
iteration:46, F2F_time[s]:0.001589, H2H_time:0.000966, sync_time:0.000623
iteration:47, F2F_time[s]:0.001692, H2H_time:0.001051, sync_time:0.000640
iteration:48, F2F_time[s]:0.001607, H2H_time:0.000959, sync_time:0.000648
iteration:49, F2F_time[s]:0.001615, H2H_time:0.000982, sync_time:0.000634
iteration:50, F2F_time[s]:0.001645, H2H_time:0.000943, sync_time:0.000701
iteration:51, F2F_time[s]:0.001610, H2H_time:0.000966, sync_time:0.000645
iteration:52, F2F_time[s]:0.001615, H2H_time:0.000937, sync_time:0.000678
iteration:53, F2F_time[s]:0.001630, H2H_time:0.000986, sync_time:0.000644
iteration:54, F2F_time[s]:0.001578, H2H_time:0.000931, sync_time:0.000647
iteration:55, F2F_time[s]:0.001617, H2H_time:0.000975, sync_time:0.000642
iteration:56, F2F_time[s]:0.001644, H2H_time:0.000984, sync_time:0.000659
iteration:57, F2F_time[s]:0.001597, H2H_time:0.000990, sync_time:0.000607
iteration:58, F2F_time[s]:0.001584, H2H_time:0.000950, sync_time:0.000634
iteration:59, F2F_time[s]:0.001660, H2H_time:0.001019, sync_time:0.000641
iteration:60, F2F_time[s]:0.001599, H2H_time:0.000966, sync_time:0.000633
iteration:61, F2F_time[s]:0.001523, H2H_time:0.000926, sync_time:0.000597
iteration:62, F2F_time[s]:0.001559, H2H_time:0.000930, sync_time:0.000629
iteration:63, F2F_time[s]:0.001724, H2H_time:0.001052, sync_time:0.000672
iteration:64, F2F_time[s]:0.001562, H2H_time:0.000932, sync_time:0.000630
iteration:65, F2F_time[s]:0.001601, H2H_time:0.000940, sync_time:0.000661
iteration:66, F2F_time[s]:0.001603, H2H_time:0.000978, sync_time:0.000625
iteration:67, F2F_time[s]:0.001926, H2H_time:0.001272, sync_time:0.000654
iteration:68, F2F_time[s]:0.001651, H2H_time:0.000999, sync_time:0.000652
iteration:69, F2F_time[s]:0.001523, H2H_time:0.000923, sync_time:0.000600
iteration:70, F2F_time[s]:0.001716, H2H_time:0.001048, sync_time:0.000668
iteration:71, F2F_time[s]:0.001677, H2H_time:0.001018, sync_time:0.000659
iteration:72, F2F_time[s]:0.001656, H2H_time:0.000985, sync_time:0.000672
iteration:73, F2F_time[s]:0.001618, H2H_time:0.000980, sync_time:0.000638
iteration:74, F2F_time[s]:0.001670, H2H_time:0.000998, sync_time:0.000673
iteration:75, F2F_time[s]:0.001634, H2H_time:0.000992, sync_time:0.000642
iteration:76, F2F_time[s]:0.001613, H2H_time:0.000960, sync_time:0.000653
iteration:77, F2F_time[s]:0.001594, H2H_time:0.000964, sync_time:0.000629
iteration:78, F2F_time[s]:0.001594, H2H_time:0.000955, sync_time:0.000639
iteration:79, F2F_time[s]:0.001633, H2H_time:0.000974, sync_time:0.000660
iteration:80, F2F_time[s]:0.001563, H2H_time:0.000931, sync_time:0.000632
iteration:81, F2F_time[s]:0.001728, H2H_time:0.001019, sync_time:0.000709
iteration:82, F2F_time[s]:0.001965, H2H_time:0.001282, sync_time:0.000682
iteration:83, F2F_time[s]:0.002032, H2H_time:0.001347, sync_time:0.000686
iteration:84, F2F_time[s]:0.001949, H2H_time:0.001203, sync_time:0.000746
iteration:85, F2F_time[s]:0.002015, H2H_time:0.001275, sync_time:0.000740
iteration:86, F2F_time[s]:0.001782, H2H_time:0.001045, sync_time:0.000737
iteration:87, F2F_time[s]:0.002142, H2H_time:0.001430, sync_time:0.000712
iteration:88, F2F_time[s]:0.001710, H2H_time:0.001069, sync_time:0.000641
iteration:89, F2F_time[s]:0.001856, H2H_time:0.001189, sync_time:0.000668
iteration:90, F2F_time[s]:0.001555, H2H_time:0.000909, sync_time:0.000645
iteration:91, F2F_time[s]:0.001646, H2H_time:0.001034, sync_time:0.000612
iteration:92, F2F_time[s]:0.001580, H2H_time:0.000923, sync_time:0.000657
iteration:93, F2F_time[s]:0.001665, H2H_time:0.001054, sync_time:0.000611
iteration:94, F2F_time[s]:0.001574, H2H_time:0.000903, sync_time:0.000671
iteration:95, F2F_time[s]:0.001694, H2H_time:0.000991, sync_time:0.000702
iteration:96, F2F_time[s]:0.001772, H2H_time:0.001113, sync_time:0.000659
