XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo1a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.014818, H2H_time:0.010763, sync_time:0.004055
iteration:1, F2F_time[s]:0.010675, H2H_time:0.006716, sync_time:0.003958
iteration:2, F2F_time[s]:0.011079, H2H_time:0.006982, sync_time:0.004096
iteration:3, F2F_time[s]:0.010964, H2H_time:0.006909, sync_time:0.004056
iteration:4, F2F_time[s]:0.010755, H2H_time:0.006673, sync_time:0.004082
iteration:5, F2F_time[s]:0.010343, H2H_time:0.006261, sync_time:0.004081
iteration:6, F2F_time[s]:0.010864, H2H_time:0.006893, sync_time:0.003971
iteration:7, F2F_time[s]:0.010193, H2H_time:0.006109, sync_time:0.004084
iteration:8, F2F_time[s]:0.009856, H2H_time:0.005913, sync_time:0.003943
iteration:9, F2F_time[s]:0.009935, H2H_time:0.005831, sync_time:0.004105
iteration:10, F2F_time[s]:0.009705, H2H_time:0.005863, sync_time:0.003843
iteration:11, F2F_time[s]:0.011101, H2H_time:0.007086, sync_time:0.004015
iteration:12, F2F_time[s]:0.011054, H2H_time:0.007008, sync_time:0.004047
iteration:13, F2F_time[s]:0.010474, H2H_time:0.006424, sync_time:0.004050
iteration:14, F2F_time[s]:0.011108, H2H_time:0.007087, sync_time:0.004021
iteration:15, F2F_time[s]:0.010700, H2H_time:0.006631, sync_time:0.004070
iteration:16, F2F_time[s]:0.010795, H2H_time:0.006798, sync_time:0.003997
iteration:17, F2F_time[s]:0.010239, H2H_time:0.006140, sync_time:0.004099
iteration:18, F2F_time[s]:0.009925, H2H_time:0.005917, sync_time:0.004008
iteration:19, F2F_time[s]:0.010565, H2H_time:0.006528, sync_time:0.004036
iteration:20, F2F_time[s]:0.010216, H2H_time:0.006180, sync_time:0.004036
iteration:21, F2F_time[s]:0.009453, H2H_time:0.005664, sync_time:0.003789
iteration:22, F2F_time[s]:0.010162, H2H_time:0.006137, sync_time:0.004025
iteration:23, F2F_time[s]:0.010873, H2H_time:0.006892, sync_time:0.003981
iteration:24, F2F_time[s]:0.011140, H2H_time:0.007238, sync_time:0.003902
iteration:25, F2F_time[s]:0.010900, H2H_time:0.006901, sync_time:0.003999
iteration:26, F2F_time[s]:0.010913, H2H_time:0.006872, sync_time:0.004041
iteration:27, F2F_time[s]:0.010562, H2H_time:0.006561, sync_time:0.004002
iteration:28, F2F_time[s]:0.010465, H2H_time:0.006499, sync_time:0.003965
iteration:29, F2F_time[s]:0.011259, H2H_time:0.007342, sync_time:0.003917
iteration:30, F2F_time[s]:0.010678, H2H_time:0.006640, sync_time:0.004037
iteration:31, F2F_time[s]:0.010083, H2H_time:0.006192, sync_time:0.003892
iteration:32, F2F_time[s]:0.010056, H2H_time:0.006051, sync_time:0.004004
iteration:33, F2F_time[s]:0.010223, H2H_time:0.006230, sync_time:0.003993
