XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo4c
alveo1a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
Start Reduce test:
iteration:0, F2F_time[s]:0.021718, H2H_time:0.017707, sync_time:0.004011
iteration:1, F2F_time[s]:0.017207, H2H_time:0.013120, sync_time:0.004087
iteration:2, F2F_time[s]:0.015849, H2H_time:0.011762, sync_time:0.004086
iteration:3, F2F_time[s]:0.015116, H2H_time:0.011032, sync_time:0.004085
iteration:4, F2F_time[s]:0.014941, H2H_time:0.010862, sync_time:0.004080
iteration:5, F2F_time[s]:0.029563, H2H_time:0.025488, sync_time:0.004076
iteration:6, F2F_time[s]:0.015324, H2H_time:0.011297, sync_time:0.004027
iteration:7, F2F_time[s]:0.015504, H2H_time:0.011419, sync_time:0.004085
iteration:8, F2F_time[s]:0.015183, H2H_time:0.011114, sync_time:0.004069
iteration:9, F2F_time[s]:0.015314, H2H_time:0.011232, sync_time:0.004082
iteration:10, F2F_time[s]:0.014771, H2H_time:0.010740, sync_time:0.004032
iteration:11, F2F_time[s]:0.014872, H2H_time:0.010881, sync_time:0.003991
iteration:12, F2F_time[s]:0.014892, H2H_time:0.010901, sync_time:0.003992
iteration:13, F2F_time[s]:0.015180, H2H_time:0.011218, sync_time:0.003962
iteration:14, F2F_time[s]:0.014606, H2H_time:0.010569, sync_time:0.004037
iteration:15, F2F_time[s]:0.015040, H2H_time:0.011048, sync_time:0.003992
iteration:16, F2F_time[s]:0.015677, H2H_time:0.011632, sync_time:0.004046
iteration:17, F2F_time[s]:0.015033, H2H_time:0.011005, sync_time:0.004028
iteration:18, F2F_time[s]:0.014759, H2H_time:0.010782, sync_time:0.003976
iteration:19, F2F_time[s]:0.015058, H2H_time:0.011009, sync_time:0.004048
iteration:20, F2F_time[s]:0.014646, H2H_time:0.010695, sync_time:0.003951
iteration:21, F2F_time[s]:0.015042, H2H_time:0.010993, sync_time:0.004049
iteration:22, F2F_time[s]:0.014965, H2H_time:0.010956, sync_time:0.004009
iteration:23, F2F_time[s]:0.014833, H2H_time:0.010833, sync_time:0.004000
iteration:24, F2F_time[s]:0.014807, H2H_time:0.010783, sync_time:0.004024
iteration:25, F2F_time[s]:0.014828, H2H_time:0.010812, sync_time:0.004016
iteration:26, F2F_time[s]:0.014703, H2H_time:0.010667, sync_time:0.004036
iteration:27, F2F_time[s]:0.014472, H2H_time:0.010424, sync_time:0.004048
iteration:28, F2F_time[s]:0.014659, H2H_time:0.010677, sync_time:0.003982
iteration:29, F2F_time[s]:0.014929, H2H_time:0.010844, sync_time:0.004085
iteration:30, F2F_time[s]:0.014585, H2H_time:0.010571, sync_time:0.004014
iteration:31, F2F_time[s]:0.015795, H2H_time:0.011792, sync_time:0.004003
iteration:32, F2F_time[s]:0.015136, H2H_time:0.011134, sync_time:0.004002
iteration:33, F2F_time[s]:0.015570, H2H_time:0.011542, sync_time:0.004028
iteration:34, F2F_time[s]:0.015496, H2H_time:0.011486, sync_time:0.004011
iteration:35, F2F_time[s]:0.014869, H2H_time:0.010868, sync_time:0.004001
iteration:36, F2F_time[s]:0.014641, H2H_time:0.010597, sync_time:0.004044
iteration:37, F2F_time[s]:0.015084, H2H_time:0.010835, sync_time:0.004250
iteration:38, F2F_time[s]:0.014892, H2H_time:0.010842, sync_time:0.004050
iteration:39, F2F_time[s]:0.014500, H2H_time:0.010507, sync_time:0.003993
