XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo2a
alveo4c
alveo3b
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
Start Reduce test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
iteration:0, F2F_time[s]:0.023401, H2H_time:0.019472, sync_time:0.003929
iteration:1, F2F_time[s]:0.019334, H2H_time:0.015247, sync_time:0.004087
iteration:2, F2F_time[s]:0.018607, H2H_time:0.014649, sync_time:0.003958
iteration:3, F2F_time[s]:0.016267, H2H_time:0.012311, sync_time:0.003957
iteration:4, F2F_time[s]:0.016258, H2H_time:0.012244, sync_time:0.004014
iteration:5, F2F_time[s]:0.018698, H2H_time:0.014619, sync_time:0.004079
iteration:6, F2F_time[s]:0.015954, H2H_time:0.011932, sync_time:0.004022
iteration:7, F2F_time[s]:0.016229, H2H_time:0.012118, sync_time:0.004112
iteration:8, F2F_time[s]:0.016820, H2H_time:0.012826, sync_time:0.003994
iteration:9, F2F_time[s]:0.032937, H2H_time:0.028889, sync_time:0.004049
iteration:10, F2F_time[s]:0.017470, H2H_time:0.013363, sync_time:0.004107
iteration:11, F2F_time[s]:0.015897, H2H_time:0.011885, sync_time:0.004013
iteration:12, F2F_time[s]:0.017125, H2H_time:0.013092, sync_time:0.004033
iteration:13, F2F_time[s]:0.017229, H2H_time:0.013230, sync_time:0.004000
iteration:14, F2F_time[s]:0.017874, H2H_time:0.013834, sync_time:0.004040
iteration:15, F2F_time[s]:0.016764, H2H_time:0.012790, sync_time:0.003974
iteration:16, F2F_time[s]:0.016305, H2H_time:0.012220, sync_time:0.004085
iteration:17, F2F_time[s]:0.016937, H2H_time:0.012871, sync_time:0.004065
iteration:18, F2F_time[s]:0.017024, H2H_time:0.012929, sync_time:0.004095
iteration:19, F2F_time[s]:0.016955, H2H_time:0.012834, sync_time:0.004121
iteration:20, F2F_time[s]:0.017567, H2H_time:0.013496, sync_time:0.004071
iteration:21, F2F_time[s]:0.017111, H2H_time:0.012993, sync_time:0.004118
iteration:22, F2F_time[s]:0.018056, H2H_time:0.013934, sync_time:0.004122
iteration:23, F2F_time[s]:0.017787, H2H_time:0.013746, sync_time:0.004041
iteration:24, F2F_time[s]:0.017361, H2H_time:0.013373, sync_time:0.003988
iteration:25, F2F_time[s]:0.018102, H2H_time:0.014106, sync_time:0.003995
iteration:26, F2F_time[s]:0.017127, H2H_time:0.013022, sync_time:0.004105
iteration:27, F2F_time[s]:0.017915, H2H_time:0.013765, sync_time:0.004149
iteration:28, F2F_time[s]:0.017448, H2H_time:0.013362, sync_time:0.004086
iteration:29, F2F_time[s]:0.017439, H2H_time:0.013305, sync_time:0.004133
iteration:30, F2F_time[s]:0.017580, H2H_time:0.013454, sync_time:0.004126
iteration:31, F2F_time[s]:0.018069, H2H_time:0.014017, sync_time:0.004051
iteration:32, F2F_time[s]:0.018228, H2H_time:0.014202, sync_time:0.004026
iteration:33, F2F_time[s]:0.017557, H2H_time:0.013528, sync_time:0.004029
iteration:34, F2F_time[s]:0.017648, H2H_time:0.013575, sync_time:0.004073
iteration:35, F2F_time[s]:0.017808, H2H_time:0.013714, sync_time:0.004094
iteration:36, F2F_time[s]:0.017605, H2H_time:0.013489, sync_time:0.004116
iteration:37, F2F_time[s]:0.017208, H2H_time:0.013152, sync_time:0.004057
iteration:38, F2F_time[s]:0.017289, H2H_time:0.013194, sync_time:0.004095
iteration:39, F2F_time[s]:0.017355, H2H_time:0.013323, sync_time:0.004032
iteration:40, F2F_time[s]:0.017847, H2H_time:0.013777, sync_time:0.004070
iteration:41, F2F_time[s]:0.017717, H2H_time:0.013655, sync_time:0.004061
iteration:42, F2F_time[s]:0.017356, H2H_time:0.013350, sync_time:0.004006
iteration:43, F2F_time[s]:0.017279, H2H_time:0.013158, sync_time:0.004121
iteration:44, F2F_time[s]:0.018608, H2H_time:0.014496, sync_time:0.004112
