XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo3c
alveo3b
alveo1a
alveo2a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8388608, num_elements:2097152, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8388608, num_elements:2097152, num_trials:200
Start Reduce test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
iteration:0, F2F_time[s]:0.029637, H2H_time:0.025560, sync_time:0.004078
iteration:1, F2F_time[s]:0.022357, H2H_time:0.018213, sync_time:0.004143
iteration:2, F2F_time[s]:0.020215, H2H_time:0.016131, sync_time:0.004083
iteration:3, F2F_time[s]:0.019312, H2H_time:0.015298, sync_time:0.004014
iteration:4, F2F_time[s]:0.020598, H2H_time:0.016517, sync_time:0.004081
iteration:5, F2F_time[s]:0.020625, H2H_time:0.016611, sync_time:0.004013
iteration:6, F2F_time[s]:0.019959, H2H_time:0.016051, sync_time:0.003908
iteration:7, F2F_time[s]:0.019026, H2H_time:0.015111, sync_time:0.003915
iteration:8, F2F_time[s]:0.035997, H2H_time:0.031864, sync_time:0.004132
iteration:9, F2F_time[s]:0.020323, H2H_time:0.016273, sync_time:0.004050
iteration:10, F2F_time[s]:0.019641, H2H_time:0.015746, sync_time:0.003895
iteration:11, F2F_time[s]:0.019981, H2H_time:0.015978, sync_time:0.004003
iteration:12, F2F_time[s]:0.019787, H2H_time:0.015740, sync_time:0.004047
iteration:13, F2F_time[s]:0.020409, H2H_time:0.016369, sync_time:0.004041
iteration:14, F2F_time[s]:0.018573, H2H_time:0.014527, sync_time:0.004046
iteration:15, F2F_time[s]:0.020349, H2H_time:0.016261, sync_time:0.004088
iteration:16, F2F_time[s]:0.019219, H2H_time:0.015184, sync_time:0.004035
iteration:17, F2F_time[s]:0.019981, H2H_time:0.015967, sync_time:0.004014
iteration:18, F2F_time[s]:0.018905, H2H_time:0.014864, sync_time:0.004042
iteration:19, F2F_time[s]:0.020541, H2H_time:0.016193, sync_time:0.004348
iteration:20, F2F_time[s]:0.019281, H2H_time:0.015190, sync_time:0.004091
iteration:21, F2F_time[s]:0.018645, H2H_time:0.014580, sync_time:0.004065
iteration:22, F2F_time[s]:0.019191, H2H_time:0.015158, sync_time:0.004034
iteration:23, F2F_time[s]:0.020057, H2H_time:0.015935, sync_time:0.004122
iteration:24, F2F_time[s]:0.019526, H2H_time:0.015500, sync_time:0.004026
iteration:25, F2F_time[s]:0.019549, H2H_time:0.015612, sync_time:0.003937
iteration:26, F2F_time[s]:0.019489, H2H_time:0.015516, sync_time:0.003973
iteration:27, F2F_time[s]:0.019495, H2H_time:0.015514, sync_time:0.003982
iteration:28, F2F_time[s]:0.020087, H2H_time:0.016079, sync_time:0.004009
iteration:29, F2F_time[s]:0.019352, H2H_time:0.015432, sync_time:0.003920
iteration:30, F2F_time[s]:0.019453, H2H_time:0.015449, sync_time:0.004004
iteration:31, F2F_time[s]:0.019565, H2H_time:0.015556, sync_time:0.004009
iteration:32, F2F_time[s]:0.019372, H2H_time:0.015554, sync_time:0.003817
iteration:33, F2F_time[s]:0.019844, H2H_time:0.015843, sync_time:0.004001
iteration:34, F2F_time[s]:0.020530, H2H_time:0.016490, sync_time:0.004040
iteration:35, F2F_time[s]:0.019827, H2H_time:0.015938, sync_time:0.003889
iteration:36, F2F_time[s]:0.019621, H2H_time:0.015634, sync_time:0.003987
iteration:37, F2F_time[s]:0.019583, H2H_time:0.015612, sync_time:0.003971
iteration:38, F2F_time[s]:0.018794, H2H_time:0.014811, sync_time:0.003983
iteration:39, F2F_time[s]:0.019522, H2H_time:0.015510, sync_time:0.004012
iteration:40, F2F_time[s]:0.019635, H2H_time:0.015588, sync_time:0.004047
iteration:41, F2F_time[s]:0.020023, H2H_time:0.015987, sync_time:0.004036
iteration:42, F2F_time[s]:0.019565, H2H_time:0.015584, sync_time:0.003981
iteration:43, F2F_time[s]:0.020220, H2H_time:0.016192, sync_time:0.004028
iteration:44, F2F_time[s]:0.020917, H2H_time:0.016889, sync_time:0.004028
iteration:45, F2F_time[s]:0.021072, H2H_time:0.017019, sync_time:0.004054
iteration:46, F2F_time[s]:0.019922, H2H_time:0.015929, sync_time:0.003994
iteration:47, F2F_time[s]:0.020138, H2H_time:0.016198, sync_time:0.003940
iteration:48, F2F_time[s]:0.020197, H2H_time:0.016168, sync_time:0.004029
iteration:49, F2F_time[s]:0.020911, H2H_time:0.016961, sync_time:0.003950
iteration:50, F2F_time[s]:0.021145, H2H_time:0.017111, sync_time:0.004035
iteration:51, F2F_time[s]:0.020366, H2H_time:0.016439, sync_time:0.003926
iteration:52, F2F_time[s]:0.020913, H2H_time:0.016886, sync_time:0.004027
iteration:53, F2F_time[s]:0.020076, H2H_time:0.015988, sync_time:0.004088
iteration:54, F2F_time[s]:0.020436, H2H_time:0.016379, sync_time:0.004058
iteration:55, F2F_time[s]:0.021562, H2H_time:0.017582, sync_time:0.003980
iteration:56, F2F_time[s]:0.020410, H2H_time:0.016310, sync_time:0.004100
iteration:57, F2F_time[s]:0.019999, H2H_time:0.015930, sync_time:0.004069
iteration:58, F2F_time[s]:0.020724, H2H_time:0.016702, sync_time:0.004021
iteration:59, F2F_time[s]:0.019896, H2H_time:0.015999, sync_time:0.003897
iteration:60, F2F_time[s]:0.018925, H2H_time:0.015079, sync_time:0.003846
iteration:61, F2F_time[s]:0.019206, H2H_time:0.015312, sync_time:0.003894
iteration:62, F2F_time[s]:0.019809, H2H_time:0.015772, sync_time:0.004037
iteration:63, F2F_time[s]:0.020176, H2H_time:0.016192, sync_time:0.003984
iteration:64, F2F_time[s]:0.020244, H2H_time:0.016178, sync_time:0.004066
iteration:65, F2F_time[s]:0.020763, H2H_time:0.016832, sync_time:0.003930
iteration:66, F2F_time[s]:0.020814, H2H_time:0.016736, sync_time:0.004078
iteration:67, F2F_time[s]:0.018816, H2H_time:0.014769, sync_time:0.004046
iteration:68, F2F_time[s]:0.019460, H2H_time:0.015465, sync_time:0.003995
iteration:69, F2F_time[s]:0.020296, H2H_time:0.016212, sync_time:0.004084
iteration:70, F2F_time[s]:0.020059, H2H_time:0.016127, sync_time:0.003932
iteration:71, F2F_time[s]:0.020534, H2H_time:0.016610, sync_time:0.003925
iteration:72, F2F_time[s]:0.020247, H2H_time:0.016192, sync_time:0.004055
iteration:73, F2F_time[s]:0.019971, H2H_time:0.015976, sync_time:0.003995
iteration:74, F2F_time[s]:0.018855, H2H_time:0.014914, sync_time:0.003940
iteration:75, F2F_time[s]:0.018942, H2H_time:0.014936, sync_time:0.004006
iteration:76, F2F_time[s]:0.019307, H2H_time:0.015376, sync_time:0.003932
iteration:77, F2F_time[s]:0.019414, H2H_time:0.015340, sync_time:0.004074
iteration:78, F2F_time[s]:0.019446, H2H_time:0.015443, sync_time:0.004004
iteration:79, F2F_time[s]:0.019044, H2H_time:0.014982, sync_time:0.004062
iteration:80, F2F_time[s]:0.019031, H2H_time:0.015069, sync_time:0.003962
iteration:81, F2F_time[s]:0.019839, H2H_time:0.015740, sync_time:0.004099
iteration:82, F2F_time[s]:0.019703, H2H_time:0.015729, sync_time:0.003974
iteration:83, F2F_time[s]:0.019783, H2H_time:0.015737, sync_time:0.004047
iteration:84, F2F_time[s]:0.020526, H2H_time:0.016535, sync_time:0.003991
iteration:85, F2F_time[s]:0.021583, H2H_time:0.017552, sync_time:0.004031
iteration:86, F2F_time[s]:0.021201, H2H_time:0.017111, sync_time:0.004091
iteration:87, F2F_time[s]:0.019401, H2H_time:0.015445, sync_time:0.003957
iteration:88, F2F_time[s]:0.019863, H2H_time:0.015902, sync_time:0.003962
iteration:89, F2F_time[s]:0.020278, H2H_time:0.016276, sync_time:0.004002
iteration:90, F2F_time[s]:0.019763, H2H_time:0.015788, sync_time:0.003975
iteration:91, F2F_time[s]:0.018993, H2H_time:0.015132, sync_time:0.003861
iteration:92, F2F_time[s]:0.019847, H2H_time:0.015833, sync_time:0.004014
iteration:93, F2F_time[s]:0.019366, H2H_time:0.015456, sync_time:0.003910
iteration:94, F2F_time[s]:0.020185, H2H_time:0.016117, sync_time:0.004068
iteration:95, F2F_time[s]:0.019218, H2H_time:0.015368, sync_time:0.003850
iteration:96, F2F_time[s]:0.019783, H2H_time:0.015844, sync_time:0.003939
iteration:97, F2F_time[s]:0.019991, H2H_time:0.016011, sync_time:0.003979
iteration:98, F2F_time[s]:0.019781, H2H_time:0.015857, sync_time:0.003924
iteration:99, F2F_time[s]:0.019766, H2H_time:0.015710, sync_time:0.004056
iteration:100, F2F_time[s]:0.019582, H2H_time:0.015534, sync_time:0.004048
iteration:101, F2F_time[s]:0.019915, H2H_time:0.015942, sync_time:0.003973
iteration:102, F2F_time[s]:0.019473, H2H_time:0.015407, sync_time:0.004066
iteration:103, F2F_time[s]:0.019369, H2H_time:0.015407, sync_time:0.003962
iteration:104, F2F_time[s]:0.020321, H2H_time:0.016314, sync_time:0.004007
iteration:105, F2F_time[s]:0.020090, H2H_time:0.016248, sync_time:0.003842
iteration:106, F2F_time[s]:0.019770, H2H_time:0.015698, sync_time:0.004071
iteration:107, F2F_time[s]:0.020523, H2H_time:0.016355, sync_time:0.004168
iteration:108, F2F_time[s]:0.021587, H2H_time:0.017584, sync_time:0.004004
iteration:109, F2F_time[s]:0.020307, H2H_time:0.016200, sync_time:0.004106
iteration:110, F2F_time[s]:0.019603, H2H_time:0.015597, sync_time:0.004006
iteration:111, F2F_time[s]:0.021241, H2H_time:0.017206, sync_time:0.004035
iteration:112, F2F_time[s]:0.019933, H2H_time:0.015823, sync_time:0.004111
iteration:113, F2F_time[s]:0.019760, H2H_time:0.015875, sync_time:0.003884
iteration:114, F2F_time[s]:0.019335, H2H_time:0.015432, sync_time:0.003903
iteration:115, F2F_time[s]:0.019700, H2H_time:0.015841, sync_time:0.003859
iteration:116, F2F_time[s]:0.019584, H2H_time:0.015544, sync_time:0.004040
iteration:117, F2F_time[s]:0.019229, H2H_time:0.015169, sync_time:0.004060
iteration:118, F2F_time[s]:0.018621, H2H_time:0.014739, sync_time:0.003882
iteration:119, F2F_time[s]:0.018746, H2H_time:0.014864, sync_time:0.003882
iteration:120, F2F_time[s]:0.019696, H2H_time:0.015626, sync_time:0.004070
iteration:121, F2F_time[s]:0.018753, H2H_time:0.014797, sync_time:0.003956
iteration:122, F2F_time[s]:0.019250, H2H_time:0.015114, sync_time:0.004136
iteration:123, F2F_time[s]:0.018775, H2H_time:0.014729, sync_time:0.004046
iteration:124, F2F_time[s]:0.019766, H2H_time:0.015688, sync_time:0.004077
iteration:125, F2F_time[s]:0.019335, H2H_time:0.015334, sync_time:0.004001
iteration:126, F2F_time[s]:0.018785, H2H_time:0.014854, sync_time:0.003931
iteration:127, F2F_time[s]:0.018956, H2H_time:0.014925, sync_time:0.004031
iteration:128, F2F_time[s]:0.019024, H2H_time:0.014997, sync_time:0.004028
iteration:129, F2F_time[s]:0.018799, H2H_time:0.014855, sync_time:0.003944
iteration:130, F2F_time[s]:0.019887, H2H_time:0.015828, sync_time:0.004059
iteration:131, F2F_time[s]:0.018780, H2H_time:0.014750, sync_time:0.004029
iteration:132, F2F_time[s]:0.018568, H2H_time:0.014655, sync_time:0.003912
iteration:133, F2F_time[s]:0.018953, H2H_time:0.015038, sync_time:0.003915
iteration:134, F2F_time[s]:0.019391, H2H_time:0.015305, sync_time:0.004086
iteration:135, F2F_time[s]:0.019281, H2H_time:0.015347, sync_time:0.003934
iteration:136, F2F_time[s]:0.020201, H2H_time:0.016144, sync_time:0.004057
