alveo1a, bytes:131072, num_elements:32768, num_trials:100
alveo4c, bytes:131072, num_elements:32768, num_trials:100
alveo3b, bytes:131072, num_elements:32768, num_trials:100
alveo4b, bytes:131072, num_elements:32768, num_trials:100
alveo1b, bytes:131072, num_elements:32768, num_trials:100
alveo2b, bytes:131072, num_elements:32768, num_trials:100
alveo2a, bytes:131072, num_elements:32768, num_trials:100
iteration:0, time[s]:0.001396
iteration:1, time[s]:0.000628
iteration:2, time[s]:0.000609
iteration:3, time[s]:0.000540
iteration:4, time[s]:0.000436
iteration:5, time[s]:0.000426
iteration:6, time[s]:0.000482
iteration:7, time[s]:0.000479
iteration:8, time[s]:0.000471
iteration:9, time[s]:0.000454
iteration:10, time[s]:0.000406
iteration:11, time[s]:0.000449
iteration:12, time[s]:0.000350
iteration:13, time[s]:0.000423
iteration:14, time[s]:0.000357
iteration:15, time[s]:0.000472
iteration:16, time[s]:0.000364
iteration:17, time[s]:0.000378
iteration:18, time[s]:0.000351
iteration:19, time[s]:0.000454
iteration:20, time[s]:0.000410
iteration:21, time[s]:0.000442
iteration:22, time[s]:0.000412
iteration:23, time[s]:0.000437
iteration:24, time[s]:0.000333
iteration:25, time[s]:0.000408
iteration:26, time[s]:0.000411
iteration:27, time[s]:0.000431
iteration:28, time[s]:0.000399
iteration:29, time[s]:0.000429
iteration:30, time[s]:0.000386
iteration:31, time[s]:0.000424
iteration:32, time[s]:0.000386
iteration:33, time[s]:0.000403
iteration:34, time[s]:0.000330
iteration:35, time[s]:0.000407
iteration:36, time[s]:0.000375
iteration:37, time[s]:0.000392
iteration:38, time[s]:0.000377
iteration:39, time[s]:0.000407
iteration:40, time[s]:0.000381
iteration:41, time[s]:0.000382
iteration:42, time[s]:0.000387
iteration:43, time[s]:0.000436
iteration:44, time[s]:0.000393
iteration:45, time[s]:0.000376
iteration:46, time[s]:0.000364
iteration:47, time[s]:0.000437
iteration:48, time[s]:0.000409
iteration:49, time[s]:0.000380
iteration:50, time[s]:0.000360
iteration:51, time[s]:0.000406
iteration:52, time[s]:0.000418
iteration:53, time[s]:0.000381
iteration:54, time[s]:0.000378
iteration:55, time[s]:0.000411
iteration:56, time[s]:0.000396
iteration:57, time[s]:0.000373
iteration:58, time[s]:0.000386
iteration:59, time[s]:0.000414
iteration:60, time[s]:0.000411
iteration:61, time[s]:0.000401
iteration:62, time[s]:0.000377
iteration:63, time[s]:0.000392
iteration:64, time[s]:0.000358
iteration:65, time[s]:0.000364
iteration:66, time[s]:0.000360
iteration:67, time[s]:0.000430
iteration:68, time[s]:0.000422
iteration:69, time[s]:0.000378
iteration:70, time[s]:0.000367
iteration:71, time[s]:0.000401
iteration:72, time[s]:0.000368
iteration:73, time[s]:0.000412
iteration:74, time[s]:0.000394
iteration:75, time[s]:0.000389
iteration:76, time[s]:0.000351
iteration:77, time[s]:0.000375
iteration:78, time[s]:0.000414
iteration:79, time[s]:0.000435
iteration:80, time[s]:0.000360
iteration:81, time[s]:0.000376
iteration:82, time[s]:0.000357
iteration:83, time[s]:0.000422
iteration:84, time[s]:0.000433
iteration:85, time[s]:0.000385
iteration:86, time[s]:0.000423
iteration:87, time[s]:0.000416
iteration:88, time[s]:0.000336
iteration:89, time[s]:0.000397
iteration:90, time[s]:0.000415
iteration:91, time[s]:0.000380
iteration:92, time[s]:0.000378
iteration:93, time[s]:0.000379
iteration:94, time[s]:0.000408
iteration:95, time[s]:0.000400
iteration:96, time[s]:0.000399
iteration:97, time[s]:0.000371
iteration:98, time[s]:0.000400
iteration:99, time[s]:0.000418
iteration:100, time[s]:0.000401
Data size = 131072, Trials = 100
Avg MPI_reduce time [us]= *404.511790
