alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.036426
iteration:1, time[s]:0.031235
iteration:2, time[s]:0.028541
iteration:3, time[s]:0.026950
iteration:4, time[s]:0.026917
iteration:5, time[s]:0.028419
iteration:6, time[s]:0.026368
iteration:7, time[s]:0.027089
iteration:8, time[s]:0.026129
iteration:9, time[s]:0.026487
iteration:10, time[s]:0.026571
iteration:11, time[s]:0.026960
iteration:12, time[s]:0.026648
iteration:13, time[s]:0.027082
iteration:14, time[s]:0.027332
iteration:15, time[s]:0.026258
iteration:16, time[s]:0.028087
iteration:17, time[s]:0.028255
iteration:18, time[s]:0.028472
iteration:19, time[s]:0.028361
iteration:20, time[s]:0.028573
iteration:21, time[s]:0.028200
iteration:22, time[s]:0.028102
iteration:23, time[s]:0.029331
iteration:24, time[s]:0.028064
iteration:25, time[s]:0.027976
iteration:26, time[s]:0.027401
iteration:27, time[s]:0.026972
iteration:28, time[s]:0.028254
iteration:29, time[s]:0.026069
iteration:30, time[s]:0.027304
iteration:31, time[s]:0.027768
iteration:32, time[s]:0.027351
iteration:33, time[s]:0.027716
iteration:34, time[s]:0.027514
iteration:35, time[s]:0.026501
iteration:36, time[s]:0.026944
iteration:37, time[s]:0.027960
iteration:38, time[s]:0.027884
iteration:39, time[s]:0.027785
iteration:40, time[s]:0.027888
iteration:41, time[s]:0.027488
iteration:42, time[s]:0.027616
iteration:43, time[s]:0.027687
iteration:44, time[s]:0.027043
iteration:45, time[s]:0.026587
iteration:46, time[s]:0.026604
iteration:47, time[s]:0.026292
iteration:48, time[s]:0.027286
iteration:49, time[s]:0.026136
iteration:50, time[s]:0.026716
iteration:51, time[s]:0.025716
iteration:52, time[s]:0.025463
iteration:53, time[s]:0.026739
iteration:54, time[s]:0.026087
iteration:55, time[s]:0.026638
iteration:56, time[s]:0.026730
iteration:57, time[s]:0.026643
iteration:58, time[s]:0.025780
iteration:59, time[s]:0.026371
iteration:60, time[s]:0.026579
iteration:61, time[s]:0.025836
iteration:62, time[s]:0.025377
iteration:63, time[s]:0.026149
iteration:64, time[s]:0.026790
iteration:65, time[s]:0.025751
iteration:66, time[s]:0.025875
iteration:67, time[s]:0.027004
iteration:68, time[s]:0.027527
iteration:69, time[s]:0.025869
iteration:70, time[s]:0.026390
iteration:71, time[s]:0.026134
iteration:72, time[s]:0.025755
iteration:73, time[s]:0.025811
iteration:74, time[s]:0.026886
iteration:75, time[s]:0.027310
iteration:76, time[s]:0.026285
iteration:77, time[s]:0.026435
iteration:78, time[s]:0.026308
iteration:79, time[s]:0.026519
iteration:80, time[s]:0.026052
iteration:81, time[s]:0.026978
iteration:82, time[s]:0.025426
iteration:83, time[s]:0.026162
iteration:84, time[s]:0.026494
iteration:85, time[s]:0.027001
iteration:86, time[s]:0.027153
iteration:87, time[s]:0.025904
iteration:88, time[s]:0.026351
iteration:89, time[s]:0.026192
iteration:90, time[s]:0.026105
iteration:91, time[s]:0.027251
iteration:92, time[s]:0.026165
iteration:93, time[s]:0.026653
iteration:94, time[s]:0.026914
iteration:95, time[s]:0.027189
iteration:96, time[s]:0.026716
iteration:97, time[s]:0.026281
iteration:98, time[s]:0.027117
iteration:99, time[s]:0.026860
iteration:100, time[s]:0.028065
