alveo4c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.039160
iteration:1, time[s]:0.035648
iteration:2, time[s]:0.034456
iteration:3, time[s]:0.034387
iteration:4, time[s]:0.033906
iteration:5, time[s]:0.034397
iteration:6, time[s]:0.034370
iteration:7, time[s]:0.034038
iteration:8, time[s]:0.033539
iteration:9, time[s]:0.033699
iteration:10, time[s]:0.033959
iteration:11, time[s]:0.033830
iteration:12, time[s]:0.033586
iteration:13, time[s]:0.033850
iteration:14, time[s]:0.033572
iteration:15, time[s]:0.033606
iteration:16, time[s]:0.034336
iteration:17, time[s]:0.034051
iteration:18, time[s]:0.034164
iteration:19, time[s]:0.033797
iteration:20, time[s]:0.033470
iteration:21, time[s]:0.032999
iteration:22, time[s]:0.033353
iteration:23, time[s]:0.033264
iteration:24, time[s]:0.033200
iteration:25, time[s]:0.033131
iteration:26, time[s]:0.033327
iteration:27, time[s]:0.033556
iteration:28, time[s]:0.033865
iteration:29, time[s]:0.033911
iteration:30, time[s]:0.033312
iteration:31, time[s]:0.032893
iteration:32, time[s]:0.032889
iteration:33, time[s]:0.034069
iteration:34, time[s]:0.033589
iteration:35, time[s]:0.033968
iteration:36, time[s]:0.033644
iteration:37, time[s]:0.033503
iteration:38, time[s]:0.033642
iteration:39, time[s]:0.033266
iteration:40, time[s]:0.034185
iteration:41, time[s]:0.034483
iteration:42, time[s]:0.034422
iteration:43, time[s]:0.034418
iteration:44, time[s]:0.034111
iteration:45, time[s]:0.033389
iteration:46, time[s]:0.033954
iteration:47, time[s]:0.034099
iteration:48, time[s]:0.033465
iteration:49, time[s]:0.034348
iteration:50, time[s]:0.034227
iteration:51, time[s]:0.034287
iteration:52, time[s]:0.033433
iteration:53, time[s]:0.033957
iteration:54, time[s]:0.033586
iteration:55, time[s]:0.034048
iteration:56, time[s]:0.033981
iteration:57, time[s]:0.033091
iteration:58, time[s]:0.034258
iteration:59, time[s]:0.033945
iteration:60, time[s]:0.033783
iteration:61, time[s]:0.033433
iteration:62, time[s]:0.033057
iteration:63, time[s]:0.032637
iteration:64, time[s]:0.033167
iteration:65, time[s]:0.033038
iteration:66, time[s]:0.033646
iteration:67, time[s]:0.033429
iteration:68, time[s]:0.033467
iteration:69, time[s]:0.034145
iteration:70, time[s]:0.033816
iteration:71, time[s]:0.034514
iteration:72, time[s]:0.033863
iteration:73, time[s]:0.033536
iteration:74, time[s]:0.034015
iteration:75, time[s]:0.033665
iteration:76, time[s]:0.033434
iteration:77, time[s]:0.033796
iteration:78, time[s]:0.034525
iteration:79, time[s]:0.033969
iteration:80, time[s]:0.033895
iteration:81, time[s]:0.034165
iteration:82, time[s]:0.034417
iteration:83, time[s]:0.034699
iteration:84, time[s]:0.033604
iteration:85, time[s]:0.033654
iteration:86, time[s]:0.034278
iteration:87, time[s]:0.033743
iteration:88, time[s]:0.034106
iteration:89, time[s]:0.034128
iteration:90, time[s]:0.033782
iteration:91, time[s]:0.034122
iteration:92, time[s]:0.033593
iteration:93, time[s]:0.033110
iteration:94, time[s]:0.033019
iteration:95, time[s]:0.033224
iteration:96, time[s]:0.033310
iteration:97, time[s]:0.032895
iteration:98, time[s]:0.033667
iteration:99, time[s]:0.033504
iteration:100, time[s]:0.033060
iteration:101, time[s]:0.032752
iteration:102, time[s]:0.032657
iteration:103, time[s]:0.033226
iteration:104, time[s]:0.032816
iteration:105, time[s]:0.032771
iteration:106, time[s]:0.032801
iteration:107, time[s]:0.032958
iteration:108, time[s]:0.032567
iteration:109, time[s]:0.032798
iteration:110, time[s]:0.032552
iteration:111, time[s]:0.033300
iteration:112, time[s]:0.032807
iteration:113, time[s]:0.032598
iteration:114, time[s]:0.032978
iteration:115, time[s]:0.034058
iteration:116, time[s]:0.032931
iteration:117, time[s]:0.032622
iteration:118, time[s]:0.033177
iteration:119, time[s]:0.033353
iteration:120, time[s]:0.032531
iteration:121, time[s]:0.033081
iteration:122, time[s]:0.033633
iteration:123, time[s]:0.033477
iteration:124, time[s]:0.033219
iteration:125, time[s]:0.033240
iteration:126, time[s]:0.033582
iteration:127, time[s]:0.034159
iteration:128, time[s]:0.034857
iteration:129, time[s]:0.034242
iteration:130, time[s]:0.034432
iteration:131, time[s]:0.033544
iteration:132, time[s]:0.033372
iteration:133, time[s]:0.033082
iteration:134, time[s]:0.033625
iteration:135, time[s]:0.034302
iteration:136, time[s]:0.034035
iteration:137, time[s]:0.033374
iteration:138, time[s]:0.033899
iteration:139, time[s]:0.032935
iteration:140, time[s]:0.033395
iteration:141, time[s]:0.032880
iteration:142, time[s]:0.033213
iteration:143, time[s]:0.033443
iteration:144, time[s]:0.033628
iteration:145, time[s]:0.033568
iteration:146, time[s]:0.033624
iteration:147, time[s]:0.034045
iteration:148, time[s]:0.033421
iteration:149, time[s]:0.034091
iteration:150, time[s]:0.034007
iteration:151, time[s]:0.034324
iteration:152, time[s]:0.034925
iteration:153, time[s]:0.034553
iteration:154, time[s]:0.034541
iteration:155, time[s]:0.033894
iteration:156, time[s]:0.033803
iteration:157, time[s]:0.034466
iteration:158, time[s]:0.034081
iteration:159, time[s]:0.034564
iteration:160, time[s]:0.034559
iteration:161, time[s]:0.035022
iteration:162, time[s]:0.035170
iteration:163, time[s]:0.034212
iteration:164, time[s]:0.033859
iteration:165, time[s]:0.034398
iteration:166, time[s]:0.034576
iteration:167, time[s]:0.033742
iteration:168, time[s]:0.033964
iteration:169, time[s]:0.033950
iteration:170, time[s]:0.034131
iteration:171, time[s]:0.033872
iteration:172, time[s]:0.034170
iteration:173, time[s]:0.033283
iteration:174, time[s]:0.033950
iteration:175, time[s]:0.033121
iteration:176, time[s]:0.033540
iteration:177, time[s]:0.033836
iteration:178, time[s]:0.034070
iteration:179, time[s]:0.033684
iteration:180, time[s]:0.032908
iteration:181, time[s]:0.032657
iteration:182, time[s]:0.033382
iteration:183, time[s]:0.032802
iteration:184, time[s]:0.033630
iteration:185, time[s]:0.033589
iteration:186, time[s]:0.033642
iteration:187, time[s]:0.033919
iteration:188, time[s]:0.033890
iteration:189, time[s]:0.033636
iteration:190, time[s]:0.033794
iteration:191, time[s]:0.033428
iteration:192, time[s]:0.032884
iteration:193, time[s]:0.033215
iteration:194, time[s]:0.032641
iteration:195, time[s]:0.032753
iteration:196, time[s]:0.032701
iteration:197, time[s]:0.032548
iteration:198, time[s]:0.032954
iteration:199, time[s]:0.032525
iteration:200, time[s]:0.032272
iteration:201, time[s]:0.032794
iteration:202, time[s]:0.032773
iteration:203, time[s]:0.033346
iteration:204, time[s]:0.032891
iteration:205, time[s]:0.032025
iteration:206, time[s]:0.032614
iteration:207, time[s]:0.032424
iteration:208, time[s]:0.033245
iteration:209, time[s]:0.033439
iteration:210, time[s]:0.033254
