alveo1a, bytes:2097152, num_elements:524288, num_trials:1000
alveo2a, bytes:2097152, num_elements:524288, num_trials:1000
alveo2b, bytes:2097152, num_elements:524288, num_trials:1000
alveo1b, bytes:2097152, num_elements:524288, num_trials:1000
iteration:0, time[s]:0.007460
iteration:1, time[s]:0.004477
iteration:2, time[s]:0.003038
iteration:3, time[s]:0.003091
iteration:4, time[s]:0.002745
iteration:5, time[s]:0.002703
iteration:6, time[s]:0.002552
iteration:7, time[s]:0.002591
iteration:8, time[s]:0.002217
iteration:9, time[s]:0.002666
iteration:10, time[s]:0.002708
iteration:11, time[s]:0.002460
iteration:12, time[s]:0.017044
iteration:13, time[s]:0.002312
iteration:14, time[s]:0.002542
iteration:15, time[s]:0.002283
iteration:16, time[s]:0.002407
iteration:17, time[s]:0.002320
iteration:18, time[s]:0.002276
iteration:19, time[s]:0.002343
iteration:20, time[s]:0.002472
iteration:21, time[s]:0.002143
iteration:22, time[s]:0.002599
iteration:23, time[s]:0.002360
iteration:24, time[s]:0.002415
iteration:25, time[s]:0.002526
iteration:26, time[s]:0.002521
iteration:27, time[s]:0.002564
iteration:28, time[s]:0.002663
iteration:29, time[s]:0.002456
iteration:30, time[s]:0.002492
iteration:31, time[s]:0.002488
iteration:32, time[s]:0.002569
iteration:33, time[s]:0.002365
iteration:34, time[s]:0.002403
iteration:35, time[s]:0.002380
iteration:36, time[s]:0.002768
iteration:37, time[s]:0.002797
iteration:38, time[s]:0.003020
iteration:39, time[s]:0.002526
iteration:40, time[s]:0.002927
iteration:41, time[s]:0.002668
iteration:42, time[s]:0.002845
iteration:43, time[s]:0.002715
iteration:44, time[s]:0.002627
iteration:45, time[s]:0.002840
iteration:46, time[s]:0.002407
iteration:47, time[s]:0.002562
iteration:48, time[s]:0.002508
iteration:49, time[s]:0.002663
iteration:50, time[s]:0.002473
iteration:51, time[s]:0.002671
iteration:52, time[s]:0.002497
iteration:53, time[s]:0.002720
iteration:54, time[s]:0.002500
iteration:55, time[s]:0.002494
iteration:56, time[s]:0.002582
iteration:57, time[s]:0.002388
iteration:58, time[s]:0.002585
iteration:59, time[s]:0.002476
iteration:60, time[s]:0.002560
iteration:61, time[s]:0.002561
iteration:62, time[s]:0.002624
iteration:63, time[s]:0.002304
iteration:64, time[s]:0.002309
iteration:65, time[s]:0.002274
iteration:66, time[s]:0.002394
iteration:67, time[s]:0.002238
iteration:68, time[s]:0.002584
iteration:69, time[s]:0.002435
iteration:70, time[s]:0.002355
iteration:71, time[s]:0.002287
iteration:72, time[s]:0.002524
iteration:73, time[s]:0.002295
iteration:74, time[s]:0.002658
iteration:75, time[s]:0.002574
iteration:76, time[s]:0.002494
iteration:77, time[s]:0.002594
iteration:78, time[s]:0.002685
iteration:79, time[s]:0.002585
iteration:80, time[s]:0.002773
iteration:81, time[s]:0.002797
iteration:82, time[s]:0.002702
iteration:83, time[s]:0.002581
iteration:84, time[s]:0.002711
iteration:85, time[s]:0.002579
iteration:86, time[s]:0.002626
iteration:87, time[s]:0.002797
iteration:88, time[s]:0.002286
iteration:89, time[s]:0.002504
iteration:90, time[s]:0.002305
iteration:91, time[s]:0.002431
iteration:92, time[s]:0.002557
iteration:93, time[s]:0.002668
iteration:94, time[s]:0.002610
iteration:95, time[s]:0.002489
iteration:96, time[s]:0.002644
iteration:97, time[s]:0.002624
iteration:98, time[s]:0.002277
iteration:99, time[s]:0.002652
iteration:100, time[s]:0.002493
iteration:101, time[s]:0.002474
iteration:102, time[s]:0.002524
iteration:103, time[s]:0.002521
iteration:104, time[s]:0.002250
iteration:105, time[s]:0.002393
iteration:106, time[s]:0.002518
iteration:107, time[s]:0.002514
iteration:108, time[s]:0.002622
iteration:109, time[s]:0.002645
iteration:110, time[s]:0.002738
iteration:111, time[s]:0.002693
iteration:112, time[s]:0.002723
iteration:113, time[s]:0.002642
iteration:114, time[s]:0.002871
iteration:115, time[s]:0.002549
iteration:116, time[s]:0.002397
iteration:117, time[s]:0.002281
iteration:118, time[s]:0.002478
iteration:119, time[s]:0.002219
iteration:120, time[s]:0.002561
iteration:121, time[s]:0.002339
iteration:122, time[s]:0.002542
iteration:123, time[s]:0.002701
iteration:124, time[s]:0.002754
iteration:125, time[s]:0.002627
iteration:126, time[s]:0.002798
iteration:127, time[s]:0.002562
iteration:128, time[s]:0.002763
iteration:129, time[s]:0.002522
iteration:130, time[s]:0.002494
iteration:131, time[s]:0.002221
iteration:132, time[s]:0.002611
iteration:133, time[s]:0.002657
iteration:134, time[s]:0.002811
