alveo1a, bytes:262144, num_elements:65536, num_trials:100
alveo3b, bytes:262144, num_elements:65536, num_trials:100
alveo4c, bytes:262144, num_elements:65536, num_trials:100
alveo4b, bytes:262144, num_elements:65536, num_trials:100
alveo1b, bytes:262144, num_elements:65536, num_trials:100
alveo2b, bytes:262144, num_elements:65536, num_trials:100
alveo2a, bytes:262144, num_elements:65536, num_trials:100
iteration:0, time[s]:0.002961
iteration:1, time[s]:0.001565
iteration:2, time[s]:0.001495
iteration:3, time[s]:0.001556
iteration:4, time[s]:0.001317
iteration:5, time[s]:0.001416
iteration:6, time[s]:0.001276
iteration:7, time[s]:0.001226
iteration:8, time[s]:0.001246
iteration:9, time[s]:0.001251
iteration:10, time[s]:0.001182
iteration:11, time[s]:0.001067
iteration:12, time[s]:0.001009
iteration:13, time[s]:0.001115
iteration:14, time[s]:0.001166
iteration:15, time[s]:0.001022
iteration:16, time[s]:0.000888
iteration:17, time[s]:0.001055
iteration:18, time[s]:0.001139
iteration:19, time[s]:0.001047
iteration:20, time[s]:0.000985
iteration:21, time[s]:0.001136
iteration:22, time[s]:0.001118
iteration:23, time[s]:0.000925
iteration:24, time[s]:0.001002
iteration:25, time[s]:0.001093
iteration:26, time[s]:0.001076
iteration:27, time[s]:0.000880
iteration:28, time[s]:0.000858
iteration:29, time[s]:0.001005
iteration:30, time[s]:0.001103
iteration:31, time[s]:0.001000
iteration:32, time[s]:0.001005
iteration:33, time[s]:0.000975
iteration:34, time[s]:0.001087
iteration:35, time[s]:0.000852
iteration:36, time[s]:0.000859
iteration:37, time[s]:0.000920
iteration:38, time[s]:0.001044
iteration:39, time[s]:0.000879
iteration:40, time[s]:0.000802
iteration:41, time[s]:0.001004
iteration:42, time[s]:0.001048
iteration:43, time[s]:0.000834
iteration:44, time[s]:0.000819
iteration:45, time[s]:0.000974
iteration:46, time[s]:0.001028
iteration:47, time[s]:0.000834
iteration:48, time[s]:0.000809
iteration:49, time[s]:0.000876
iteration:50, time[s]:0.001087
iteration:51, time[s]:0.000823
iteration:52, time[s]:0.000877
iteration:53, time[s]:0.000971
iteration:54, time[s]:0.001050
iteration:55, time[s]:0.000730
iteration:56, time[s]:0.000847
iteration:57, time[s]:0.000886
iteration:58, time[s]:0.001030
iteration:59, time[s]:0.000774
iteration:60, time[s]:0.000881
iteration:61, time[s]:0.000925
iteration:62, time[s]:0.001026
iteration:63, time[s]:0.000813
iteration:64, time[s]:0.000758
iteration:65, time[s]:0.000960
iteration:66, time[s]:0.001015
iteration:67, time[s]:0.000744
iteration:68, time[s]:0.001827
iteration:69, time[s]:0.000858
iteration:70, time[s]:0.001007
iteration:71, time[s]:0.000735
iteration:72, time[s]:0.000903
iteration:73, time[s]:0.000837
iteration:74, time[s]:0.001085
iteration:75, time[s]:0.000735
iteration:76, time[s]:0.000961
iteration:77, time[s]:0.000955
iteration:78, time[s]:0.001005
iteration:79, time[s]:0.000841
iteration:80, time[s]:0.000943
iteration:81, time[s]:0.000866
iteration:82, time[s]:0.001019
iteration:83, time[s]:0.000818
iteration:84, time[s]:0.000941
iteration:85, time[s]:0.000836
iteration:86, time[s]:0.001085
iteration:87, time[s]:0.000717
iteration:88, time[s]:0.000899
iteration:89, time[s]:0.000849
iteration:90, time[s]:0.001094
iteration:91, time[s]:0.000812
iteration:92, time[s]:0.000923
iteration:93, time[s]:0.000838
iteration:94, time[s]:0.001051
iteration:95, time[s]:0.000680
iteration:96, time[s]:0.000756
iteration:97, time[s]:0.000845
iteration:98, time[s]:0.001044
iteration:99, time[s]:0.000711
iteration:100, time[s]:0.000835
Data size = 262144, Trials = 100
Avg MPI_reduce time [us]= *983.721520
