alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.047022
iteration:1, time[s]:0.035362
iteration:2, time[s]:0.037354
iteration:3, time[s]:0.037664
iteration:4, time[s]:0.040176
iteration:5, time[s]:0.039826
iteration:6, time[s]:0.040320
iteration:7, time[s]:0.039675
iteration:8, time[s]:0.040403
iteration:9, time[s]:0.039375
iteration:10, time[s]:0.040215
iteration:11, time[s]:0.039532
iteration:12, time[s]:0.040875
iteration:13, time[s]:0.039668
iteration:14, time[s]:0.039901
iteration:15, time[s]:0.040514
iteration:16, time[s]:0.041181
iteration:17, time[s]:0.040458
iteration:18, time[s]:0.041278
iteration:19, time[s]:0.039943
iteration:20, time[s]:0.040073
iteration:21, time[s]:0.039632
iteration:22, time[s]:0.039130
iteration:23, time[s]:0.040417
iteration:24, time[s]:0.039549
iteration:25, time[s]:0.038610
iteration:26, time[s]:0.038208
iteration:27, time[s]:0.038234
iteration:28, time[s]:0.037755
iteration:29, time[s]:0.037552
iteration:30, time[s]:0.038230
iteration:31, time[s]:0.037698
iteration:32, time[s]:0.036705
iteration:33, time[s]:0.036342
iteration:34, time[s]:0.037132
iteration:35, time[s]:0.037391
iteration:36, time[s]:0.038488
iteration:37, time[s]:0.037477
iteration:38, time[s]:0.038401
iteration:39, time[s]:0.038817
iteration:40, time[s]:0.039362
iteration:41, time[s]:0.039130
iteration:42, time[s]:0.039439
iteration:43, time[s]:0.040784
iteration:44, time[s]:0.040000
iteration:45, time[s]:0.040291
iteration:46, time[s]:0.041208
iteration:47, time[s]:0.041966
iteration:48, time[s]:0.039967
iteration:49, time[s]:0.041848
iteration:50, time[s]:0.041879
iteration:51, time[s]:0.040688
iteration:52, time[s]:0.041439
iteration:53, time[s]:0.039859
iteration:54, time[s]:0.040602
iteration:55, time[s]:0.039873
iteration:56, time[s]:0.039966
iteration:57, time[s]:0.039009
iteration:58, time[s]:0.039782
iteration:59, time[s]:0.039073
iteration:60, time[s]:0.039374
iteration:61, time[s]:0.038984
iteration:62, time[s]:0.040186
iteration:63, time[s]:0.041011
iteration:64, time[s]:0.040169
iteration:65, time[s]:0.038997
iteration:66, time[s]:0.038184
iteration:67, time[s]:0.037941
iteration:68, time[s]:0.038090
iteration:69, time[s]:0.038724
iteration:70, time[s]:0.039441
iteration:71, time[s]:0.038202
iteration:72, time[s]:0.039624
iteration:73, time[s]:0.039186
iteration:74, time[s]:0.039692
iteration:75, time[s]:0.039376
iteration:76, time[s]:0.038019
iteration:77, time[s]:0.037366
iteration:78, time[s]:0.037215
iteration:79, time[s]:0.037623
iteration:80, time[s]:0.037250
iteration:81, time[s]:0.037827
iteration:82, time[s]:0.037714
iteration:83, time[s]:0.037623
iteration:84, time[s]:0.037848
iteration:85, time[s]:0.038013
iteration:86, time[s]:0.037100
iteration:87, time[s]:0.036661
iteration:88, time[s]:0.037329
iteration:89, time[s]:0.037710
iteration:90, time[s]:0.037522
iteration:91, time[s]:0.036574
iteration:92, time[s]:0.036988
iteration:93, time[s]:0.037287
iteration:94, time[s]:0.036435
iteration:95, time[s]:0.036427
iteration:96, time[s]:0.037268
iteration:97, time[s]:0.037435
iteration:98, time[s]:0.037095
iteration:99, time[s]:0.038327
iteration:100, time[s]:0.037691
iteration:101, time[s]:0.038936
iteration:102, time[s]:0.039348
iteration:103, time[s]:0.039107
iteration:104, time[s]:0.039874
iteration:105, time[s]:0.039309
iteration:106, time[s]:0.037888
iteration:107, time[s]:0.038718
iteration:108, time[s]:0.038914
iteration:109, time[s]:0.037707
iteration:110, time[s]:0.038704
iteration:111, time[s]:0.039809
iteration:112, time[s]:0.039595
iteration:113, time[s]:0.038727
iteration:114, time[s]:0.040081
iteration:115, time[s]:0.039999
iteration:116, time[s]:0.038807
iteration:117, time[s]:0.038492
iteration:118, time[s]:0.039303
iteration:119, time[s]:0.038825
iteration:120, time[s]:0.039117
iteration:121, time[s]:0.038683
iteration:122, time[s]:0.038600
iteration:123, time[s]:0.038135
iteration:124, time[s]:0.039584
iteration:125, time[s]:0.039969
iteration:126, time[s]:0.040514
iteration:127, time[s]:0.039841
iteration:128, time[s]:0.038971
iteration:129, time[s]:0.039464
iteration:130, time[s]:0.038610
iteration:131, time[s]:0.038750
iteration:132, time[s]:0.037631
iteration:133, time[s]:0.037483
iteration:134, time[s]:0.038092
iteration:135, time[s]:0.037431
iteration:136, time[s]:0.037543
iteration:137, time[s]:0.037376
iteration:138, time[s]:0.037291
iteration:139, time[s]:0.037943
iteration:140, time[s]:0.037706
iteration:141, time[s]:0.037508
iteration:142, time[s]:0.037229
iteration:143, time[s]:0.037453
iteration:144, time[s]:0.038537
iteration:145, time[s]:0.037903
iteration:146, time[s]:0.038425
iteration:147, time[s]:0.038445
iteration:148, time[s]:0.037508
iteration:149, time[s]:0.038394
iteration:150, time[s]:0.038469
iteration:151, time[s]:0.038711
iteration:152, time[s]:0.037680
iteration:153, time[s]:0.038971
iteration:154, time[s]:0.038885
iteration:155, time[s]:0.039093
iteration:156, time[s]:0.038483
iteration:157, time[s]:0.037923
iteration:158, time[s]:0.038308
iteration:159, time[s]:0.038522
iteration:160, time[s]:0.037959
iteration:161, time[s]:0.037938
iteration:162, time[s]:0.037841
iteration:163, time[s]:0.038263
iteration:164, time[s]:0.038509
iteration:165, time[s]:0.037786
iteration:166, time[s]:0.036620
iteration:167, time[s]:0.037046
iteration:168, time[s]:0.038076
iteration:169, time[s]:0.036773
iteration:170, time[s]:0.038078
iteration:171, time[s]:0.037340
iteration:172, time[s]:0.038109
iteration:173, time[s]:0.038865
iteration:174, time[s]:0.036719
iteration:175, time[s]:0.037828
iteration:176, time[s]:0.038382
iteration:177, time[s]:0.039083
iteration:178, time[s]:0.039073
iteration:179, time[s]:0.038235
iteration:180, time[s]:0.039329
iteration:181, time[s]:0.038444
iteration:182, time[s]:0.038839
iteration:183, time[s]:0.037568
iteration:184, time[s]:0.038123
iteration:185, time[s]:0.037199
iteration:186, time[s]:0.037619
iteration:187, time[s]:0.037680
iteration:188, time[s]:0.036358
iteration:189, time[s]:0.037315
iteration:190, time[s]:0.037567
iteration:191, time[s]:0.036798
iteration:192, time[s]:0.036627
iteration:193, time[s]:0.037516
iteration:194, time[s]:0.037926
iteration:195, time[s]:0.037173
iteration:196, time[s]:0.037339
iteration:197, time[s]:0.037843
iteration:198, time[s]:0.036929
iteration:199, time[s]:0.036764
iteration:200, time[s]:0.037770
iteration:201, time[s]:0.037568
iteration:202, time[s]:0.037282
iteration:203, time[s]:0.036882
iteration:204, time[s]:0.037071
iteration:205, time[s]:0.038367
iteration:206, time[s]:0.037339
iteration:207, time[s]:0.036940
iteration:208, time[s]:0.037915
iteration:209, time[s]:0.037426
iteration:210, time[s]:0.038141
iteration:211, time[s]:0.037822
iteration:212, time[s]:0.038559
iteration:213, time[s]:0.038782
iteration:214, time[s]:0.038577
iteration:215, time[s]:0.039661
iteration:216, time[s]:0.039989
iteration:217, time[s]:0.039417
iteration:218, time[s]:0.039016
iteration:219, time[s]:0.039479
iteration:220, time[s]:0.039513
iteration:221, time[s]:0.039237
iteration:222, time[s]:0.038348
iteration:223, time[s]:0.039120
iteration:224, time[s]:0.040111
iteration:225, time[s]:0.039589
iteration:226, time[s]:0.039210
iteration:227, time[s]:0.038143
iteration:228, time[s]:0.037318
iteration:229, time[s]:0.037254
iteration:230, time[s]:0.037368
iteration:231, time[s]:0.037493
iteration:232, time[s]:0.037213
iteration:233, time[s]:0.037334
iteration:234, time[s]:0.037492
iteration:235, time[s]:0.037527
iteration:236, time[s]:0.038070
iteration:237, time[s]:0.039272
iteration:238, time[s]:0.038860
iteration:239, time[s]:0.039875
iteration:240, time[s]:0.039416
iteration:241, time[s]:0.039284
iteration:242, time[s]:0.039356
iteration:243, time[s]:0.039326
iteration:244, time[s]:0.038132
iteration:245, time[s]:0.037472
iteration:246, time[s]:0.037861
iteration:247, time[s]:0.037603
iteration:248, time[s]:0.037288
iteration:249, time[s]:0.036407
iteration:250, time[s]:0.037760
iteration:251, time[s]:0.038316
iteration:252, time[s]:0.038054
iteration:253, time[s]:0.038638
iteration:254, time[s]:0.038510
iteration:255, time[s]:0.038889
iteration:256, time[s]:0.038117
iteration:257, time[s]:0.038036
iteration:258, time[s]:0.038499
iteration:259, time[s]:0.037757
iteration:260, time[s]:0.037952
iteration:261, time[s]:0.037317
iteration:262, time[s]:0.037424
iteration:263, time[s]:0.037887
iteration:264, time[s]:0.037124
iteration:265, time[s]:0.036765
iteration:266, time[s]:0.037897
iteration:267, time[s]:0.037986
iteration:268, time[s]:0.037657
iteration:269, time[s]:0.037379
iteration:270, time[s]:0.038175
iteration:271, time[s]:0.036343
iteration:272, time[s]:0.037863
iteration:273, time[s]:0.037730
iteration:274, time[s]:0.038182
iteration:275, time[s]:0.036893
iteration:276, time[s]:0.037130
iteration:277, time[s]:0.037433
iteration:278, time[s]:0.038182
iteration:279, time[s]:0.038271
iteration:280, time[s]:0.036910
iteration:281, time[s]:0.037250
iteration:282, time[s]:0.037668
iteration:283, time[s]:0.036736
iteration:284, time[s]:0.037622
iteration:285, time[s]:0.037808
iteration:286, time[s]:0.038346
iteration:287, time[s]:0.037171
iteration:288, time[s]:0.038717
iteration:289, time[s]:0.036635
iteration:290, time[s]:0.037136
iteration:291, time[s]:0.037097
iteration:292, time[s]:0.037900
