alveo1a, bytes:33554432, num_elements:8388608, num_trials:100
alveo1b, bytes:33554432, num_elements:8388608, num_trials:100
alveo2a, bytes:33554432, num_elements:8388608, num_trials:100
alveo2b, bytes:33554432, num_elements:8388608, num_trials:100
iteration:0, time[s]:0.069680
iteration:1, time[s]:0.066069
iteration:2, time[s]:0.066116
iteration:3, time[s]:0.064577
iteration:4, time[s]:0.066659
iteration:5, time[s]:0.062674
iteration:6, time[s]:0.062034
iteration:7, time[s]:0.062003
iteration:8, time[s]:0.062050
iteration:9, time[s]:0.062075
iteration:10, time[s]:0.062821
iteration:11, time[s]:0.061980
iteration:12, time[s]:0.061097
iteration:13, time[s]:0.060182
iteration:14, time[s]:0.060216
iteration:15, time[s]:0.059729
iteration:16, time[s]:0.059786
iteration:17, time[s]:0.060895
iteration:18, time[s]:0.060729
iteration:19, time[s]:0.060533
iteration:20, time[s]:0.060553
iteration:21, time[s]:0.061184
iteration:22, time[s]:0.061738
iteration:23, time[s]:0.059937
iteration:24, time[s]:0.059823
iteration:25, time[s]:0.060453
iteration:26, time[s]:0.061130
iteration:27, time[s]:0.061464
iteration:28, time[s]:0.061167
iteration:29, time[s]:0.061160
iteration:30, time[s]:0.061903
iteration:31, time[s]:0.061665
iteration:32, time[s]:0.062162
iteration:33, time[s]:0.062132
iteration:34, time[s]:0.061977
iteration:35, time[s]:0.063168
iteration:36, time[s]:0.061507
iteration:37, time[s]:0.062349
iteration:38, time[s]:0.061460
iteration:39, time[s]:0.062289
iteration:40, time[s]:0.063358
iteration:41, time[s]:0.063036
iteration:42, time[s]:0.062550
iteration:43, time[s]:0.060960
iteration:44, time[s]:0.062422
iteration:45, time[s]:0.061143
iteration:46, time[s]:0.061040
iteration:47, time[s]:0.060287
iteration:48, time[s]:0.060449
iteration:49, time[s]:0.061663
iteration:50, time[s]:0.061420
iteration:51, time[s]:0.063100
iteration:52, time[s]:0.062307
iteration:53, time[s]:0.062258
iteration:54, time[s]:0.062788
iteration:55, time[s]:0.062264
iteration:56, time[s]:0.061958
iteration:57, time[s]:0.061530
iteration:58, time[s]:0.062374
iteration:59, time[s]:0.062490
iteration:60, time[s]:0.062072
iteration:61, time[s]:0.063177
iteration:62, time[s]:0.063697
iteration:63, time[s]:0.063896
iteration:64, time[s]:0.062810
iteration:65, time[s]:0.063739
iteration:66, time[s]:0.063867
iteration:67, time[s]:0.063187
iteration:68, time[s]:0.062297
iteration:69, time[s]:0.063450
iteration:70, time[s]:0.064045
iteration:71, time[s]:0.063791
iteration:72, time[s]:0.062505
iteration:73, time[s]:0.063604
iteration:74, time[s]:0.062087
iteration:75, time[s]:0.062684
iteration:76, time[s]:0.062014
iteration:77, time[s]:0.063506
iteration:78, time[s]:0.063323
iteration:79, time[s]:0.061947
iteration:80, time[s]:0.063203
iteration:81, time[s]:0.062622
iteration:82, time[s]:0.061234
iteration:83, time[s]:0.062178
iteration:84, time[s]:0.062845
iteration:85, time[s]:0.062363
iteration:86, time[s]:0.062336
iteration:87, time[s]:0.061215
iteration:88, time[s]:0.061395
iteration:89, time[s]:0.061058
iteration:90, time[s]:0.061065
iteration:91, time[s]:0.061538
iteration:92, time[s]:0.060480
iteration:93, time[s]:0.060319
iteration:94, time[s]:0.059784
iteration:95, time[s]:0.060015
iteration:96, time[s]:0.060998
iteration:97, time[s]:0.059714
iteration:98, time[s]:0.060566
iteration:99, time[s]:0.060467
iteration:100, time[s]:0.060185
Data size = 33554432, Trials = 100
Avg MPI_reduce time [us]= *61981.184570
