alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.100795
iteration:1, time[s]:0.076048
iteration:2, time[s]:0.075432
iteration:3, time[s]:0.076644
iteration:4, time[s]:0.075011
iteration:5, time[s]:0.074757
iteration:6, time[s]:0.072296
iteration:7, time[s]:0.075381
iteration:8, time[s]:0.078655
iteration:9, time[s]:0.079729
iteration:10, time[s]:0.079069
iteration:11, time[s]:0.076572
iteration:12, time[s]:0.075622
iteration:13, time[s]:0.075121
iteration:14, time[s]:0.076143
iteration:15, time[s]:0.074476
iteration:16, time[s]:0.076406
iteration:17, time[s]:0.074219
iteration:18, time[s]:0.074917
iteration:19, time[s]:0.076680
iteration:20, time[s]:0.077332
iteration:21, time[s]:0.075918
iteration:22, time[s]:0.075953
iteration:23, time[s]:0.075415
iteration:24, time[s]:0.076343
iteration:25, time[s]:0.076349
iteration:26, time[s]:0.074782
iteration:27, time[s]:0.075975
iteration:28, time[s]:0.076666
iteration:29, time[s]:0.078775
iteration:30, time[s]:0.075971
iteration:31, time[s]:0.077559
iteration:32, time[s]:0.079912
iteration:33, time[s]:0.079590
iteration:34, time[s]:0.078693
iteration:35, time[s]:0.078861
iteration:36, time[s]:0.079081
iteration:37, time[s]:0.080330
iteration:38, time[s]:0.079232
iteration:39, time[s]:0.078718
iteration:40, time[s]:0.078593
iteration:41, time[s]:0.078813
iteration:42, time[s]:0.077506
iteration:43, time[s]:0.080489
iteration:44, time[s]:0.076470
iteration:45, time[s]:0.077539
iteration:46, time[s]:0.077784
iteration:47, time[s]:0.078842
iteration:48, time[s]:0.077791
iteration:49, time[s]:0.079112
iteration:50, time[s]:0.077402
iteration:51, time[s]:0.075153
iteration:52, time[s]:0.077764
iteration:53, time[s]:0.078078
iteration:54, time[s]:0.079530
iteration:55, time[s]:0.078250
iteration:56, time[s]:0.077174
iteration:57, time[s]:0.075656
iteration:58, time[s]:0.075804
iteration:59, time[s]:0.075906
iteration:60, time[s]:0.074930
iteration:61, time[s]:0.077515
iteration:62, time[s]:0.076143
iteration:63, time[s]:0.075736
iteration:64, time[s]:0.075655
iteration:65, time[s]:0.075095
iteration:66, time[s]:0.076183
iteration:67, time[s]:0.075173
iteration:68, time[s]:0.075158
iteration:69, time[s]:0.073862
iteration:70, time[s]:0.075645
iteration:71, time[s]:0.075669
iteration:72, time[s]:0.079480
iteration:73, time[s]:0.078991
iteration:74, time[s]:0.078919
iteration:75, time[s]:0.078647
iteration:76, time[s]:0.073668
iteration:77, time[s]:0.074956
iteration:78, time[s]:0.075363
iteration:79, time[s]:0.076845
iteration:80, time[s]:0.076489
iteration:81, time[s]:0.076756
iteration:82, time[s]:0.077516
iteration:83, time[s]:0.077146
iteration:84, time[s]:0.077706
iteration:85, time[s]:0.077409
iteration:86, time[s]:0.076824
iteration:87, time[s]:0.075829
iteration:88, time[s]:0.077431
iteration:89, time[s]:0.077431
iteration:90, time[s]:0.078214
iteration:91, time[s]:0.079232
iteration:92, time[s]:0.078578
iteration:93, time[s]:0.076696
iteration:94, time[s]:0.076421
iteration:95, time[s]:0.073975
iteration:96, time[s]:0.076675
iteration:97, time[s]:0.077622
iteration:98, time[s]:0.078804
iteration:99, time[s]:0.081302
iteration:100, time[s]:0.079292
iteration:101, time[s]:0.079922
iteration:102, time[s]:0.079408
iteration:103, time[s]:0.078703
iteration:104, time[s]:0.079657
iteration:105, time[s]:0.075789
iteration:106, time[s]:0.075457
iteration:107, time[s]:0.072924
iteration:108, time[s]:0.074358
iteration:109, time[s]:0.074655
iteration:110, time[s]:0.073912
iteration:111, time[s]:0.073090
iteration:112, time[s]:0.073472
