alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo4c, bytes:33554432, num_elements:8388608, num_trials:1000
alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.097738
iteration:1, time[s]:0.089610
iteration:2, time[s]:0.085361
iteration:3, time[s]:0.088109
iteration:4, time[s]:0.088791
iteration:5, time[s]:0.087372
iteration:6, time[s]:0.090281
iteration:7, time[s]:0.089086
iteration:8, time[s]:0.086963
iteration:9, time[s]:0.087888
iteration:10, time[s]:0.087767
iteration:11, time[s]:0.089915
iteration:12, time[s]:0.087548
iteration:13, time[s]:0.088231
iteration:14, time[s]:0.089259
iteration:15, time[s]:0.092161
iteration:16, time[s]:0.090710
iteration:17, time[s]:0.086161
iteration:18, time[s]:0.084309
iteration:19, time[s]:0.085981
iteration:20, time[s]:0.085399
iteration:21, time[s]:0.083735
iteration:22, time[s]:0.084870
iteration:23, time[s]:0.083704
iteration:24, time[s]:0.085177
iteration:25, time[s]:0.082748
iteration:26, time[s]:0.083029
iteration:27, time[s]:0.086618
iteration:28, time[s]:0.086824
iteration:29, time[s]:0.086771
iteration:30, time[s]:0.087883
iteration:31, time[s]:0.088024
iteration:32, time[s]:0.088565
iteration:33, time[s]:0.087767
iteration:34, time[s]:0.089385
iteration:35, time[s]:0.085421
iteration:36, time[s]:0.085394
iteration:37, time[s]:0.083761
iteration:38, time[s]:0.085596
iteration:39, time[s]:0.086920
iteration:40, time[s]:0.088089
iteration:41, time[s]:0.088488
iteration:42, time[s]:0.088524
iteration:43, time[s]:0.086707
iteration:44, time[s]:0.087491
iteration:45, time[s]:0.087347
iteration:46, time[s]:0.086922
iteration:47, time[s]:0.088208
iteration:48, time[s]:0.086830
iteration:49, time[s]:0.085877
iteration:50, time[s]:0.087611
iteration:51, time[s]:0.087817
iteration:52, time[s]:0.088621
iteration:53, time[s]:0.087012
iteration:54, time[s]:0.087975
iteration:55, time[s]:0.087615
iteration:56, time[s]:0.087697
iteration:57, time[s]:0.089735
iteration:58, time[s]:0.088503
iteration:59, time[s]:0.090100
iteration:60, time[s]:0.090310
iteration:61, time[s]:0.089734
iteration:62, time[s]:0.088370
iteration:63, time[s]:0.086309
iteration:64, time[s]:0.086450
iteration:65, time[s]:0.089201
iteration:66, time[s]:0.090285
iteration:67, time[s]:0.090718
iteration:68, time[s]:0.091864
iteration:69, time[s]:0.088087
iteration:70, time[s]:0.085875
iteration:71, time[s]:0.086952
iteration:72, time[s]:0.083672
iteration:73, time[s]:0.087829
iteration:74, time[s]:0.086051
iteration:75, time[s]:0.088652
iteration:76, time[s]:0.088447
iteration:77, time[s]:0.090918
iteration:78, time[s]:0.091210
iteration:79, time[s]:0.094524
iteration:80, time[s]:0.094038
iteration:81, time[s]:0.091244
iteration:82, time[s]:0.090750
iteration:83, time[s]:0.089990
iteration:84, time[s]:0.090838
iteration:85, time[s]:0.091895
iteration:86, time[s]:0.090367
iteration:87, time[s]:0.091765
iteration:88, time[s]:0.092183
iteration:89, time[s]:0.089948
iteration:90, time[s]:0.089053
iteration:91, time[s]:0.090878
iteration:92, time[s]:0.088316
iteration:93, time[s]:0.092150
iteration:94, time[s]:0.092252
iteration:95, time[s]:0.090718
iteration:96, time[s]:0.090978
iteration:97, time[s]:0.089979
iteration:98, time[s]:0.086662
iteration:99, time[s]:0.084685
iteration:100, time[s]:0.086509
iteration:101, time[s]:0.084293
iteration:102, time[s]:0.085672
iteration:103, time[s]:0.088741
iteration:104, time[s]:0.086769
iteration:105, time[s]:0.088208
iteration:106, time[s]:0.087353
iteration:107, time[s]:0.086923
iteration:108, time[s]:0.086572
iteration:109, time[s]:0.084999
iteration:110, time[s]:0.086416
iteration:111, time[s]:0.085287
iteration:112, time[s]:0.086609
iteration:113, time[s]:0.084822
iteration:114, time[s]:0.087226
iteration:115, time[s]:0.087369
iteration:116, time[s]:0.085062
iteration:117, time[s]:0.085524
iteration:118, time[s]:0.088186
iteration:119, time[s]:0.087708
iteration:120, time[s]:0.085972
iteration:121, time[s]:0.085391
iteration:122, time[s]:0.085910
iteration:123, time[s]:0.086179
iteration:124, time[s]:0.087403
iteration:125, time[s]:0.088890
iteration:126, time[s]:0.088762
iteration:127, time[s]:0.089276
iteration:128, time[s]:0.087245
iteration:129, time[s]:0.086590
iteration:130, time[s]:0.083403
iteration:131, time[s]:0.085301
iteration:132, time[s]:0.084302
iteration:133, time[s]:0.084913
iteration:134, time[s]:0.085389
iteration:135, time[s]:0.082550
iteration:136, time[s]:0.082435
iteration:137, time[s]:0.083698
iteration:138, time[s]:0.082608
iteration:139, time[s]:0.084145
iteration:140, time[s]:0.083136
iteration:141, time[s]:0.085221
iteration:142, time[s]:0.087577
iteration:143, time[s]:0.088435
iteration:144, time[s]:0.088489
iteration:145, time[s]:0.087106
iteration:146, time[s]:0.088314
iteration:147, time[s]:0.090078
iteration:148, time[s]:0.087929
iteration:149, time[s]:0.086139
iteration:150, time[s]:0.085635
iteration:151, time[s]:0.085204
iteration:152, time[s]:0.083088
iteration:153, time[s]:0.085226
iteration:154, time[s]:0.085105
iteration:155, time[s]:0.083666
iteration:156, time[s]:0.082549
iteration:157, time[s]:0.084056
iteration:158, time[s]:0.083378
iteration:159, time[s]:0.084521
iteration:160, time[s]:0.086756
iteration:161, time[s]:0.085443
iteration:162, time[s]:0.086758
iteration:163, time[s]:0.084956
iteration:164, time[s]:0.084516
iteration:165, time[s]:0.085123
iteration:166, time[s]:0.085621
iteration:167, time[s]:0.082828
iteration:168, time[s]:0.083024
iteration:169, time[s]:0.083406
iteration:170, time[s]:0.082858
iteration:171, time[s]:0.084242
iteration:172, time[s]:0.083286
iteration:173, time[s]:0.084857
iteration:174, time[s]:0.084306
iteration:175, time[s]:0.083485
iteration:176, time[s]:0.087304
iteration:177, time[s]:0.085191
iteration:178, time[s]:0.087017
iteration:179, time[s]:0.086673
iteration:180, time[s]:0.086505
iteration:181, time[s]:0.086884
iteration:182, time[s]:0.090195
iteration:183, time[s]:0.087830
iteration:184, time[s]:0.085903
iteration:185, time[s]:0.086146
iteration:186, time[s]:0.085555
iteration:187, time[s]:0.085432
iteration:188, time[s]:0.083704
iteration:189, time[s]:0.082048
iteration:190, time[s]:0.082173
iteration:191, time[s]:0.085101
iteration:192, time[s]:0.086351
iteration:193, time[s]:0.084869
iteration:194, time[s]:0.085323
iteration:195, time[s]:0.086529
iteration:196, time[s]:0.086520
iteration:197, time[s]:0.090571
iteration:198, time[s]:0.092096
iteration:199, time[s]:0.092506
iteration:200, time[s]:0.092366
iteration:201, time[s]:0.092779
iteration:202, time[s]:0.092428
iteration:203, time[s]:0.091616
iteration:204, time[s]:0.091290
iteration:205, time[s]:0.090805
iteration:206, time[s]:0.093246
iteration:207, time[s]:0.090505
iteration:208, time[s]:0.092546
iteration:209, time[s]:0.088174
iteration:210, time[s]:0.089006
iteration:211, time[s]:0.090916
iteration:212, time[s]:0.089325
iteration:213, time[s]:0.088975
iteration:214, time[s]:0.087270
iteration:215, time[s]:0.089839
iteration:216, time[s]:0.086046
iteration:217, time[s]:0.086469
iteration:218, time[s]:0.087517
iteration:219, time[s]:0.087061
iteration:220, time[s]:0.086262
iteration:221, time[s]:0.083462
iteration:222, time[s]:0.084244
iteration:223, time[s]:0.087385
iteration:224, time[s]:0.088407
iteration:225, time[s]:0.088113
iteration:226, time[s]:0.090102
iteration:227, time[s]:0.088987
iteration:228, time[s]:0.089479
iteration:229, time[s]:0.091225
iteration:230, time[s]:0.089399
iteration:231, time[s]:0.088218
iteration:232, time[s]:0.087823
iteration:233, time[s]:0.087657
iteration:234, time[s]:0.086839
iteration:235, time[s]:0.087242
iteration:236, time[s]:0.086715
iteration:237, time[s]:0.085376
iteration:238, time[s]:0.085839
iteration:239, time[s]:0.088051
iteration:240, time[s]:0.088450
iteration:241, time[s]:0.088401
iteration:242, time[s]:0.087386
iteration:243, time[s]:0.089313
