alveo1a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo3b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo1b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2b, bytes:4194304, num_elements:1048576, num_trials:1000
iteration:0, time[s]:0.011864
iteration:1, time[s]:0.008402
iteration:2, time[s]:0.008291
iteration:3, time[s]:0.007354
iteration:4, time[s]:0.007490
iteration:5, time[s]:0.006752
iteration:6, time[s]:0.007105
iteration:7, time[s]:0.008014
iteration:8, time[s]:0.007089
iteration:9, time[s]:0.008088
iteration:10, time[s]:0.007426
iteration:11, time[s]:0.006705
iteration:12, time[s]:0.006557
iteration:13, time[s]:0.007018
iteration:14, time[s]:0.006840
iteration:15, time[s]:0.006418
iteration:16, time[s]:0.006654
iteration:17, time[s]:0.006822
iteration:18, time[s]:0.006554
iteration:19, time[s]:0.006584
iteration:20, time[s]:0.006426
iteration:21, time[s]:0.006854
iteration:22, time[s]:0.006588
iteration:23, time[s]:0.006306
iteration:24, time[s]:0.006567
iteration:25, time[s]:0.006283
iteration:26, time[s]:0.006212
iteration:27, time[s]:0.006141
iteration:28, time[s]:0.006333
iteration:29, time[s]:0.006272
iteration:30, time[s]:0.006758
iteration:31, time[s]:0.006534
iteration:32, time[s]:0.006388
iteration:33, time[s]:0.006267
iteration:34, time[s]:0.006548
iteration:35, time[s]:0.006397
iteration:36, time[s]:0.006452
iteration:37, time[s]:0.006427
iteration:38, time[s]:0.006466
iteration:39, time[s]:0.006230
iteration:40, time[s]:0.006464
iteration:41, time[s]:0.006719
iteration:42, time[s]:0.006477
iteration:43, time[s]:0.006760
iteration:44, time[s]:0.006600
iteration:45, time[s]:0.006726
iteration:46, time[s]:0.006920
iteration:47, time[s]:0.006659
iteration:48, time[s]:0.006837
iteration:49, time[s]:0.006511
iteration:50, time[s]:0.006888
iteration:51, time[s]:0.006792
iteration:52, time[s]:0.006552
iteration:53, time[s]:0.007792
iteration:54, time[s]:0.006728
iteration:55, time[s]:0.007063
iteration:56, time[s]:0.006841
iteration:57, time[s]:0.007243
iteration:58, time[s]:0.006951
iteration:59, time[s]:0.006989
iteration:60, time[s]:0.007455
iteration:61, time[s]:0.006962
