alveo1a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo1b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo4b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo3b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo3c, bytes:4194304, num_elements:1048576, num_trials:1000
iteration:0, time[s]:0.015633
iteration:1, time[s]:0.011605
iteration:2, time[s]:0.011222
iteration:3, time[s]:0.011645
iteration:4, time[s]:0.011091
iteration:5, time[s]:0.010541
iteration:6, time[s]:0.010661
iteration:7, time[s]:0.010742
iteration:8, time[s]:0.010579
iteration:9, time[s]:0.218968
iteration:10, time[s]:0.011949
iteration:11, time[s]:0.010081
iteration:12, time[s]:0.010438
iteration:13, time[s]:0.010514
iteration:14, time[s]:0.011102
iteration:15, time[s]:0.010239
iteration:16, time[s]:0.010401
iteration:17, time[s]:0.010600
iteration:18, time[s]:0.010479
iteration:19, time[s]:0.009951
iteration:20, time[s]:0.010235
iteration:21, time[s]:0.010363
iteration:22, time[s]:0.010058
iteration:23, time[s]:0.010043
iteration:24, time[s]:0.010612
iteration:25, time[s]:0.010180
iteration:26, time[s]:0.010399
iteration:27, time[s]:0.010250
iteration:28, time[s]:0.010028
iteration:29, time[s]:0.010178
iteration:30, time[s]:0.009962
iteration:31, time[s]:0.010300
iteration:32, time[s]:0.009762
iteration:33, time[s]:0.009774
iteration:34, time[s]:0.009911
iteration:35, time[s]:0.009651
iteration:36, time[s]:0.010000
iteration:37, time[s]:0.009662
iteration:38, time[s]:0.009933
iteration:39, time[s]:0.009344
iteration:40, time[s]:0.010068
iteration:41, time[s]:0.009738
iteration:42, time[s]:0.009778
iteration:43, time[s]:0.009777
iteration:44, time[s]:0.009939
iteration:45, time[s]:0.010175
iteration:46, time[s]:0.010220
iteration:47, time[s]:0.009983
iteration:48, time[s]:0.009676
iteration:49, time[s]:0.009919
iteration:50, time[s]:0.009855
iteration:51, time[s]:0.009843
iteration:52, time[s]:0.010093
iteration:53, time[s]:0.009588
iteration:54, time[s]:0.009816
iteration:55, time[s]:0.009273
