alveo1a, bytes:8192, num_elements:2048, num_trials:100
alveo2b, bytes:8192, num_elements:2048, num_trials:100
alveo4b, bytes:8192, num_elements:2048, num_trials:100
alveo1b, bytes:8192, num_elements:2048, num_trials:100
alveo3b, bytes:8192, num_elements:2048, num_trials:100
alveo2a, bytes:8192, num_elements:2048, num_trials:100
iteration:0, time[s]:0.001731
iteration:1, time[s]:0.000383
iteration:2, time[s]:0.000234
iteration:3, time[s]:0.000210
iteration:4, time[s]:0.000218
iteration:5, time[s]:0.000214
iteration:6, time[s]:0.000242
iteration:7, time[s]:0.000223
iteration:8, time[s]:0.000219
iteration:9, time[s]:0.000195
iteration:10, time[s]:0.000234
iteration:11, time[s]:0.000188
iteration:12, time[s]:0.000190
iteration:13, time[s]:0.000210
iteration:14, time[s]:0.000253
iteration:15, time[s]:0.000206
iteration:16, time[s]:0.000216
iteration:17, time[s]:0.000208
iteration:18, time[s]:0.000226
iteration:19, time[s]:0.000220
iteration:20, time[s]:0.000226
iteration:21, time[s]:0.000224
iteration:22, time[s]:0.000217
iteration:23, time[s]:0.000222
iteration:24, time[s]:0.000215
iteration:25, time[s]:0.000226
iteration:26, time[s]:0.000220
iteration:27, time[s]:0.000240
iteration:28, time[s]:0.000223
iteration:29, time[s]:0.000202
iteration:30, time[s]:0.000225
iteration:31, time[s]:0.000219
iteration:32, time[s]:0.000199
iteration:33, time[s]:0.000189
iteration:34, time[s]:0.000178
iteration:35, time[s]:0.000179
iteration:36, time[s]:0.000186
iteration:37, time[s]:0.000246
iteration:38, time[s]:0.000175
iteration:39, time[s]:0.000252
iteration:40, time[s]:0.000250
iteration:41, time[s]:0.000234
iteration:42, time[s]:0.000207
iteration:43, time[s]:0.000252
iteration:44, time[s]:0.000206
iteration:45, time[s]:0.000229
iteration:46, time[s]:0.000176
iteration:47, time[s]:0.000205
iteration:48, time[s]:0.000194
iteration:49, time[s]:0.000174
iteration:50, time[s]:0.000191
iteration:51, time[s]:0.000171
iteration:52, time[s]:0.000185
iteration:53, time[s]:0.000174
iteration:54, time[s]:0.000181
iteration:55, time[s]:0.000169
iteration:56, time[s]:0.000181
iteration:57, time[s]:0.000176
iteration:58, time[s]:0.000175
iteration:59, time[s]:0.000167
iteration:60, time[s]:0.000180
iteration:61, time[s]:0.000171
iteration:62, time[s]:0.000177
iteration:63, time[s]:0.000172
iteration:64, time[s]:0.000201
iteration:65, time[s]:0.000173
iteration:66, time[s]:0.000198
iteration:67, time[s]:0.000174
iteration:68, time[s]:0.000182
iteration:69, time[s]:0.000161
iteration:70, time[s]:0.000167
iteration:71, time[s]:0.000259
iteration:72, time[s]:0.000261
iteration:73, time[s]:0.000262
iteration:74, time[s]:0.000195
iteration:75, time[s]:0.000276
iteration:76, time[s]:0.000272
iteration:77, time[s]:0.000168
iteration:78, time[s]:0.000174
iteration:79, time[s]:0.000256
iteration:80, time[s]:0.000262
iteration:81, time[s]:0.000259
iteration:82, time[s]:0.000185
iteration:83, time[s]:0.000275
iteration:84, time[s]:0.000276
iteration:85, time[s]:0.000245
iteration:86, time[s]:0.000181
iteration:87, time[s]:0.000248
iteration:88, time[s]:0.000249
iteration:89, time[s]:0.000171
iteration:90, time[s]:0.000180
iteration:91, time[s]:0.000190
iteration:92, time[s]:0.000176
iteration:93, time[s]:0.000259
iteration:94, time[s]:0.000200
iteration:95, time[s]:0.000166
iteration:96, time[s]:0.000179
iteration:97, time[s]:0.000171
iteration:98, time[s]:0.000177
iteration:99, time[s]:0.000242
iteration:100, time[s]:0.000169
Data size = 8192, Trials = 100
Avg MPI_reduce time [us]= *209.850460
